areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
East Riding of Yorkshire,2020-07-05,421,0,-100,-100
East Riding of Yorkshire,2020-07-06,421,0,-100,-100
East Riding of Yorkshire,2020-07-07,421,0,-100,-100
East Riding of Yorkshire,2020-07-08,421,0,-100,-100
East Riding of Yorkshire,2020-07-09,422,0,-100,-100
East Riding of Yorkshire,2020-07-10,422,0,-100,-100
East Riding of Yorkshire,2020-07-11,422,0,-100,-100
East Riding of Yorkshire,2020-07-12,423,0,-100,-100
East Riding of Yorkshire,2020-07-13,423,0,-100,-100
East Riding of Yorkshire,2020-07-14,423,0,-100,-100
East Riding of Yorkshire,2020-07-15,423,0,-100,-100
East Riding of Yorkshire,2020-07-16,423,0,-100,-100
East Riding of Yorkshire,2020-07-17,423,0,-100,-100
East Riding of Yorkshire,2020-07-18,423,0,-100,-100
East Riding of Yorkshire,2020-07-19,423,0,-100,-100
East Riding of Yorkshire,2020-07-20,423,0,-100,-100
East Riding of Yorkshire,2020-07-21,424,0,-100,-100
East Riding of Yorkshire,2020-07-22,424,0,-100,-100
East Riding of Yorkshire,2020-07-23,424,0,-100,-100
East Riding of Yorkshire,2020-07-24,424,0,-100,-100
East Riding of Yorkshire,2020-07-25,424,0,-100,-100
East Riding of Yorkshire,2020-07-26,424,0,-100,-100
East Riding of Yorkshire,2020-07-27,424,0,-100,-100
East Riding of Yorkshire,2020-07-28,425,0,-100,-100
East Riding of Yorkshire,2020-07-29,425,0,-100,-100
East Riding of Yorkshire,2020-07-30,425,0,-100,-100
East Riding of Yorkshire,2020-07-31,425,0,-100,-100
East Riding of Yorkshire,2020-08-01,426,0,-100,-100
East Riding of Yorkshire,2020-08-02,426,0,-100,-100
East Riding of Yorkshire,2020-08-03,426,0,-100,-100
East Riding of Yorkshire,2020-08-04,426,0,-100,-100
East Riding of Yorkshire,2020-08-05,426,0,-100,-100
East Riding of Yorkshire,2020-08-06,426,0,-100,-100
East Riding of Yorkshire,2020-08-07,426,0,-100,-100
East Riding of Yorkshire,2020-08-08,426,0,-100,-100
East Riding of Yorkshire,2020-08-09,427,0,-100,-100
East Riding of Yorkshire,2020-08-10,427,0,-100,-100
East Riding of Yorkshire,2020-08-11,427,0,-100,-100
East Riding of Yorkshire,2020-08-12,427,0,-100,-100
East Riding of Yorkshire,2020-08-13,427,0,-100,-100
East Riding of Yorkshire,2020-08-14,430,2,-100,-100
East Riding of Yorkshire,2020-08-15,430,0,-100,-100
East Riding of Yorkshire,2020-08-16,430,0,-100,-100
East Riding of Yorkshire,2020-08-17,431,0,-100,-100
East Riding of Yorkshire,2020-08-18,431,0,-100,-100
East Riding of Yorkshire,2020-08-19,431,0,-100,-100
East Riding of Yorkshire,2020-08-20,431,0,-100,-100
East Riding of Yorkshire,2020-08-21,432,1,-100,-100
East Riding of Yorkshire,2020-08-22,434,1,-100,-100
East Riding of Yorkshire,2020-08-23,435,1,-100,-100
East Riding of Yorkshire,2020-08-24,435,0,-100,-100
East Riding of Yorkshire,2020-08-25,436,0,-100,-100
East Riding of Yorkshire,2020-08-26,437,0,-100,-100
East Riding of Yorkshire,2020-08-27,438,1,-100,-100
East Riding of Yorkshire,2020-08-28,438,0,-100,-100
East Riding of Yorkshire,2020-08-29,439,0,-100,-100
East Riding of Yorkshire,2020-08-30,439,0,-100,-100
East Riding of Yorkshire,2020-08-31,439,0,-100,-100
East Riding of Yorkshire,2020-09-01,440,0,-100,-100
East Riding of Yorkshire,2020-09-02,441,0,-100,-100
East Riding of Yorkshire,2020-09-03,441,0,-100,-100
East Riding of Yorkshire,2020-09-04,443,1,-100,-100
East Riding of Yorkshire,2020-09-05,443,0,-100,-100
East Riding of Yorkshire,2020-09-06,445,1,-100,-100
East Riding of Yorkshire,2020-09-07,448,2,-100,-100
East Riding of Yorkshire,2020-09-08,448,0,-100,-100
East Riding of Yorkshire,2020-09-09,451,3,-100,-100
East Riding of Yorkshire,2020-09-10,452,0,-100,-100
East Riding of Yorkshire,2020-09-11,455,2,-100,-100
East Riding of Yorkshire,2020-09-12,457,2,-100,-100
East Riding of Yorkshire,2020-09-13,459,1,-100,-100
East Riding of Yorkshire,2020-09-14,461,2,-100,-100
East Riding of Yorkshire,2020-09-15,465,3,-100,-100
East Riding of Yorkshire,2020-09-16,469,4,-100,-100
East Riding of Yorkshire,2020-09-17,470,1,-100,-100
East Riding of Yorkshire,2020-09-18,471,1,-100,-100
East Riding of Yorkshire,2020-09-19,476,4,-100,-100
East Riding of Yorkshire,2020-09-20,478,2,-100,-100
East Riding of Yorkshire,2020-09-21,481,2,-100,-100
East Riding of Yorkshire,2020-09-22,485,4,-100,-100
East Riding of Yorkshire,2020-09-23,489,3,-100,-100
East Riding of Yorkshire,2020-09-24,494,4,-100,-100
East Riding of Yorkshire,2020-09-25,498,4,-100,-100
East Riding of Yorkshire,2020-09-26,504,6,-100,-100
East Riding of Yorkshire,2020-09-27,510,5,-100,-100
East Riding of Yorkshire,2020-09-28,514,4,-100,-100
East Riding of Yorkshire,2020-09-29,522,8,-100,-100
East Riding of Yorkshire,2020-09-30,534,11,-100,-100
East Riding of Yorkshire,2020-10-01,540,6,-100,-100
East Riding of Yorkshire,2020-10-02,548,7,-100,-100
East Riding of Yorkshire,2020-10-03,562,13,-100,-100
East Riding of Yorkshire,2020-10-04,587,24,-100,-100
East Riding of Yorkshire,2020-10-05,603,15,-100,-100
East Riding of Yorkshire,2020-10-06,623,20,-100,-100
East Riding of Yorkshire,2020-10-07,637,13,-100,-100
East Riding of Yorkshire,2020-10-08,653,15,-100,-100
East Riding of Yorkshire,2020-10-09,662,9,-100,-100
East Riding of Yorkshire,2020-10-10,679,16,-100,-100
East Riding of Yorkshire,2020-10-11,693,14,-100,-100
East Riding of Yorkshire,2020-10-12,709,15,-100,-100
East Riding of Yorkshire,2020-10-13,724,15,-100,-100
East Riding of Yorkshire,2020-10-14,752,27,-100,-100
East Riding of Yorkshire,2020-10-15,770,18,-100,-100
East Riding of Yorkshire,2020-10-16,788,17,-100,-100
East Riding of Yorkshire,2020-10-17,808,20,-100,-100
East Riding of Yorkshire,2020-10-18,832,24,-100,-100
East Riding of Yorkshire,2020-10-19,854,21,-100,-100
East Riding of Yorkshire,2020-10-20,886,31,-100,-100
East Riding of Yorkshire,2020-10-21,923,37,-100,-100
East Riding of Yorkshire,2020-10-22,949,25,-100,-100
East Riding of Yorkshire,2020-10-23,983,34,-100,-100
East Riding of Yorkshire,2020-10-24,1014,30,-100,-100
East Riding of Yorkshire,2020-10-25,1044,29,-100,-100
East Riding of Yorkshire,2020-10-26,1078,33,-100,-100
East Riding of Yorkshire,2020-10-27,1125,47,-100,-100
East Riding of Yorkshire,2020-10-28,1165,40,-100,-100
East Riding of Yorkshire,2020-10-29,1201,36,-100,-100
East Riding of Yorkshire,2020-10-30,1236,34,-100,-100
East Riding of Yorkshire,2020-10-31,1283,47,-100,-100
East Riding of Yorkshire,2020-11-01,1327,43,-100,-100
East Riding of Yorkshire,2020-11-02,1364,37,-100,-100
East Riding of Yorkshire,2020-11-03,1405,41,-100,-100
East Riding of Yorkshire,2020-11-04,1459,53,-100,-100
East Riding of Yorkshire,2020-11-05,1510,51,-100,-100
East Riding of Yorkshire,2020-11-06,1574,63,-100,-100
East Riding of Yorkshire,2020-11-07,1630,56,-100,-100
East Riding of Yorkshire,2020-11-08,1692,62,-100,-100
East Riding of Yorkshire,2020-11-09,1748,56,-100,-100
East Riding of Yorkshire,2020-11-10,1805,56,-100,-100
East Riding of Yorkshire,2020-11-11,1856,51,-100,-100
East Riding of Yorkshire,2020-11-12,1932,76,-100,-100
East Riding of Yorkshire,2020-11-13,1991,58,-100,-100
East Riding of Yorkshire,2020-11-14,2053,62,-100,-100
East Riding of Yorkshire,2020-11-15,2113,59,-100,-100
East Riding of Yorkshire,2020-11-16,2097,0,-100,-100
East Riding of Yorkshire,2020-11-17,2135,37,-100,-100
East Riding of Yorkshire,2020-11-18,2179,44,-100,-100
East Riding of Yorkshire,2020-11-19,2224,45,-100,-100
East Riding of Yorkshire,2020-11-20,2268,43,-100,-100
East Riding of Yorkshire,2020-11-21,2305,37,-100,-100
East Riding of Yorkshire,2020-11-22,2331,25,-100,-100
East Riding of Yorkshire,2020-11-23,2359,28,-100,-100
East Riding of Yorkshire,2020-11-24,2376,16,-100,-100
East Riding of Yorkshire,2020-11-25,2409,33,-100,-100
East Riding of Yorkshire,2020-11-26,2443,34,-100,-100
East Riding of Yorkshire,2020-11-27,2459,15,-100,-100
East Riding of Yorkshire,2020-11-28,2484,25,-100,-100
East Riding of Yorkshire,2020-11-29,2497,12,-100,-100
East Riding of Yorkshire,2020-11-30,2518,20,-100,-100
East Riding of Yorkshire,2020-12-01,2536,18,-100,-100
East Riding of Yorkshire,2020-12-02,2554,17,-100,-100
East Riding of Yorkshire,2020-12-03,2580,26,-100,-100
East Riding of Yorkshire,2020-12-04,2603,22,-100,-100
East Riding of Yorkshire,2020-12-05,2613,10,-100,-100
East Riding of Yorkshire,2020-12-06,2634,21,-100,-100
East Riding of Yorkshire,2020-12-07,2649,14,-100,-100
East Riding of Yorkshire,2020-12-08,2657,8,-100,-100
East Riding of Yorkshire,2020-12-09,2674,16,-100,0
East Riding of Yorkshire,2020-12-10,2692,17,-100,0
East Riding of Yorkshire,2020-12-11,2708,16,-100,0
East Riding of Yorkshire,2020-12-12,2726,17,-100,0
East Riding of Yorkshire,2020-12-13,2746,20,0,0
East Riding of Yorkshire,2020-12-14,2763,16,0,0
East Riding of Yorkshire,2020-12-15,2789,26,0,0
East Riding of Yorkshire,2020-12-16,2801,11,0,0
East Riding of Yorkshire,2020-12-17,2820,18,0,0
East Riding of Yorkshire,2020-12-18,2839,19,0,0
East Riding of Yorkshire,2020-12-19,2861,22,0,0
East Riding of Yorkshire,2020-12-20,2872,10,0,0
East Riding of Yorkshire,2020-12-21,2885,13,0,0
East Riding of Yorkshire,2020-12-22,2900,15,0,0
East Riding of Yorkshire,2020-12-23,2938,37,0,0
East Riding of Yorkshire,2020-12-24,2965,27,0,0
East Riding of Yorkshire,2020-12-25,2987,21,0,0
East Riding of Yorkshire,2020-12-26,3012,25,0,0
East Riding of Yorkshire,2020-12-27,3030,18,0,0
East Riding of Yorkshire,2020-12-28,3058,27,0,0
East Riding of Yorkshire,2020-12-29,3083,24,0,0
East Riding of Yorkshire,2020-12-30,3111,28,0,0
East Riding of Yorkshire,2020-12-31,3138,27,0,0
East Riding of Yorkshire,2021-01-01,3164,25,0,0
East Riding of Yorkshire,2021-01-02,3192,27,0,0
East Riding of Yorkshire,2021-01-03,3214,22,0,0
East Riding of Yorkshire,2021-01-04,3248,33,0,0
East Riding of Yorkshire,2021-01-05,3279,30,0,0
East Riding of Yorkshire,2021-01-06,3321,42,0,0
East Riding of Yorkshire,2021-01-07,3353,31,0,0
East Riding of Yorkshire,2021-01-08,3382,29,0,0
East Riding of Yorkshire,2021-01-09,3405,22,0,0
East Riding of Yorkshire,2021-01-10,3432,27,0,0
East Riding of Yorkshire,2021-01-11,3459,27,0,0
East Riding of Yorkshire,2021-01-12,3484,24,1,0
East Riding of Yorkshire,2021-01-13,3517,33,0,0
East Riding of Yorkshire,2021-01-14,3538,20,0,0
East Riding of Yorkshire,2021-01-15,3563,24,0,0
East Riding of Yorkshire,2021-01-16,3582,19,0,0
East Riding of Yorkshire,2021-01-17,3600,18,0,0
East Riding of Yorkshire,2021-01-18,3617,16,0,0
East Riding of Yorkshire,2021-01-19,3634,16,0,0
East Riding of Yorkshire,2021-01-20,3666,31,1,0
East Riding of Yorkshire,2021-01-21,3697,31,0,0
East Riding of Yorkshire,2021-01-22,3712,15,0,0
East Riding of Yorkshire,2021-01-23,3741,29,0,0
East Riding of Yorkshire,2021-01-24,3761,19,0,0
East Riding of Yorkshire,2021-01-25,3778,16,1,0
East Riding of Yorkshire,2021-01-26,3792,14,1,0
East Riding of Yorkshire,2021-01-27,3814,21,0,0
East Riding of Yorkshire,2021-01-28,3842,28,0,0
East Riding of Yorkshire,2021-01-29,3868,26,0,0
East Riding of Yorkshire,2021-01-30,3885,16,0,0
East Riding of Yorkshire,2021-01-31,3905,19,0,0
East Riding of Yorkshire,2021-02-01,3919,13,0,0
East Riding of Yorkshire,2021-02-02,3931,11,0,0
East Riding of Yorkshire,2021-02-03,3950,19,0,0
East Riding of Yorkshire,2021-02-04,3965,15,0,0
East Riding of Yorkshire,2021-02-05,3985,19,0,0
East Riding of Yorkshire,2021-02-06,4002,16,0,0
East Riding of Yorkshire,2021-02-07,4011,9,1,0
East Riding of Yorkshire,2021-02-08,4022,10,0,1
East Riding of Yorkshire,2021-02-09,4044,21,0,0
East Riding of Yorkshire,2021-02-10,4062,18,1,0
East Riding of Yorkshire,2021-02-11,4075,12,0,1
East Riding of Yorkshire,2021-02-12,4095,19,0,0
East Riding of Yorkshire,2021-02-13,4113,18,0,0
East Riding of Yorkshire,2021-02-14,4123,10,0,0
East Riding of Yorkshire,2021-02-15,4138,14,0,0
East Riding of Yorkshire,2021-02-16,4149,10,0,0
East Riding of Yorkshire,2021-02-17,4167,18,0,0
East Riding of Yorkshire,2021-02-18,4183,16,0,0
East Riding of Yorkshire,2021-02-19,4210,27,0,0
East Riding of Yorkshire,2021-02-20,4224,13,0,0
East Riding of Yorkshire,2021-02-21,4234,9,0,0
East Riding of Yorkshire,2021-02-22,4246,12,0,0
East Riding of Yorkshire,2021-02-23,4253,6,0,0
East Riding of Yorkshire,2021-02-24,4265,12,1,0
East Riding of Yorkshire,2021-02-25,4276,10,0,0
East Riding of Yorkshire,2021-02-26,4285,9,0,0
East Riding of Yorkshire,2021-02-27,4298,12,0,0
East Riding of Yorkshire,2021-02-28,4309,11,0,0
East Riding of Yorkshire,2021-03-01,4317,7,0,0
East Riding of Yorkshire,2021-03-02,4325,7,0,0
East Riding of Yorkshire,2021-03-03,4335,10,0,0
East Riding of Yorkshire,2021-03-04,4346,11,0,0
East Riding of Yorkshire,2021-03-05,4355,8,0,0
East Riding of Yorkshire,2021-03-06,4364,9,1,0
East Riding of Yorkshire,2021-03-07,4371,7,0,0
East Riding of Yorkshire,2021-03-08,4379,7,0,0
East Riding of Yorkshire,2021-03-09,4386,6,0,1
East Riding of Yorkshire,2021-03-10,4397,11,0,0
East Riding of Yorkshire,2021-03-11,4406,8,0,0
East Riding of Yorkshire,2021-03-12,4420,13,0,1
East Riding of Yorkshire,2021-03-13,4428,7,1,0
East Riding of Yorkshire,2021-03-14,4435,6,1,0
East Riding of Yorkshire,2021-03-15,4445,10,1,0
East Riding of Yorkshire,2021-03-16,4455,9,0,1
East Riding of Yorkshire,2021-03-17,4466,11,3,1
East Riding of Yorkshire,2021-03-18,4479,12,1,0
East Riding of Yorkshire,2021-03-19,4487,7,2,0
East Riding of Yorkshire,2021-03-20,4499,12,1,0
East Riding of Yorkshire,2021-03-21,4506,6,2,0
East Riding of Yorkshire,2021-03-22,4512,6,0,0
East Riding of Yorkshire,2021-03-23,4519,6,0,1
East Riding of Yorkshire,2021-03-24,4529,10,3,0
East Riding of Yorkshire,2021-03-25,4541,11,1,1
East Riding of Yorkshire,2021-03-26,4551,10,1,1
East Riding of Yorkshire,2021-03-27,4554,2,1,0
East Riding of Yorkshire,2021-03-28,4560,6,2,2
East Riding of Yorkshire,2021-03-29,4564,4,0,0
East Riding of Yorkshire,2021-03-30,4569,5,0,0
East Riding of Yorkshire,2021-03-31,4572,2,1,0
East Riding of Yorkshire,2021-04-01,4580,7,0,0
East Riding of Yorkshire,2021-04-02,4585,4,0,0
