areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
East Sussex,2020-07-05,297,0,-100,-100
East Sussex,2020-07-06,298,0,-100,-100
East Sussex,2020-07-07,298,0,-100,-100
East Sussex,2020-07-08,299,0,-100,-100
East Sussex,2020-07-09,301,1,-100,-100
East Sussex,2020-07-10,301,0,-100,-100
East Sussex,2020-07-11,303,2,-100,-100
East Sussex,2020-07-12,306,2,-100,-100
East Sussex,2020-07-13,307,1,-100,-100
East Sussex,2020-07-14,307,0,-100,-100
East Sussex,2020-07-15,309,1,-100,-100
East Sussex,2020-07-16,309,0,-100,-100
East Sussex,2020-07-17,310,0,-100,-100
East Sussex,2020-07-18,311,1,-100,-100
East Sussex,2020-07-19,313,1,-100,-100
East Sussex,2020-07-20,315,2,-100,-100
East Sussex,2020-07-21,316,0,-100,-100
East Sussex,2020-07-22,316,0,-100,-100
East Sussex,2020-07-23,317,0,-100,-100
East Sussex,2020-07-24,318,1,-100,-100
East Sussex,2020-07-25,319,0,-100,-100
East Sussex,2020-07-26,319,0,-100,-100
East Sussex,2020-07-27,320,0,-100,-100
East Sussex,2020-07-28,320,0,-100,-100
East Sussex,2020-07-29,321,1,-100,-100
East Sussex,2020-07-30,322,0,-100,-100
East Sussex,2020-07-31,323,0,-100,-100
East Sussex,2020-08-01,324,0,-100,-100
East Sussex,2020-08-02,324,0,-100,-100
East Sussex,2020-08-03,325,1,-100,-100
East Sussex,2020-08-04,326,1,-100,-100
East Sussex,2020-08-05,326,0,-100,-100
East Sussex,2020-08-06,326,0,-100,-100
East Sussex,2020-08-07,327,0,-100,-100
East Sussex,2020-08-08,327,0,-100,-100
East Sussex,2020-08-09,327,0,-100,-100
East Sussex,2020-08-10,327,0,-100,-100
East Sussex,2020-08-11,328,1,-100,-100
East Sussex,2020-08-12,329,0,-100,-100
East Sussex,2020-08-13,329,0,-100,-100
East Sussex,2020-08-14,331,2,-100,-100
East Sussex,2020-08-15,332,0,-100,-100
East Sussex,2020-08-16,332,0,-100,-100
East Sussex,2020-08-17,333,0,-100,-100
East Sussex,2020-08-18,334,1,-100,-100
East Sussex,2020-08-19,334,0,-100,-100
East Sussex,2020-08-20,334,0,-100,-100
East Sussex,2020-08-21,334,0,-100,-100
East Sussex,2020-08-22,335,0,-100,-100
East Sussex,2020-08-23,335,0,-100,-100
East Sussex,2020-08-24,336,0,-100,-100
East Sussex,2020-08-25,337,1,-100,-100
East Sussex,2020-08-26,338,0,-100,-100
East Sussex,2020-08-27,339,1,-100,-100
East Sussex,2020-08-28,341,1,-100,-100
East Sussex,2020-08-29,341,0,-100,-100
East Sussex,2020-08-30,343,1,-100,-100
East Sussex,2020-08-31,343,0,-100,-100
East Sussex,2020-09-01,345,2,-100,-100
East Sussex,2020-09-02,346,1,-100,-100
East Sussex,2020-09-03,347,0,-100,-100
East Sussex,2020-09-04,348,1,-100,-100
East Sussex,2020-09-05,350,2,-100,-100
East Sussex,2020-09-06,351,0,-100,-100
East Sussex,2020-09-07,351,0,-100,-100
East Sussex,2020-09-08,355,3,-100,-100
East Sussex,2020-09-09,359,3,-100,-100
East Sussex,2020-09-10,362,3,-100,-100
East Sussex,2020-09-11,366,3,-100,-100
East Sussex,2020-09-12,368,2,-100,-100
East Sussex,2020-09-13,369,0,-100,-100
East Sussex,2020-09-14,371,1,-100,-100
East Sussex,2020-09-15,372,1,-100,-100
East Sussex,2020-09-16,372,0,-100,-100
East Sussex,2020-09-17,373,0,-100,-100
East Sussex,2020-09-18,374,1,-100,-100
East Sussex,2020-09-19,376,1,-100,-100
East Sussex,2020-09-20,376,0,-100,-100
East Sussex,2020-09-21,378,1,-100,-100
East Sussex,2020-09-22,379,1,-100,-100
East Sussex,2020-09-23,380,1,-100,-100
East Sussex,2020-09-24,382,2,-100,-100
East Sussex,2020-09-25,384,1,-100,-100
East Sussex,2020-09-26,386,1,-100,-100
East Sussex,2020-09-27,387,0,-100,-100
East Sussex,2020-09-28,388,1,-100,-100
East Sussex,2020-09-29,392,3,-100,-100
East Sussex,2020-09-30,394,2,-100,-100
East Sussex,2020-10-01,395,0,-100,-100
East Sussex,2020-10-02,398,3,-100,-100
East Sussex,2020-10-03,403,5,-100,-100
East Sussex,2020-10-04,413,9,-100,-100
East Sussex,2020-10-05,419,6,-100,-100
East Sussex,2020-10-06,426,6,-100,-100
East Sussex,2020-10-07,431,5,-100,-100
East Sussex,2020-10-08,440,8,-100,-100
East Sussex,2020-10-09,449,9,-100,-100
East Sussex,2020-10-10,456,6,-100,-100
East Sussex,2020-10-11,460,3,-100,-100
East Sussex,2020-10-12,466,6,-100,-100
East Sussex,2020-10-13,471,4,-100,-100
East Sussex,2020-10-14,479,8,-100,-100
East Sussex,2020-10-15,487,7,-100,-100
East Sussex,2020-10-16,495,8,-100,-100
East Sussex,2020-10-17,503,7,-100,-100
East Sussex,2020-10-18,511,8,-100,-100
East Sussex,2020-10-19,520,9,-100,-100
East Sussex,2020-10-20,528,7,-100,-100
East Sussex,2020-10-21,543,14,-100,-100
East Sussex,2020-10-22,550,7,-100,-100
East Sussex,2020-10-23,558,8,-100,-100
East Sussex,2020-10-24,570,12,-100,-100
East Sussex,2020-10-25,579,8,-100,-100
East Sussex,2020-10-26,593,14,-100,-100
East Sussex,2020-10-27,602,9,-100,-100
East Sussex,2020-10-28,619,17,-100,-100
East Sussex,2020-10-29,631,11,-100,-100
East Sussex,2020-10-30,644,13,-100,-100
East Sussex,2020-10-31,651,6,-100,-100
East Sussex,2020-11-01,660,9,-100,-100
East Sussex,2020-11-02,670,10,-100,-100
East Sussex,2020-11-03,677,6,-100,-100
East Sussex,2020-11-04,686,8,-100,-100
East Sussex,2020-11-05,694,8,-100,-100
East Sussex,2020-11-06,705,10,-100,-100
East Sussex,2020-11-07,717,12,-100,-100
East Sussex,2020-11-08,728,10,-100,-100
East Sussex,2020-11-09,741,13,-100,-100
East Sussex,2020-11-10,751,9,-100,-100
East Sussex,2020-11-11,771,20,-100,-100
East Sussex,2020-11-12,792,20,-100,-100
East Sussex,2020-11-13,812,20,-100,-100
East Sussex,2020-11-14,831,19,-100,-100
East Sussex,2020-11-15,851,20,-100,-100
East Sussex,2020-11-16,829,0,-100,-100
East Sussex,2020-11-17,844,14,-100,-100
East Sussex,2020-11-18,863,19,-100,-100
East Sussex,2020-11-19,897,34,-100,-100
East Sussex,2020-11-20,910,12,-100,-100
East Sussex,2020-11-21,929,19,-100,-100
East Sussex,2020-11-22,958,28,-100,-100
East Sussex,2020-11-23,976,17,-100,-100
East Sussex,2020-11-24,986,10,-100,-100
East Sussex,2020-11-25,1007,21,-100,-100
East Sussex,2020-11-26,1026,19,-100,-100
East Sussex,2020-11-27,1041,14,-100,-100
East Sussex,2020-11-28,1055,13,-100,-100
East Sussex,2020-11-29,1065,10,-100,-100
East Sussex,2020-11-30,1077,12,-100,-100
East Sussex,2020-12-01,1090,12,-100,-100
East Sussex,2020-12-02,1107,17,-100,-100
East Sussex,2020-12-03,1126,18,-100,-100
East Sussex,2020-12-04,1152,25,-100,-100
East Sussex,2020-12-05,1168,16,-100,-100
East Sussex,2020-12-06,1192,23,-100,-100
East Sussex,2020-12-07,1210,17,0,-100
East Sussex,2020-12-08,1227,17,0,-100
East Sussex,2020-12-09,1250,22,0,-100
East Sussex,2020-12-10,1291,40,0,-100
East Sussex,2020-12-11,1325,34,0,0
East Sussex,2020-12-12,1373,47,0,0
East Sussex,2020-12-13,1423,49,0,0
East Sussex,2020-12-14,1456,33,0,0
East Sussex,2020-12-15,1518,61,0,0
East Sussex,2020-12-16,1568,50,0,0
East Sussex,2020-12-17,1642,73,0,0
East Sussex,2020-12-18,1710,68,0,0
East Sussex,2020-12-19,1773,63,0,0
East Sussex,2020-12-20,1894,120,0,0
East Sussex,2020-12-21,1988,94,0,0
East Sussex,2020-12-22,2075,86,0,0
East Sussex,2020-12-23,2167,91,0,0
East Sussex,2020-12-24,2259,92,0,0
East Sussex,2020-12-25,2355,96,0,0
East Sussex,2020-12-26,2458,102,0,0
East Sussex,2020-12-27,2508,50,0,0
East Sussex,2020-12-28,2573,64,2,1
East Sussex,2020-12-29,2695,122,2,0
East Sussex,2020-12-30,2765,69,2,1
East Sussex,2020-12-31,2906,141,1,1
East Sussex,2021-01-01,3058,152,1,0
East Sussex,2021-01-02,3125,67,1,1
East Sussex,2021-01-03,3260,134,1,0
East Sussex,2021-01-04,3410,150,3,1
East Sussex,2021-01-05,3529,119,3,0
East Sussex,2021-01-06,3659,129,2,0
East Sussex,2021-01-07,3787,127,0,1
East Sussex,2021-01-08,3920,133,6,0
East Sussex,2021-01-09,4058,137,2,0
East Sussex,2021-01-10,4193,135,2,0
East Sussex,2021-01-11,4249,55,4,1
East Sussex,2021-01-12,4352,103,3,0
East Sussex,2021-01-13,4439,86,2,0
East Sussex,2021-01-14,4545,106,2,0
East Sussex,2021-01-15,4672,126,1,1
East Sussex,2021-01-16,4759,87,1,0
East Sussex,2021-01-17,4842,83,1,0
East Sussex,2021-01-18,4918,76,4,0
East Sussex,2021-01-19,4991,73,2,0
East Sussex,2021-01-20,5049,57,2,0
East Sussex,2021-01-21,5127,78,1,1
East Sussex,2021-01-22,5222,94,2,0
East Sussex,2021-01-23,5289,67,0,0
East Sussex,2021-01-24,5340,50,1,0
East Sussex,2021-01-25,5374,34,1,0
East Sussex,2021-01-26,5412,38,1,0
East Sussex,2021-01-27,5451,38,1,0
East Sussex,2021-01-28,5500,48,1,0
East Sussex,2021-01-29,5556,56,0,0
East Sussex,2021-01-30,5587,30,0,0
East Sussex,2021-01-31,5616,28,1,0
East Sussex,2021-02-01,5639,23,0,1
East Sussex,2021-02-02,5671,32,0,0
East Sussex,2021-02-03,5701,30,0,0
East Sussex,2021-02-04,5724,22,0,0
East Sussex,2021-02-05,5745,20,0,0
East Sussex,2021-02-06,5770,25,0,0
East Sussex,2021-02-07,5781,10,0,0
East Sussex,2021-02-08,5793,11,0,0
East Sussex,2021-02-09,5808,14,0,0
East Sussex,2021-02-10,5828,20,0,0
East Sussex,2021-02-11,5838,10,0,0
East Sussex,2021-02-12,5857,19,0,0
East Sussex,2021-02-13,5871,13,0,0
East Sussex,2021-02-14,5881,9,0,0
East Sussex,2021-02-15,5886,5,0,0
East Sussex,2021-02-16,5894,7,0,0
East Sussex,2021-02-17,5902,8,0,0
East Sussex,2021-02-18,5913,10,0,0
East Sussex,2021-02-19,5921,8,0,0
East Sussex,2021-02-20,5932,11,0,0
East Sussex,2021-02-21,5938,5,0,0
East Sussex,2021-02-22,5945,6,0,0
East Sussex,2021-02-23,5954,9,0,0
East Sussex,2021-02-24,5964,9,0,0
East Sussex,2021-02-25,5973,9,0,0
East Sussex,2021-02-26,5978,4,0,0
East Sussex,2021-02-27,5984,6,0,0
East Sussex,2021-02-28,5988,3,0,0
East Sussex,2021-03-01,5991,2,0,0
East Sussex,2021-03-02,5993,2,0,0
East Sussex,2021-03-03,5996,3,0,0
East Sussex,2021-03-04,5999,3,0,0
East Sussex,2021-03-05,6003,3,0,0
East Sussex,2021-03-06,6007,4,0,0
East Sussex,2021-03-07,6011,3,0,0
East Sussex,2021-03-08,6012,1,0,0
East Sussex,2021-03-09,6015,3,0,0
East Sussex,2021-03-10,6018,2,0,0
East Sussex,2021-03-11,6021,3,0,0
East Sussex,2021-03-12,6025,3,0,0
East Sussex,2021-03-13,6027,2,0,0
East Sussex,2021-03-14,6028,1,0,0
East Sussex,2021-03-15,6030,2,0,0
East Sussex,2021-03-16,6034,3,0,0
East Sussex,2021-03-17,6037,3,0,1
East Sussex,2021-03-18,6042,4,0,0
East Sussex,2021-03-19,6045,3,0,0
East Sussex,2021-03-20,6048,2,0,0
East Sussex,2021-03-21,6052,4,1,1
East Sussex,2021-03-22,6056,4,0,0
East Sussex,2021-03-23,6058,2,0,1
East Sussex,2021-03-24,6061,2,0,1
East Sussex,2021-03-25,6063,2,0,0
East Sussex,2021-03-26,6066,2,0,0
East Sussex,2021-03-27,6068,1,0,0
East Sussex,2021-03-28,6071,3,1,1
East Sussex,2021-03-29,6073,2,0,0
East Sussex,2021-03-30,6077,3,0,0
East Sussex,2021-03-31,6081,4,0,0
East Sussex,2021-04-01,6085,3,0,0
East Sussex,2021-04-02,6089,3,0,0
East Sussex,2021-04-03,6091,2,0,0
East Sussex,2021-04-04,6092,1,0,0
East Sussex,2021-04-05,6093,1,0,0
East Sussex,2021-04-06,6094,0,0,0
East Sussex,2021-04-07,6095,1,0,0
East Sussex,2021-04-08,6097,2,0,0
East Sussex,2021-04-09,6085,0,0,0
East Sussex,2021-04-10,6085,0,0,0
East Sussex,2021-04-11,6085,0,0,0
East Sussex,2021-04-12,6087,2,0,0
East Sussex,2021-04-13,6089,1,0,0
East Sussex,2021-04-14,6089,0,0,1
East Sussex,2021-04-15,6091,2,0,0
East Sussex,2021-04-16,6093,2,0,0
East Sussex,2021-04-17,6094,1,0,0
East Sussex,2021-04-18,6096,1,0,0
East Sussex,2021-04-19,6097,1,0,1
East Sussex,2021-04-20,6099,2,0,0
East Sussex,2021-04-21,6100,1,0,0
East Sussex,2021-04-22,6102,2,0,0
East Sussex,2021-04-23,6104,1,0,0
East Sussex,2021-04-24,6107,3,0,0
East Sussex,2021-04-25,6108,1,0,1
East Sussex,2021-04-26,6110,1,0,0
East Sussex,2021-04-27,6112,2,0,0
East Sussex,2021-04-28,6113,1,0,0
East Sussex,2021-04-29,6116,2,0,0
East Sussex,2021-04-30,6118,2,0,0
East Sussex,2021-05-01,6119,1,0,0
East Sussex,2021-05-02,6120,0,0,0
East Sussex,2021-05-03,6121,1,0,1
East Sussex,2021-05-04,6123,2,0,0
East Sussex,2021-05-05,6125,1,0,0
East Sussex,2021-05-06,6127,1,0,0
East Sussex,2021-05-07,6128,1,0,0
East Sussex,2021-05-08,6129,0,0,0
East Sussex,2021-05-09,6130,0,0,1
East Sussex,2021-05-10,6131,1,0,0
East Sussex,2021-05-11,6134,2,0,0
East Sussex,2021-05-12,6134,0,0,0
East Sussex,2021-05-13,6134,0,0,1
East Sussex,2021-05-14,6137,3,0,0
East Sussex,2021-05-15,6138,1,0,0
East Sussex,2021-05-16,6138,0,0,0
East Sussex,2021-05-17,6139,0,0,0
East Sussex,2021-05-18,6131,0,0,0
East Sussex,2021-05-19,6131,0,0,0
East Sussex,2021-05-20,6132,0,0,0
East Sussex,2021-05-21,6133,1,0,0
East Sussex,2021-05-22,6134,1,0,0
East Sussex,2021-05-23,6135,0,0,0
East Sussex,2021-05-24,6135,0,0,0
East Sussex,2021-05-25,6136,1,0,0
East Sussex,2021-05-26,6136,0,0,1
East Sussex,2021-05-27,6138,1,0,0
East Sussex,2021-05-28,6141,3,0,0
East Sussex,2021-05-29,6142,1,0,0
East Sussex,2021-05-30,6142,0,0,0
East Sussex,2021-05-31,6143,1,0,0
East Sussex,2021-06-01,6144,0,0,0
East Sussex,2021-06-02,6144,0,0,0
East Sussex,2021-06-03,6145,1,0,0
East Sussex,2021-06-04,6147,2,0,0
East Sussex,2021-06-05,6148,1,0,0
East Sussex,2021-06-06,6150,1,0,0
East Sussex,2021-06-07,6152,2,0,0
East Sussex,2021-06-08,6154,1,0,0
East Sussex,2021-06-09,6156,2,0,0
East Sussex,2021-06-10,6160,4,0,0
East Sussex,2021-06-11,6162,1,0,0
East Sussex,2021-06-12,6166,4,1,0
East Sussex,2021-06-13,6170,4,1,0
East Sussex,2021-06-14,6174,3,1,0
East Sussex,2021-06-15,6177,3,1,0
East Sussex,2021-06-16,6180,3,0,0
East Sussex,2021-06-17,6186,5,1,1
East Sussex,2021-06-18,6189,3,1,1
East Sussex,2021-06-19,6193,3,0,0
East Sussex,2021-06-20,6199,6,2,0
East Sussex,2021-06-21,6204,5,1,1
East Sussex,2021-06-22,6210,5,3,0
East Sussex,2021-06-23,6221,10,3,0
East Sussex,2021-06-24,6231,10,1,1
East Sussex,2021-06-25,6241,10,3,0
East Sussex,2021-06-26,6253,12,3,0
East Sussex,2021-06-27,6262,9,5,1
East Sussex,2021-06-28,6280,17,8,1
East Sussex,2021-06-29,6301,21,6,1
East Sussex,2021-06-30,6326,25,5,2
East Sussex,2021-07-01,6347,21,5,2
East Sussex,2021-07-02,6372,24,6,2
East Sussex,2021-07-03,6399,27,6,2
East Sussex,2021-07-04,6426,26,10,3
East Sussex,2021-07-05,6459,33,8,2
East Sussex,2021-07-06,6492,32,9,2
East Sussex,2021-07-07,6535,42,7,3
East Sussex,2021-07-08,6569,34,8,2
East Sussex,2021-07-09,6597,28,8,2
East Sussex,2021-07-10,6640,42,7,1
East Sussex,2021-07-11,6674,34,8,1
East Sussex,2021-07-12,6718,44,12,2
East Sussex,2021-07-13,6762,44,13,1
East Sussex,2021-07-14,6812,49,15,5
East Sussex,2021-07-15,6877,64,15,3
East Sussex,2021-07-16,6944,67,13,3
East Sussex,2021-07-17,7018,74,10,1
East Sussex,2021-07-18,7073,55,12,4
East Sussex,2021-07-19,7128,54,11,2
East Sussex,2021-07-20,7170,41,6,2
East Sussex,2021-07-21,7212,42,6,2
East Sussex,2021-07-22,7263,50,6,2
East Sussex,2021-07-23,7312,49,5,1
East Sussex,2021-07-24,7347,34,4,1
East Sussex,2021-07-25,7373,25,5,1
East Sussex,2021-07-26,7397,24,8,1
East Sussex,2021-07-27,7422,25,7,1
East Sussex,2021-07-28,7461,38,6,3
East Sussex,2021-07-29,7501,40,6,1
East Sussex,2021-07-30,7535,34,5,1
East Sussex,2021-07-31,7565,30,4,0
East Sussex,2021-08-01,7597,32,4,0
East Sussex,2021-08-02,7617,20,7,1
East Sussex,2021-08-03,7637,19,6,2
East Sussex,2021-08-04,7668,31,9,2
East Sussex,2021-08-05,7700,32,6,2
East Sussex,2021-08-06,7740,40,3,1
East Sussex,2021-08-07,7770,30,4,1
East Sussex,2021-08-08,7803,32,7,2
East Sussex,2021-08-09,7837,33,7,2
East Sussex,2021-08-10,7863,26,8,1
East Sussex,2021-08-11,7891,28,9,1
East Sussex,2021-08-12,7934,43,8,3
East Sussex,2021-08-13,7982,47,6,1
East Sussex,2021-08-14,8031,48,8,1
East Sussex,2021-08-15,8077,46,11,1
East Sussex,2021-08-16,8121,43,12,2
East Sussex,2021-08-17,8163,42,8,2
East Sussex,2021-08-18,8228,64,12,2
East Sussex,2021-08-19,8285,57,7,2
East Sussex,2021-08-20,8332,46,10,2
East Sussex,2021-08-21,8387,55,7,0
East Sussex,2021-08-22,8435,47,9,1
East Sussex,2021-08-23,8477,42,11,2
East Sussex,2021-08-24,8521,43,8,1
East Sussex,2021-08-25,8564,43,7,1
East Sussex,2021-08-26,8621,56,9,2
East Sussex,2021-08-27,8668,47,6,3
East Sussex,2021-08-28,8728,59,5,1
East Sussex,2021-08-29,8777,49,6,1
East Sussex,2021-08-30,8806,29,7,2
East Sussex,2021-08-31,8837,31,13,4
