areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Enfield,2020-07-05,1216,3,-100,-100
Enfield,2020-07-06,1218,2,-100,-100
Enfield,2020-07-07,1219,1,-100,-100
Enfield,2020-07-08,1219,0,-100,-100
Enfield,2020-07-09,1222,3,-100,-100
Enfield,2020-07-10,1222,0,-100,-100
Enfield,2020-07-11,1224,2,-100,-100
Enfield,2020-07-12,1223,0,-100,-100
Enfield,2020-07-13,1226,3,-100,-100
Enfield,2020-07-14,1227,1,-100,-100
Enfield,2020-07-15,1234,6,-100,-100
Enfield,2020-07-16,1234,0,-100,-100
Enfield,2020-07-17,1235,1,-100,-100
Enfield,2020-07-18,1239,4,-100,-100
Enfield,2020-07-19,1239,0,-100,-100
Enfield,2020-07-20,1243,4,-100,-100
Enfield,2020-07-21,1244,1,-100,-100
Enfield,2020-07-22,1246,2,-100,-100
Enfield,2020-07-23,1247,1,-100,-100
Enfield,2020-07-24,1247,0,-100,-100
Enfield,2020-07-25,1247,0,-100,-100
Enfield,2020-07-26,1249,2,-100,-100
Enfield,2020-07-27,1249,0,-100,-100
Enfield,2020-07-28,1250,1,-100,-100
Enfield,2020-07-29,1251,1,-100,-100
Enfield,2020-07-30,1255,4,-100,-100
Enfield,2020-07-31,1259,3,-100,-100
Enfield,2020-08-01,1268,9,-100,-100
Enfield,2020-08-02,1269,1,-100,-100
Enfield,2020-08-03,1272,3,-100,-100
Enfield,2020-08-04,1274,2,-100,-100
Enfield,2020-08-05,1276,2,-100,-100
Enfield,2020-08-06,1275,0,-100,-100
Enfield,2020-08-07,1276,1,-100,-100
Enfield,2020-08-08,1282,6,-100,-100
Enfield,2020-08-09,1284,2,-100,-100
Enfield,2020-08-10,1286,2,-100,-100
Enfield,2020-08-11,1293,6,-100,-100
Enfield,2020-08-12,1294,1,-100,-100
Enfield,2020-08-13,1294,0,-100,-100
Enfield,2020-08-14,1303,9,-100,-100
Enfield,2020-08-15,1305,2,-100,-100
Enfield,2020-08-16,1308,3,-100,-100
Enfield,2020-08-17,1311,3,-100,-100
Enfield,2020-08-18,1316,5,-100,-100
Enfield,2020-08-19,1320,3,-100,-100
Enfield,2020-08-20,1326,6,-100,-100
Enfield,2020-08-21,1330,4,-100,-100
Enfield,2020-08-22,1339,9,-100,-100
Enfield,2020-08-23,1345,6,-100,-100
Enfield,2020-08-24,1350,4,-100,-100
Enfield,2020-08-25,1358,8,-100,-100
Enfield,2020-08-26,1364,6,-100,-100
Enfield,2020-08-27,1376,12,-100,-100
Enfield,2020-08-28,1387,10,-100,-100
Enfield,2020-08-29,1391,4,-100,-100
Enfield,2020-08-30,1397,6,-100,-100
Enfield,2020-08-31,1401,4,-100,-100
Enfield,2020-09-01,1402,1,-100,-100
Enfield,2020-09-02,1405,3,-100,-100
Enfield,2020-09-03,1414,8,-100,-100
Enfield,2020-09-04,1424,10,-100,-100
Enfield,2020-09-05,1429,5,-100,-100
Enfield,2020-09-06,1447,17,-100,-100
Enfield,2020-09-07,1459,12,-100,-100
Enfield,2020-09-08,1471,11,-100,-100
Enfield,2020-09-09,1488,17,-100,-100
Enfield,2020-09-10,1506,17,-100,-100
Enfield,2020-09-11,1529,22,-100,-100
Enfield,2020-09-12,1551,22,-100,-100
Enfield,2020-09-13,1562,10,-100,-100
Enfield,2020-09-14,1569,7,-100,-100
Enfield,2020-09-15,1582,13,-100,-100
Enfield,2020-09-16,1594,11,-100,-100
Enfield,2020-09-17,1605,11,-100,-100
Enfield,2020-09-18,1619,13,-100,-100
Enfield,2020-09-19,1634,15,-100,-100
Enfield,2020-09-20,1645,11,-100,-100
Enfield,2020-09-21,1653,7,-100,-100
