areaName,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
Essex,2020-07-05,2079,1,-100,-100
Essex,2020-07-06,2080,1,-100,-100
Essex,2020-07-07,2085,4,-100,-100
Essex,2020-07-08,2089,3,-100,-100
Essex,2020-07-09,2091,2,-100,-100
Essex,2020-07-10,2096,4,-100,-100
Essex,2020-07-11,2105,9,-100,-100
Essex,2020-07-12,2111,5,-100,-100
Essex,2020-07-13,2115,4,-100,-100
Essex,2020-07-14,2119,3,-100,-100
Essex,2020-07-15,2124,4,-100,-100
Essex,2020-07-16,2128,4,-100,-100
Essex,2020-07-17,2135,6,-100,-100
Essex,2020-07-18,2145,10,-100,-100
Essex,2020-07-19,2154,9,-100,-100
Essex,2020-07-20,2159,4,-100,-100
Essex,2020-07-21,2162,3,-100,-100
Essex,2020-07-22,2166,4,-100,-100
Essex,2020-07-23,2172,6,-100,-100
Essex,2020-07-24,2182,9,-100,-100
Essex,2020-07-25,2189,7,-100,-100
Essex,2020-07-26,2191,1,-100,-100
Essex,2020-07-27,2194,3,-100,-100
Essex,2020-07-28,2196,2,-100,-100
Essex,2020-07-29,2198,1,-100,-100
Essex,2020-07-30,2207,9,-100,-100
Essex,2020-07-31,2210,3,-100,-100
Essex,2020-08-01,2215,4,-100,-100
Essex,2020-08-02,2217,1,-100,-100
Essex,2020-08-03,2218,0,-100,-100
Essex,2020-08-04,2224,6,-100,-100
Essex,2020-08-05,2228,3,-100,-100
Essex,2020-08-06,2231,2,-100,-100
Essex,2020-08-07,2234,3,-100,-100
Essex,2020-08-08,2237,3,-100,-100
Essex,2020-08-09,2240,3,-100,-100
Essex,2020-08-10,2245,4,-100,-100
Essex,2020-08-11,2247,1,-100,-100
Essex,2020-08-12,2250,3,-100,-100
Essex,2020-08-13,2250,0,-100,-100
Essex,2020-08-14,2254,3,-100,-100
Essex,2020-08-15,2258,3,-100,-100
Essex,2020-08-16,2263,5,-100,-100
Essex,2020-08-17,2266,2,-100,-100
Essex,2020-08-18,2272,5,-100,-100
Essex,2020-08-19,2273,1,-100,-100
Essex,2020-08-20,2277,4,-100,-100
Essex,2020-08-21,2282,5,-100,-100
Essex,2020-08-22,2289,6,-100,-100
Essex,2020-08-23,2294,4,-100,-100
Essex,2020-08-24,2298,4,-100,-100
Essex,2020-08-25,2305,7,-100,-100
Essex,2020-08-26,2309,4,-100,-100
Essex,2020-08-27,2314,5,-100,-100
Essex,2020-08-28,2324,9,-100,-100
Essex,2020-08-29,2329,5,-100,-100
Essex,2020-08-30,2335,6,-100,-100
Essex,2020-08-31,2343,7,-100,-100
Essex,2020-09-01,2351,8,-100,-100
Essex,2020-09-02,2357,5,-100,-100
Essex,2020-09-03,2365,7,-100,-100
Essex,2020-09-04,2370,5,-100,-100
Essex,2020-09-05,2377,7,-100,-100
Essex,2020-09-06,2385,8,-100,-100
Essex,2020-09-07,2394,8,-100,-100
Essex,2020-09-08,2403,9,-100,-100
Essex,2020-09-09,2410,7,-100,-100
Essex,2020-09-10,2423,12,-100,-100
Essex,2020-09-11,2432,8,-100,-100
Essex,2020-09-12,2443,11,-100,-100
Essex,2020-09-13,2455,11,-100,-100
Essex,2020-09-14,2459,4,-100,-100
Essex,2020-09-15,2472,13,-100,-100
Essex,2020-09-16,2478,6,-100,-100
Essex,2020-09-17,2493,14,-100,-100
Essex,2020-09-18,2501,8,-100,-100
Essex,2020-09-19,2512,10,-100,-100
Essex,2020-09-20,2523,11,-100,-100
Essex,2020-09-21,2535,12,-100,-100
