areaName,date,newCasesByPublishDate
Neath Port Talbot,2020-08-23,0
Neath Port Talbot,2020-08-24,0
Neath Port Talbot,2020-08-25,0
Neath Port Talbot,2020-08-26,0
Neath Port Talbot,2020-08-27,0
Neath Port Talbot,2020-08-28,0
Neath Port Talbot,2020-08-29,0
Neath Port Talbot,2020-08-30,1
Neath Port Talbot,2020-08-31,0
Neath Port Talbot,2020-09-01,0
Neath Port Talbot,2020-09-02,0
Neath Port Talbot,2020-09-03,0
Neath Port Talbot,2020-09-04,0
Neath Port Talbot,2020-09-05,0
Neath Port Talbot,2020-09-06,1
Neath Port Talbot,2020-09-07,3
Neath Port Talbot,2020-09-08,6
Neath Port Talbot,2020-09-09,4
Neath Port Talbot,2020-09-10,1
Neath Port Talbot,2020-09-11,3
Neath Port Talbot,2020-09-12,1
Neath Port Talbot,2020-09-13,1
Neath Port Talbot,2020-09-14,1
Neath Port Talbot,2020-09-15,0
Neath Port Talbot,2020-09-16,2
Neath Port Talbot,2020-09-17,1
Neath Port Talbot,2020-09-18,2
Neath Port Talbot,2020-09-19,0
Neath Port Talbot,2020-09-20,1
Neath Port Talbot,2020-09-21,3
Neath Port Talbot,2020-09-22,1
Neath Port Talbot,2020-09-23,2
Neath Port Talbot,2020-09-24,4
Neath Port Talbot,2020-09-25,10
Neath Port Talbot,2020-09-26,5
Neath Port Talbot,2020-09-27,4
Neath Port Talbot,2020-09-28,5
Neath Port Talbot,2020-09-29,8
Neath Port Talbot,2020-09-30,6
Neath Port Talbot,2020-10-01,6
Neath Port Talbot,2020-10-02,8
Neath Port Talbot,2020-10-03,12
Neath Port Talbot,2020-10-04,5
Neath Port Talbot,2020-10-05,20
Neath Port Talbot,2020-10-06,7
Neath Port Talbot,2020-10-07,16
Neath Port Talbot,2020-10-08,13
Neath Port Talbot,2020-10-09,24
Neath Port Talbot,2020-10-10,9
Neath Port Talbot,2020-10-11,15
Neath Port Talbot,2020-10-12,4
Neath Port Talbot,2020-10-13,17
Neath Port Talbot,2020-10-14,22
Neath Port Talbot,2020-10-15,23
Neath Port Talbot,2020-10-16,27
Neath Port Talbot,2020-10-17,20
Neath Port Talbot,2020-10-18,16
Neath Port Talbot,2020-10-19,25
Neath Port Talbot,2020-10-20,38
Neath Port Talbot,2020-10-21,34
Neath Port Talbot,2020-10-22,40
Neath Port Talbot,2020-10-23,13
Neath Port Talbot,2020-10-24,49
Neath Port Talbot,2020-10-25,40
Neath Port Talbot,2020-10-26,42
Neath Port Talbot,2020-10-27,47
Neath Port Talbot,2020-10-28,36
Neath Port Talbot,2020-10-29,42
Neath Port Talbot,2020-10-30,49
Neath Port Talbot,2020-10-31,71
Neath Port Talbot,2020-11-01,30
Neath Port Talbot,2020-11-02,56
Neath Port Talbot,2020-11-03,23
Neath Port Talbot,2020-11-04,36
Neath Port Talbot,2020-11-05,42
Neath Port Talbot,2020-11-06,48
Neath Port Talbot,2020-11-07,30
Neath Port Talbot,2020-11-08,13
Neath Port Talbot,2020-11-09,18
Neath Port Talbot,2020-11-10,16
Neath Port Talbot,2020-11-11,27
Neath Port Talbot,2020-11-12,54
Neath Port Talbot,2020-11-13,45
Neath Port Talbot,2020-11-14,29
Neath Port Talbot,2020-11-15,45
Neath Port Talbot,2020-11-16,30
Neath Port Talbot,2020-11-17,26
Neath Port Talbot,2020-11-18,26
Neath Port Talbot,2020-11-19,37
Neath Port Talbot,2020-11-20,34
Neath Port Talbot,2020-11-21,48
Neath Port Talbot,2020-11-22,35
Neath Port Talbot,2020-11-23,22
Neath Port Talbot,2020-11-24,27
Neath Port Talbot,2020-11-25,27
Neath Port Talbot,2020-11-26,59
Neath Port Talbot,2020-11-27,35
Neath Port Talbot,2020-11-28,35
Neath Port Talbot,2020-11-29,79
Neath Port Talbot,2020-11-30,29
Neath Port Talbot,2020-12-01,49
Neath Port Talbot,2020-12-02,59
Neath Port Talbot,2020-12-03,73
Neath Port Talbot,2020-12-04,78
Neath Port Talbot,2020-12-05,77
Neath Port Talbot,2020-12-06,80
Neath Port Talbot,2020-12-07,113
Neath Port Talbot,2020-12-08,36
