areaName,date,newCasesByPublishDate
Newcastle upon Tyne,2020-08-23,0
Newcastle upon Tyne,2020-08-24,1
Newcastle upon Tyne,2020-08-25,0
Newcastle upon Tyne,2020-08-26,0
Newcastle upon Tyne,2020-08-27,0
Newcastle upon Tyne,2020-08-28,1
Newcastle upon Tyne,2020-08-29,0
Newcastle upon Tyne,2020-08-30,3
Newcastle upon Tyne,2020-08-31,2
Newcastle upon Tyne,2020-09-01,2
Newcastle upon Tyne,2020-09-02,1
Newcastle upon Tyne,2020-09-03,1
Newcastle upon Tyne,2020-09-04,3
Newcastle upon Tyne,2020-09-05,3
Newcastle upon Tyne,2020-09-06,7
Newcastle upon Tyne,2020-09-07,7
Newcastle upon Tyne,2020-09-08,2
Newcastle upon Tyne,2020-09-09,6
Newcastle upon Tyne,2020-09-10,8
Newcastle upon Tyne,2020-09-11,5
Newcastle upon Tyne,2020-09-12,7
Newcastle upon Tyne,2020-09-13,4
Newcastle upon Tyne,2020-09-14,3
Newcastle upon Tyne,2020-09-15,8
Newcastle upon Tyne,2020-09-16,11
Newcastle upon Tyne,2020-09-17,10
Newcastle upon Tyne,2020-09-18,11
Newcastle upon Tyne,2020-09-19,12
Newcastle upon Tyne,2020-09-20,20
Newcastle upon Tyne,2020-09-21,20
Newcastle upon Tyne,2020-09-22,26
Newcastle upon Tyne,2020-09-23,31
Newcastle upon Tyne,2020-09-24,20
Newcastle upon Tyne,2020-09-25,26
Newcastle upon Tyne,2020-09-26,21
Newcastle upon Tyne,2020-09-27,19
Newcastle upon Tyne,2020-09-28,17
Newcastle upon Tyne,2020-09-29,38
Newcastle upon Tyne,2020-09-30,27
Newcastle upon Tyne,2020-10-01,15
Newcastle upon Tyne,2020-10-02,17
Newcastle upon Tyne,2020-10-03,39
Newcastle upon Tyne,2020-10-04,141
Newcastle upon Tyne,2020-10-05,55
Newcastle upon Tyne,2020-10-06,62
Newcastle upon Tyne,2020-10-07,49
Newcastle upon Tyne,2020-10-08,68
Newcastle upon Tyne,2020-10-09,42
Newcastle upon Tyne,2020-10-10,39
Newcastle upon Tyne,2020-10-11,43
Newcastle upon Tyne,2020-10-12,39
Newcastle upon Tyne,2020-10-13,36
Newcastle upon Tyne,2020-10-14,41
Newcastle upon Tyne,2020-10-15,34
Newcastle upon Tyne,2020-10-16,37
Newcastle upon Tyne,2020-10-17,27
Newcastle upon Tyne,2020-10-18,18
Newcastle upon Tyne,2020-10-19,21
Newcastle upon Tyne,2020-10-20,30
Newcastle upon Tyne,2020-10-21,53
Newcastle upon Tyne,2020-10-22,38
Newcastle upon Tyne,2020-10-23,31
Newcastle upon Tyne,2020-10-24,31
Newcastle upon Tyne,2020-10-25,27
Newcastle upon Tyne,2020-10-26,24
Newcastle upon Tyne,2020-10-27,32
Newcastle upon Tyne,2020-10-28,30
Newcastle upon Tyne,2020-10-29,32
Newcastle upon Tyne,2020-10-30,21
Newcastle upon Tyne,2020-10-31,27
Newcastle upon Tyne,2020-11-01,28
Newcastle upon Tyne,2020-11-02,26
Newcastle upon Tyne,2020-11-03,29
Newcastle upon Tyne,2020-11-04,38
Newcastle upon Tyne,2020-11-05,40
Newcastle upon Tyne,2020-11-06,36
Newcastle upon Tyne,2020-11-07,33
Newcastle upon Tyne,2020-11-08,42
Newcastle upon Tyne,2020-11-09,33
Newcastle upon Tyne,2020-11-10,38
Newcastle upon Tyne,2020-11-11,35
Newcastle upon Tyne,2020-11-12,55
Newcastle upon Tyne,2020-11-13,49
Newcastle upon Tyne,2020-11-14,43
Newcastle upon Tyne,2020-11-15,44
Newcastle upon Tyne,2020-11-16,644
Newcastle upon Tyne,2020-11-17,34
Newcastle upon Tyne,2020-11-18,43
Newcastle upon Tyne,2020-11-19,36
Newcastle upon Tyne,2020-11-20,34
Newcastle upon Tyne,2020-11-21,33
Newcastle upon Tyne,2020-11-22,23
Newcastle upon Tyne,2020-11-23,14
Newcastle upon Tyne,2020-11-24,16
Newcastle upon Tyne,2020-11-25,24
Newcastle upon Tyne,2020-11-26,19
Newcastle upon Tyne,2020-11-27,21
Newcastle upon Tyne,2020-11-28,16
Newcastle upon Tyne,2020-11-29,14
Newcastle upon Tyne,2020-11-30,12
Newcastle upon Tyne,2020-12-01,11
Newcastle upon Tyne,2020-12-02,13
Newcastle upon Tyne,2020-12-03,13
Newcastle upon Tyne,2020-12-04,14
Newcastle upon Tyne,2020-12-05,11
Newcastle upon Tyne,2020-12-06,7
Newcastle upon Tyne,2020-12-07,8
Newcastle upon Tyne,2020-12-08,9
Newcastle upon Tyne,2020-12-09,13
Newcastle upon Tyne,2020-12-10,11
Newcastle upon Tyne,2020-12-11,16
Newcastle upon Tyne,2020-12-12,22
Newcastle upon Tyne,2020-12-13,13
Newcastle upon Tyne,2020-12-14,14
Newcastle upon Tyne,2020-12-15,11
Newcastle upon Tyne,2020-12-16,19
Newcastle upon Tyne,2020-12-17,14
Newcastle upon Tyne,2020-12-18,11
Newcastle upon Tyne,2020-12-19,8
Newcastle upon Tyne,2020-12-20,8
Newcastle upon Tyne,2020-12-21,21
Newcastle upon Tyne,2020-12-22,17
Newcastle upon Tyne,2020-12-23,16
Newcastle upon Tyne,2020-12-24,16
Newcastle upon Tyne,2020-12-25,18
Newcastle upon Tyne,2020-12-26,10
Newcastle upon Tyne,2020-12-27,10
Newcastle upon Tyne,2020-12-28,11
Newcastle upon Tyne,2020-12-29,14
Newcastle upon Tyne,2020-12-30,25
Newcastle upon Tyne,2020-12-31,22
Newcastle upon Tyne,2021-01-01,13
Newcastle upon Tyne,2021-01-02,31
Newcastle upon Tyne,2021-01-03,20
Newcastle upon Tyne,2021-01-04,34
Newcastle upon Tyne,2021-01-05,27
Newcastle upon Tyne,2021-01-06,29
Newcastle upon Tyne,2021-01-07,28
Newcastle upon Tyne,2021-01-08,28
Newcastle upon Tyne,2021-01-09,17
Newcastle upon Tyne,2021-01-10,26
Newcastle upon Tyne,2021-01-11,26
Newcastle upon Tyne,2021-01-12,23
Newcastle upon Tyne,2021-01-13,35
Newcastle upon Tyne,2021-01-14,26
