areaName,date,newCasesByPublishDate
Norfolk,2020-08-23,0
Norfolk,2020-08-24,0
Norfolk,2020-08-25,1
Norfolk,2020-08-26,2
Norfolk,2020-08-27,1
Norfolk,2020-08-28,0
Norfolk,2020-08-29,0
Norfolk,2020-08-30,2
Norfolk,2020-08-31,1
Norfolk,2020-09-01,1
Norfolk,2020-09-02,1
Norfolk,2020-09-03,0
Norfolk,2020-09-04,0
Norfolk,2020-09-05,1
Norfolk,2020-09-06,0
Norfolk,2020-09-07,0
Norfolk,2020-09-08,0
Norfolk,2020-09-09,0
Norfolk,2020-09-10,1
Norfolk,2020-09-11,1
Norfolk,2020-09-12,1
Norfolk,2020-09-13,1
Norfolk,2020-09-14,0
Norfolk,2020-09-15,0
Norfolk,2020-09-16,0
Norfolk,2020-09-17,0
Norfolk,2020-09-18,1
Norfolk,2020-09-19,1
Norfolk,2020-09-20,1
Norfolk,2020-09-21,0
Norfolk,2020-09-22,1
Norfolk,2020-09-23,1
Norfolk,2020-09-24,1
Norfolk,2020-09-25,1
Norfolk,2020-09-26,1
Norfolk,2020-09-27,0
Norfolk,2020-09-28,1
Norfolk,2020-09-29,2
Norfolk,2020-09-30,1
Norfolk,2020-10-01,1
Norfolk,2020-10-02,3
Norfolk,2020-10-03,4
Norfolk,2020-10-04,7
Norfolk,2020-10-05,3
Norfolk,2020-10-06,3
Norfolk,2020-10-07,5
Norfolk,2020-10-08,7
Norfolk,2020-10-09,8
Norfolk,2020-10-10,3
Norfolk,2020-10-11,2
Norfolk,2020-10-12,3
Norfolk,2020-10-13,6
Norfolk,2020-10-14,5
Norfolk,2020-10-15,6
Norfolk,2020-10-16,6
Norfolk,2020-10-17,7
Norfolk,2020-10-18,7
Norfolk,2020-10-19,7
Norfolk,2020-10-20,5
Norfolk,2020-10-21,13
Norfolk,2020-10-22,9
Norfolk,2020-10-23,4
Norfolk,2020-10-24,11
Norfolk,2020-10-25,10
Norfolk,2020-10-26,7
Norfolk,2020-10-27,12
Norfolk,2020-10-28,8
Norfolk,2020-10-29,11
Norfolk,2020-10-30,14
Norfolk,2020-10-31,10
Norfolk,2020-11-01,10
Norfolk,2020-11-02,10
Norfolk,2020-11-03,6
Norfolk,2020-11-04,11
Norfolk,2020-11-05,8
Norfolk,2020-11-06,12
Norfolk,2020-11-07,14
Norfolk,2020-11-08,10
Norfolk,2020-11-09,13
Norfolk,2020-11-10,15
Norfolk,2020-11-11,13
Norfolk,2020-11-12,23
Norfolk,2020-11-13,18
Norfolk,2020-11-14,12
Norfolk,2020-11-15,13
Norfolk,2020-11-16,0
Norfolk,2020-11-17,10
Norfolk,2020-11-18,7
Norfolk,2020-11-19,19
Norfolk,2020-11-20,12
Norfolk,2020-11-21,10
Norfolk,2020-11-22,11
Norfolk,2020-11-23,7
Norfolk,2020-11-24,14
Norfolk,2020-11-25,9
Norfolk,2020-11-26,8
Norfolk,2020-11-27,8
Norfolk,2020-11-28,12
Norfolk,2020-11-29,10
Norfolk,2020-11-30,8
Norfolk,2020-12-01,8
Norfolk,2020-12-02,9
Norfolk,2020-12-03,12
Norfolk,2020-12-04,12
Norfolk,2020-12-05,12
Norfolk,2020-12-06,12
Norfolk,2020-12-07,10
Norfolk,2020-12-08,7
Norfolk,2020-12-09,8
