areaName,date,newCasesByPublishDate
North East Lincolnshire,2020-08-23,0
North East Lincolnshire,2020-08-24,0
North East Lincolnshire,2020-08-25,0
North East Lincolnshire,2020-08-26,0
North East Lincolnshire,2020-08-27,0
North East Lincolnshire,2020-08-28,0
North East Lincolnshire,2020-08-29,0
North East Lincolnshire,2020-08-30,0
North East Lincolnshire,2020-08-31,0
North East Lincolnshire,2020-09-01,0
North East Lincolnshire,2020-09-02,0
North East Lincolnshire,2020-09-03,0
North East Lincolnshire,2020-09-04,0
North East Lincolnshire,2020-09-05,0
North East Lincolnshire,2020-09-06,0
North East Lincolnshire,2020-09-07,0
North East Lincolnshire,2020-09-08,0
North East Lincolnshire,2020-09-09,0
North East Lincolnshire,2020-09-10,0
North East Lincolnshire,2020-09-11,0
North East Lincolnshire,2020-09-12,0
North East Lincolnshire,2020-09-13,0
North East Lincolnshire,2020-09-14,0
North East Lincolnshire,2020-09-15,0
North East Lincolnshire,2020-09-16,0
North East Lincolnshire,2020-09-17,0
North East Lincolnshire,2020-09-18,0
North East Lincolnshire,2020-09-19,1
North East Lincolnshire,2020-09-20,0
North East Lincolnshire,2020-09-21,1
North East Lincolnshire,2020-09-22,0
North East Lincolnshire,2020-09-23,1
North East Lincolnshire,2020-09-24,3
North East Lincolnshire,2020-09-25,1
North East Lincolnshire,2020-09-26,2
North East Lincolnshire,2020-09-27,1
North East Lincolnshire,2020-09-28,1
North East Lincolnshire,2020-09-29,1
North East Lincolnshire,2020-09-30,3
North East Lincolnshire,2020-10-01,0
North East Lincolnshire,2020-10-02,1
North East Lincolnshire,2020-10-03,5
North East Lincolnshire,2020-10-04,9
North East Lincolnshire,2020-10-05,5
North East Lincolnshire,2020-10-06,5
North East Lincolnshire,2020-10-07,8
North East Lincolnshire,2020-10-08,11
North East Lincolnshire,2020-10-09,7
North East Lincolnshire,2020-10-10,8
North East Lincolnshire,2020-10-11,11
North East Lincolnshire,2020-10-12,2
North East Lincolnshire,2020-10-13,11
North East Lincolnshire,2020-10-14,19
North East Lincolnshire,2020-10-15,16
North East Lincolnshire,2020-10-16,15
North East Lincolnshire,2020-10-17,12
North East Lincolnshire,2020-10-18,19
North East Lincolnshire,2020-10-19,15
North East Lincolnshire,2020-10-20,13
North East Lincolnshire,2020-10-21,32
North East Lincolnshire,2020-10-22,21
North East Lincolnshire,2020-10-23,20
North East Lincolnshire,2020-10-24,24
North East Lincolnshire,2020-10-25,18
North East Lincolnshire,2020-10-26,23
North East Lincolnshire,2020-10-27,27
North East Lincolnshire,2020-10-28,25
North East Lincolnshire,2020-10-29,36
North East Lincolnshire,2020-10-30,27
North East Lincolnshire,2020-10-31,32
North East Lincolnshire,2020-11-01,36
North East Lincolnshire,2020-11-02,35
North East Lincolnshire,2020-11-03,29
North East Lincolnshire,2020-11-04,32
North East Lincolnshire,2020-11-05,71
North East Lincolnshire,2020-11-06,35
North East Lincolnshire,2020-11-07,38
North East Lincolnshire,2020-11-08,47
North East Lincolnshire,2020-11-09,31
North East Lincolnshire,2020-11-10,32
North East Lincolnshire,2020-11-11,35
North East Lincolnshire,2020-11-12,42
North East Lincolnshire,2020-11-13,37
North East Lincolnshire,2020-11-14,32
North East Lincolnshire,2020-11-15,29
North East Lincolnshire,2020-11-16,17
North East Lincolnshire,2020-11-17,25
North East Lincolnshire,2020-11-18,31
North East Lincolnshire,2020-11-19,31
North East Lincolnshire,2020-11-20,27
North East Lincolnshire,2020-11-21,30
North East Lincolnshire,2020-11-22,23
North East Lincolnshire,2020-11-23,12
North East Lincolnshire,2020-11-24,11
North East Lincolnshire,2020-11-25,20
North East Lincolnshire,2020-11-26,19
North East Lincolnshire,2020-11-27,12
North East Lincolnshire,2020-11-28,12
North East Lincolnshire,2020-11-29,11
North East Lincolnshire,2020-11-30,10
North East Lincolnshire,2020-12-01,9
North East Lincolnshire,2020-12-02,11
North East Lincolnshire,2020-12-03,20
North East Lincolnshire,2020-12-04,9
North East Lincolnshire,2020-12-05,7
North East Lincolnshire,2020-12-06,6
North East Lincolnshire,2020-12-07,7
North East Lincolnshire,2020-12-08,6
North East Lincolnshire,2020-12-09,10
North East Lincolnshire,2020-12-10,7
North East Lincolnshire,2020-12-11,11
North East Lincolnshire,2020-12-12,9
North East Lincolnshire,2020-12-13,5
North East Lincolnshire,2020-12-14,4
North East Lincolnshire,2020-12-15,3
North East Lincolnshire,2020-12-16,7
North East Lincolnshire,2020-12-17,10
North East Lincolnshire,2020-12-18,5
North East Lincolnshire,2020-12-19,9
North East Lincolnshire,2020-12-20,2
North East Lincolnshire,2020-12-21,7
North East Lincolnshire,2020-12-22,8
North East Lincolnshire,2020-12-23,9
North East Lincolnshire,2020-12-24,8
North East Lincolnshire,2020-12-25,7
North East Lincolnshire,2020-12-26,6
North East Lincolnshire,2020-12-27,1
North East Lincolnshire,2020-12-28,5
North East Lincolnshire,2020-12-29,6
North East Lincolnshire,2020-12-30,9
North East Lincolnshire,2020-12-31,14
North East Lincolnshire,2021-01-01,10
North East Lincolnshire,2021-01-02,18
North East Lincolnshire,2021-01-03,7
North East Lincolnshire,2021-01-04,11
