areaName,date,newCasesByPublishDate
North Lanarkshire,2020-08-23,0
North Lanarkshire,2020-08-24,1
North Lanarkshire,2020-08-25,0
North Lanarkshire,2020-08-26,0
North Lanarkshire,2020-08-27,0
North Lanarkshire,2020-08-28,0
North Lanarkshire,2020-08-29,0
North Lanarkshire,2020-08-30,1
North Lanarkshire,2020-08-31,2
North Lanarkshire,2020-09-01,2
North Lanarkshire,2020-09-02,1
North Lanarkshire,2020-09-03,0
North Lanarkshire,2020-09-04,1
North Lanarkshire,2020-09-05,1
North Lanarkshire,2020-09-06,1
North Lanarkshire,2020-09-07,1
North Lanarkshire,2020-09-08,2
North Lanarkshire,2020-09-09,1
North Lanarkshire,2020-09-10,3
North Lanarkshire,2020-09-11,2
North Lanarkshire,2020-09-12,4
North Lanarkshire,2020-09-13,4
North Lanarkshire,2020-09-14,0
North Lanarkshire,2020-09-15,4
North Lanarkshire,2020-09-16,3
North Lanarkshire,2020-09-17,4
North Lanarkshire,2020-09-18,2
North Lanarkshire,2020-09-19,5
North Lanarkshire,2020-09-20,4
North Lanarkshire,2020-09-21,4
North Lanarkshire,2020-09-22,8
North Lanarkshire,2020-09-23,7
North Lanarkshire,2020-09-24,4
North Lanarkshire,2020-09-25,4
North Lanarkshire,2020-09-26,5
North Lanarkshire,2020-09-27,5
North Lanarkshire,2020-09-28,3
North Lanarkshire,2020-09-29,6
North Lanarkshire,2020-09-30,6
North Lanarkshire,2020-10-01,7
North Lanarkshire,2020-10-02,7
North Lanarkshire,2020-10-03,9
North Lanarkshire,2020-10-04,7
North Lanarkshire,2020-10-05,9
North Lanarkshire,2020-10-06,12
North Lanarkshire,2020-10-07,13
North Lanarkshire,2020-10-08,14
North Lanarkshire,2020-10-09,18
North Lanarkshire,2020-10-10,14
North Lanarkshire,2020-10-11,12
North Lanarkshire,2020-10-12,16
North Lanarkshire,2020-10-13,21
North Lanarkshire,2020-10-14,21
North Lanarkshire,2020-10-15,24
North Lanarkshire,2020-10-16,22
North Lanarkshire,2020-10-17,28
North Lanarkshire,2020-10-18,6
North Lanarkshire,2020-10-19,21
North Lanarkshire,2020-10-20,25
North Lanarkshire,2020-10-21,37
North Lanarkshire,2020-10-22,29
North Lanarkshire,2020-10-23,28
North Lanarkshire,2020-10-24,22
North Lanarkshire,2020-10-25,22
North Lanarkshire,2020-10-26,18
North Lanarkshire,2020-10-27,23
North Lanarkshire,2020-10-28,19
