areaName,date,newCasesByPublishDate
North Lincolnshire,2020-08-23,0
North Lincolnshire,2020-08-24,0
North Lincolnshire,2020-08-25,0
North Lincolnshire,2020-08-26,0
North Lincolnshire,2020-08-27,0
North Lincolnshire,2020-08-28,0
North Lincolnshire,2020-08-29,0
North Lincolnshire,2020-08-30,0
North Lincolnshire,2020-08-31,0
North Lincolnshire,2020-09-01,0
North Lincolnshire,2020-09-02,0
North Lincolnshire,2020-09-03,0
North Lincolnshire,2020-09-04,0
North Lincolnshire,2020-09-05,0
North Lincolnshire,2020-09-06,1
North Lincolnshire,2020-09-07,1
North Lincolnshire,2020-09-08,0
North Lincolnshire,2020-09-09,1
North Lincolnshire,2020-09-10,1
North Lincolnshire,2020-09-11,1
North Lincolnshire,2020-09-12,4
North Lincolnshire,2020-09-13,0
North Lincolnshire,2020-09-14,1
North Lincolnshire,2020-09-15,2
North Lincolnshire,2020-09-16,1
North Lincolnshire,2020-09-17,1
North Lincolnshire,2020-09-18,0
North Lincolnshire,2020-09-19,1
North Lincolnshire,2020-09-20,2
North Lincolnshire,2020-09-21,2
North Lincolnshire,2020-09-22,2
North Lincolnshire,2020-09-23,5
North Lincolnshire,2020-09-24,3
North Lincolnshire,2020-09-25,2
North Lincolnshire,2020-09-26,1
North Lincolnshire,2020-09-27,2
North Lincolnshire,2020-09-28,3
North Lincolnshire,2020-09-29,5
North Lincolnshire,2020-09-30,5
North Lincolnshire,2020-10-01,2
North Lincolnshire,2020-10-02,2
North Lincolnshire,2020-10-03,5
North Lincolnshire,2020-10-04,16
North Lincolnshire,2020-10-05,9
North Lincolnshire,2020-10-06,11
North Lincolnshire,2020-10-07,10
North Lincolnshire,2020-10-08,13
North Lincolnshire,2020-10-09,7
North Lincolnshire,2020-10-10,7
North Lincolnshire,2020-10-11,15
North Lincolnshire,2020-10-12,9
North Lincolnshire,2020-10-13,16
North Lincolnshire,2020-10-14,13
North Lincolnshire,2020-10-15,17
North Lincolnshire,2020-10-16,8
North Lincolnshire,2020-10-17,9
North Lincolnshire,2020-10-18,15
North Lincolnshire,2020-10-19,13
North Lincolnshire,2020-10-20,22
North Lincolnshire,2020-10-21,18
North Lincolnshire,2020-10-22,13
North Lincolnshire,2020-10-23,14
North Lincolnshire,2020-10-24,18
North Lincolnshire,2020-10-25,11
North Lincolnshire,2020-10-26,17
North Lincolnshire,2020-10-27,21
North Lincolnshire,2020-10-28,19
North Lincolnshire,2020-10-29,19
North Lincolnshire,2020-10-30,25
North Lincolnshire,2020-10-31,15
North Lincolnshire,2020-11-01,27
North Lincolnshire,2020-11-02,19
North Lincolnshire,2020-11-03,20
North Lincolnshire,2020-11-04,21
North Lincolnshire,2020-11-05,29
North Lincolnshire,2020-11-06,32
North Lincolnshire,2020-11-07,29
North Lincolnshire,2020-11-08,33
North Lincolnshire,2020-11-09,27
North Lincolnshire,2020-11-10,29
North Lincolnshire,2020-11-11,35
North Lincolnshire,2020-11-12,42
North Lincolnshire,2020-11-13,44
North Lincolnshire,2020-11-14,42
North Lincolnshire,2020-11-15,40
North Lincolnshire,2020-11-16,0
North Lincolnshire,2020-11-17,40
North Lincolnshire,2020-11-18,36
North Lincolnshire,2020-11-19,45
North Lincolnshire,2020-11-20,26
North Lincolnshire,2020-11-21,18
North Lincolnshire,2020-11-22,28
North Lincolnshire,2020-11-23,20
North Lincolnshire,2020-11-24,16
North Lincolnshire,2020-11-25,26
North Lincolnshire,2020-11-26,19
North Lincolnshire,2020-11-27,21
North Lincolnshire,2020-11-28,18
North Lincolnshire,2020-11-29,12
North Lincolnshire,2020-11-30,15
