areaName,date,newCasesByPublishDate
North Tyneside,2020-08-23,0
North Tyneside,2020-08-24,0
North Tyneside,2020-08-25,0
North Tyneside,2020-08-26,0
North Tyneside,2020-08-27,1
North Tyneside,2020-08-28,0
North Tyneside,2020-08-29,0
North Tyneside,2020-08-30,0
North Tyneside,2020-08-31,0
North Tyneside,2020-09-01,0
North Tyneside,2020-09-02,0
North Tyneside,2020-09-03,1
North Tyneside,2020-09-04,1
North Tyneside,2020-09-05,0
North Tyneside,2020-09-06,2
North Tyneside,2020-09-07,3
North Tyneside,2020-09-08,1
North Tyneside,2020-09-09,2
North Tyneside,2020-09-10,4
North Tyneside,2020-09-11,2
North Tyneside,2020-09-12,2
North Tyneside,2020-09-13,2
North Tyneside,2020-09-14,0
North Tyneside,2020-09-15,2
North Tyneside,2020-09-16,4
North Tyneside,2020-09-17,3
North Tyneside,2020-09-18,4
North Tyneside,2020-09-19,7
North Tyneside,2020-09-20,9
North Tyneside,2020-09-21,4
North Tyneside,2020-09-22,6
North Tyneside,2020-09-23,10
North Tyneside,2020-09-24,7
North Tyneside,2020-09-25,9
North Tyneside,2020-09-26,5
North Tyneside,2020-09-27,6
North Tyneside,2020-09-28,4
North Tyneside,2020-09-29,11
North Tyneside,2020-09-30,9
North Tyneside,2020-10-01,2
North Tyneside,2020-10-02,6
North Tyneside,2020-10-03,10
North Tyneside,2020-10-04,37
North Tyneside,2020-10-05,17
North Tyneside,2020-10-06,19
North Tyneside,2020-10-07,14
North Tyneside,2020-10-08,22
North Tyneside,2020-10-09,15
North Tyneside,2020-10-10,15
North Tyneside,2020-10-11,15
North Tyneside,2020-10-12,11
North Tyneside,2020-10-13,11
North Tyneside,2020-10-14,14
North Tyneside,2020-10-15,14
North Tyneside,2020-10-16,11
North Tyneside,2020-10-17,12
North Tyneside,2020-10-18,4
North Tyneside,2020-10-19,7
North Tyneside,2020-10-20,12
North Tyneside,2020-10-21,28
North Tyneside,2020-10-22,19
North Tyneside,2020-10-23,19
North Tyneside,2020-10-24,16
North Tyneside,2020-10-25,17
North Tyneside,2020-10-26,13
North Tyneside,2020-10-27,16
North Tyneside,2020-10-28,17
North Tyneside,2020-10-29,16
North Tyneside,2020-10-30,20
North Tyneside,2020-10-31,19
North Tyneside,2020-11-01,17
North Tyneside,2020-11-02,16
North Tyneside,2020-11-03,16
North Tyneside,2020-11-04,21
North Tyneside,2020-11-05,23
North Tyneside,2020-11-06,18
North Tyneside,2020-11-07,16
North Tyneside,2020-11-08,23
North Tyneside,2020-11-09,19
North Tyneside,2020-11-10,19
North Tyneside,2020-11-11,26
North Tyneside,2020-11-12,34
North Tyneside,2020-11-13,33
North Tyneside,2020-11-14,24
North Tyneside,2020-11-15,20
North Tyneside,2020-11-16,0
North Tyneside,2020-11-17,18
North Tyneside,2020-11-18,16
North Tyneside,2020-11-19,21
North Tyneside,2020-11-20,18
North Tyneside,2020-11-21,18
North Tyneside,2020-11-22,14
North Tyneside,2020-11-23,12
North Tyneside,2020-11-24,8
North Tyneside,2020-11-25,14
North Tyneside,2020-11-26,17
North Tyneside,2020-11-27,13
North Tyneside,2020-11-28,11
North Tyneside,2020-11-29,14
North Tyneside,2020-11-30,5
North Tyneside,2020-12-01,6
North Tyneside,2020-12-02,7
North Tyneside,2020-12-03,16
North Tyneside,2020-12-04,11
North Tyneside,2020-12-05,5
North Tyneside,2020-12-06,7
North Tyneside,2020-12-07,3
