areaName,date,newCasesByPublishDate
North Yorkshire,2020-08-23,1
North Yorkshire,2020-08-24,1
North Yorkshire,2020-08-25,2
North Yorkshire,2020-08-26,1
North Yorkshire,2020-08-27,2
North Yorkshire,2020-08-28,3
North Yorkshire,2020-08-29,4
North Yorkshire,2020-08-30,3
North Yorkshire,2020-08-31,5
North Yorkshire,2020-09-01,1
North Yorkshire,2020-09-02,4
North Yorkshire,2020-09-03,7
North Yorkshire,2020-09-04,5
North Yorkshire,2020-09-05,6
North Yorkshire,2020-09-06,14
North Yorkshire,2020-09-07,14
North Yorkshire,2020-09-08,13
North Yorkshire,2020-09-09,13
North Yorkshire,2020-09-10,15
North Yorkshire,2020-09-11,13
North Yorkshire,2020-09-12,17
North Yorkshire,2020-09-13,14
North Yorkshire,2020-09-14,14
North Yorkshire,2020-09-15,8
North Yorkshire,2020-09-16,19
North Yorkshire,2020-09-17,15
North Yorkshire,2020-09-18,14
North Yorkshire,2020-09-19,19
North Yorkshire,2020-09-20,12
North Yorkshire,2020-09-21,15
North Yorkshire,2020-09-22,14
North Yorkshire,2020-09-23,22
North Yorkshire,2020-09-24,29
North Yorkshire,2020-09-25,29
North Yorkshire,2020-09-26,25
North Yorkshire,2020-09-27,16
North Yorkshire,2020-09-28,16
North Yorkshire,2020-09-29,32
North Yorkshire,2020-09-30,31
North Yorkshire,2020-10-01,26
North Yorkshire,2020-10-02,22
North Yorkshire,2020-10-03,44
North Yorkshire,2020-10-04,111
North Yorkshire,2020-10-05,53
North Yorkshire,2020-10-06,64
North Yorkshire,2020-10-07,33
North Yorkshire,2020-10-08,62
North Yorkshire,2020-10-09,43
North Yorkshire,2020-10-10,49
North Yorkshire,2020-10-11,49
North Yorkshire,2020-10-12,51
North Yorkshire,2020-10-13,68
North Yorkshire,2020-10-14,64
North Yorkshire,2020-10-15,70
North Yorkshire,2020-10-16,53
North Yorkshire,2020-10-17,46
North Yorkshire,2020-10-18,60
North Yorkshire,2020-10-19,54
North Yorkshire,2020-10-20,76
North Yorkshire,2020-10-21,96
North Yorkshire,2020-10-22,57
North Yorkshire,2020-10-23,73
North Yorkshire,2020-10-24,50
North Yorkshire,2020-10-25,68
North Yorkshire,2020-10-26,81
North Yorkshire,2020-10-27,83
North Yorkshire,2020-10-28,114
North Yorkshire,2020-10-29,74
North Yorkshire,2020-10-30,86
North Yorkshire,2020-10-31,94
North Yorkshire,2020-11-01,98
North Yorkshire,2020-11-02,92
North Yorkshire,2020-11-03,90
