areaName,date,newCasesByPublishDate
Northumberland,2020-08-23,1
Northumberland,2020-08-24,1
Northumberland,2020-08-25,0
Northumberland,2020-08-26,0
Northumberland,2020-08-27,0
Northumberland,2020-08-28,0
Northumberland,2020-08-29,0
Northumberland,2020-08-30,0
Northumberland,2020-08-31,1
Northumberland,2020-09-01,1
Northumberland,2020-09-02,1
Northumberland,2020-09-03,1
Northumberland,2020-09-04,2
Northumberland,2020-09-05,1
Northumberland,2020-09-06,2
Northumberland,2020-09-07,1
Northumberland,2020-09-08,1
Northumberland,2020-09-09,1
Northumberland,2020-09-10,1
Northumberland,2020-09-11,2
Northumberland,2020-09-12,3
Northumberland,2020-09-13,2
Northumberland,2020-09-14,1
Northumberland,2020-09-15,2
Northumberland,2020-09-16,4
Northumberland,2020-09-17,3
Northumberland,2020-09-18,7
Northumberland,2020-09-19,7
Northumberland,2020-09-20,8
Northumberland,2020-09-21,6
Northumberland,2020-09-22,11
Northumberland,2020-09-23,15
Northumberland,2020-09-24,10
Northumberland,2020-09-25,15
Northumberland,2020-09-26,11
Northumberland,2020-09-27,11
Northumberland,2020-09-28,5
Northumberland,2020-09-29,14
Northumberland,2020-09-30,11
Northumberland,2020-10-01,2
Northumberland,2020-10-02,5
Northumberland,2020-10-03,19
Northumberland,2020-10-04,37
Northumberland,2020-10-05,22
Northumberland,2020-10-06,17
Northumberland,2020-10-07,14
Northumberland,2020-10-08,19
Northumberland,2020-10-09,14
Northumberland,2020-10-10,15
Northumberland,2020-10-11,16
Northumberland,2020-10-12,11
Northumberland,2020-10-13,9
Northumberland,2020-10-14,15
Northumberland,2020-10-15,17
Northumberland,2020-10-16,17
Northumberland,2020-10-17,15
Northumberland,2020-10-18,5
Northumberland,2020-10-19,8
Northumberland,2020-10-20,16
Northumberland,2020-10-21,24
Northumberland,2020-10-22,14
Northumberland,2020-10-23,16
Northumberland,2020-10-24,17
Northumberland,2020-10-25,14
Northumberland,2020-10-26,14
Northumberland,2020-10-27,16
Northumberland,2020-10-28,14
Northumberland,2020-10-29,18
Northumberland,2020-10-30,15
Northumberland,2020-10-31,14
Northumberland,2020-11-01,21
Northumberland,2020-11-02,13
Northumberland,2020-11-03,15
Northumberland,2020-11-04,17
Northumberland,2020-11-05,22
Northumberland,2020-11-06,24
Northumberland,2020-11-07,18
Northumberland,2020-11-08,22
Northumberland,2020-11-09,24
Northumberland,2020-11-10,19
Northumberland,2020-11-11,23
Northumberland,2020-11-12,34
Northumberland,2020-11-13,29
Northumberland,2020-11-14,27
Northumberland,2020-11-15,21
Northumberland,2020-11-16,0
Northumberland,2020-11-17,22
Northumberland,2020-11-18,24
Northumberland,2020-11-19,23
Northumberland,2020-11-20,25
Northumberland,2020-11-21,18
Northumberland,2020-11-22,14
Northumberland,2020-11-23,12
Northumberland,2020-11-24,13
Northumberland,2020-11-25,19
Northumberland,2020-11-26,18
Northumberland,2020-11-27,15
Northumberland,2020-11-28,17
Northumberland,2020-11-29,9
Northumberland,2020-11-30,10
Northumberland,2020-12-01,12
Northumberland,2020-12-02,12
Northumberland,2020-12-03,16
Northumberland,2020-12-04,19
Northumberland,2020-12-05,13
Northumberland,2020-12-06,10
Northumberland,2020-12-07,8
Northumberland,2020-12-08,8
Northumberland,2020-12-09,15
Northumberland,2020-12-10,17
Northumberland,2020-12-11,15
Northumberland,2020-12-12,17
Northumberland,2020-12-13,12
Northumberland,2020-12-14,13
Northumberland,2020-12-15,9
Northumberland,2020-12-16,16
Northumberland,2020-12-17,12
Northumberland,2020-12-18,9
Northumberland,2020-12-19,15
Northumberland,2020-12-20,12
Northumberland,2020-12-21,24
Northumberland,2020-12-22,23
Northumberland,2020-12-23,14
Northumberland,2020-12-24,25
Northumberland,2020-12-25,19
Northumberland,2020-12-26,19
Northumberland,2020-12-27,10
Northumberland,2020-12-28,15
Northumberland,2020-12-29,26
Northumberland,2020-12-30,33
Northumberland,2020-12-31,32
Northumberland,2021-01-01,25
Northumberland,2021-01-02,33
Northumberland,2021-01-03,26
Northumberland,2021-01-04,39
Northumberland,2021-01-05,17
Northumberland,2021-01-06,32
Northumberland,2021-01-07,27
Northumberland,2021-01-08,19
Northumberland,2021-01-09,14
Northumberland,2021-01-10,23
Northumberland,2021-01-11,15
Northumberland,2021-01-12,18
Northumberland,2021-01-13,24
Northumberland,2021-01-14,17
Northumberland,2021-01-15,35
Northumberland,2021-01-16,20
Northumberland,2021-01-17,20
Northumberland,2021-01-18,19
Northumberland,2021-01-19,19
Northumberland,2021-01-20,27
Northumberland,2021-01-21,23
Northumberland,2021-01-22,21
Northumberland,2021-01-23,17
Northumberland,2021-01-24,16
Northumberland,2021-01-25,11
Northumberland,2021-01-26,12
Northumberland,2021-01-27,15
Northumberland,2021-01-28,13
Northumberland,2021-01-29,19
Northumberland,2021-01-30,12
Northumberland,2021-01-31,14
Northumberland,2021-02-01,10
Northumberland,2021-02-02,12
Northumberland,2021-02-03,16
Northumberland,2021-02-04,16
Northumberland,2021-02-05,10
Northumberland,2021-02-06,12
Northumberland,2021-02-07,9
Northumberland,2021-02-08,8
Northumberland,2021-02-09,8
Northumberland,2021-02-10,11
Northumberland,2021-02-11,13
Northumberland,2021-02-12,11
Northumberland,2021-02-13,8
Northumberland,2021-02-14,7
Northumberland,2021-02-15,7
Northumberland,2021-02-16,5
Northumberland,2021-02-17,14
Northumberland,2021-02-18,9
Northumberland,2021-02-19,12
Northumberland,2021-02-20,8
Northumberland,2021-02-21,4
Northumberland,2021-02-22,10
Northumberland,2021-02-23,7
Northumberland,2021-02-24,7
Northumberland,2021-02-25,7
Northumberland,2021-02-26,7
Northumberland,2021-02-27,8
Northumberland,2021-02-28,4
