areaName,date,newCasesByPublishDate
Nottingham,2020-08-23,5
Nottingham,2020-08-24,1
Nottingham,2020-08-25,2
Nottingham,2020-08-26,1
Nottingham,2020-08-27,1
Nottingham,2020-08-28,1
Nottingham,2020-08-29,1
Nottingham,2020-08-30,3
Nottingham,2020-08-31,1
Nottingham,2020-09-01,1
Nottingham,2020-09-02,2
Nottingham,2020-09-03,2
Nottingham,2020-09-04,2
Nottingham,2020-09-05,5
Nottingham,2020-09-06,6
Nottingham,2020-09-07,6
Nottingham,2020-09-08,4
Nottingham,2020-09-09,7
Nottingham,2020-09-10,3
Nottingham,2020-09-11,6
Nottingham,2020-09-12,5
Nottingham,2020-09-13,3
Nottingham,2020-09-14,6
Nottingham,2020-09-15,4
Nottingham,2020-09-16,11
Nottingham,2020-09-17,4
Nottingham,2020-09-18,7
Nottingham,2020-09-19,6
Nottingham,2020-09-20,3
Nottingham,2020-09-21,4
Nottingham,2020-09-22,7
Nottingham,2020-09-23,11
Nottingham,2020-09-24,8
Nottingham,2020-09-25,9
Nottingham,2020-09-26,13
Nottingham,2020-09-27,6
Nottingham,2020-09-28,9
Nottingham,2020-09-29,24
Nottingham,2020-09-30,15
Nottingham,2020-10-01,46
Nottingham,2020-10-02,32
Nottingham,2020-10-03,68
Nottingham,2020-10-04,233
Nottingham,2020-10-05,60
Nottingham,2020-10-06,84
Nottingham,2020-10-07,111
Nottingham,2020-10-08,271
Nottingham,2020-10-09,165
Nottingham,2020-10-10,129
Nottingham,2020-10-11,126
Nottingham,2020-10-12,152
Nottingham,2020-10-13,176
Nottingham,2020-10-14,194
Nottingham,2020-10-15,198
Nottingham,2020-10-16,39
Nottingham,2020-10-17,100
Nottingham,2020-10-18,112
Nottingham,2020-10-19,142
Nottingham,2020-10-20,112
Nottingham,2020-10-21,88
Nottingham,2020-10-22,87
Nottingham,2020-10-23,72
Nottingham,2020-10-24,85
Nottingham,2020-10-25,69
Nottingham,2020-10-26,70
Nottingham,2020-10-27,65
Nottingham,2020-10-28,80
Nottingham,2020-10-29,73
Nottingham,2020-10-30,48
Nottingham,2020-10-31,96
Nottingham,2020-11-01,70
Nottingham,2020-11-02,50
Nottingham,2020-11-03,52
Nottingham,2020-11-04,59
Nottingham,2020-11-05,58
Nottingham,2020-11-06,50
Nottingham,2020-11-07,62
Nottingham,2020-11-08,55
Nottingham,2020-11-09,59
Nottingham,2020-11-10,58
Nottingham,2020-11-11,24
Nottingham,2020-11-12,73
Nottingham,2020-11-13,46
Nottingham,2020-11-14,44
Nottingham,2020-11-15,42
Nottingham,2020-11-16,705
Nottingham,2020-11-17,47
Nottingham,2020-11-18,23
Nottingham,2020-11-19,43
Nottingham,2020-11-20,30
Nottingham,2020-11-21,54
Nottingham,2020-11-22,26
Nottingham,2020-11-23,32
Nottingham,2020-11-24,15
Nottingham,2020-11-25,32
Nottingham,2020-11-26,31
Nottingham,2020-11-27,30
Nottingham,2020-11-28,39
Nottingham,2020-11-29,21
Nottingham,2020-11-30,18
Nottingham,2020-12-01,25
Nottingham,2020-12-02,25
Nottingham,2020-12-03,16
Nottingham,2020-12-04,45
Nottingham,2020-12-05,34
Nottingham,2020-12-06,20
Nottingham,2020-12-07,24
Nottingham,2020-12-08,20
Nottingham,2020-12-09,20
Nottingham,2020-12-10,36
Nottingham,2020-12-11,31
