areaName,date,newCasesByPublishDate
Nottinghamshire,2020-08-23,14
Nottinghamshire,2020-08-24,13
Nottinghamshire,2020-08-25,11
Nottinghamshire,2020-08-26,9
Nottinghamshire,2020-08-27,18
Nottinghamshire,2020-08-28,16
Nottinghamshire,2020-08-29,9
Nottinghamshire,2020-08-30,14
Nottinghamshire,2020-08-31,23
Nottinghamshire,2020-09-01,19
Nottinghamshire,2020-09-02,23
Nottinghamshire,2020-09-03,34
Nottinghamshire,2020-09-04,26
Nottinghamshire,2020-09-05,28
Nottinghamshire,2020-09-06,61
Nottinghamshire,2020-09-07,52
Nottinghamshire,2020-09-08,34
Nottinghamshire,2020-09-09,47
Nottinghamshire,2020-09-10,49
Nottinghamshire,2020-09-11,71
Nottinghamshire,2020-09-12,84
Nottinghamshire,2020-09-13,52
Nottinghamshire,2020-09-14,38
Nottinghamshire,2020-09-15,39
Nottinghamshire,2020-09-16,59
Nottinghamshire,2020-09-17,43
Nottinghamshire,2020-09-18,64
Nottinghamshire,2020-09-19,38
Nottinghamshire,2020-09-20,36
Nottinghamshire,2020-09-21,56
Nottinghamshire,2020-09-22,44
Nottinghamshire,2020-09-23,62
Nottinghamshire,2020-09-24,72
Nottinghamshire,2020-09-25,99
Nottinghamshire,2020-09-26,86
Nottinghamshire,2020-09-27,66
Nottinghamshire,2020-09-28,120
Nottinghamshire,2020-09-29,102
Nottinghamshire,2020-09-30,112
Nottinghamshire,2020-10-01,150
Nottinghamshire,2020-10-02,91
Nottinghamshire,2020-10-03,235
Nottinghamshire,2020-10-04,557
Nottinghamshire,2020-10-05,203
Nottinghamshire,2020-10-06,284
Nottinghamshire,2020-10-07,271
Nottinghamshire,2020-10-08,605
Nottinghamshire,2020-10-09,423
Nottinghamshire,2020-10-10,302
Nottinghamshire,2020-10-11,352
Nottinghamshire,2020-10-12,417
Nottinghamshire,2020-10-13,453
Nottinghamshire,2020-10-14,666
Nottinghamshire,2020-10-15,774
Nottinghamshire,2020-10-16,220
Nottinghamshire,2020-10-17,476
Nottinghamshire,2020-10-18,506
Nottinghamshire,2020-10-19,797
Nottinghamshire,2020-10-20,794
Nottinghamshire,2020-10-21,643
Nottinghamshire,2020-10-22,709
Nottinghamshire,2020-10-23,652
Nottinghamshire,2020-10-24,807
Nottinghamshire,2020-10-25,585
Nottinghamshire,2020-10-26,623
Nottinghamshire,2020-10-27,607
Nottinghamshire,2020-10-28,696
Nottinghamshire,2020-10-29,721
Nottinghamshire,2020-10-30,680
Nottinghamshire,2020-10-31,786
Nottinghamshire,2020-11-01,835
Nottinghamshire,2020-11-02,509
Nottinghamshire,2020-11-03,574
Nottinghamshire,2020-11-04,547
Nottinghamshire,2020-11-05,713
Nottinghamshire,2020-11-06,637
Nottinghamshire,2020-11-07,648
Nottinghamshire,2020-11-08,590
Nottinghamshire,2020-11-09,592
Nottinghamshire,2020-11-10,599
Nottinghamshire,2020-11-11,326
Nottinghamshire,2020-11-12,830
Nottinghamshire,2020-11-13,627
Nottinghamshire,2020-11-14,622
Nottinghamshire,2020-11-15,536
Nottinghamshire,2020-11-16,216
Nottinghamshire,2020-11-17,494
Nottinghamshire,2020-11-18,403
Nottinghamshire,2020-11-19,435
Nottinghamshire,2020-11-20,433
Nottinghamshire,2020-11-21,604
Nottinghamshire,2020-11-22,408
Nottinghamshire,2020-11-23,393
Nottinghamshire,2020-11-24,261
Nottinghamshire,2020-11-25,355
Nottinghamshire,2020-11-26,369
Nottinghamshire,2020-11-27,258
Nottinghamshire,2020-11-28,420
Nottinghamshire,2020-11-29,220
Nottinghamshire,2020-11-30,230
Nottinghamshire,2020-12-01,283
Nottinghamshire,2020-12-02,322
Nottinghamshire,2020-12-03,311
Nottinghamshire,2020-12-04,354
Nottinghamshire,2020-12-05,291
Nottinghamshire,2020-12-06,266
Nottinghamshire,2020-12-07,241
Nottinghamshire,2020-12-08,226
Nottinghamshire,2020-12-09,239
Nottinghamshire,2020-12-10,410
Nottinghamshire,2020-12-11,446
Nottinghamshire,2020-12-12,388
Nottinghamshire,2020-12-13,299
Nottinghamshire,2020-12-14,360
Nottinghamshire,2020-12-15,374
Nottinghamshire,2020-12-16,365
Nottinghamshire,2020-12-17,383
Nottinghamshire,2020-12-18,622
Nottinghamshire,2020-12-19,269
Nottinghamshire,2020-12-20,534
Nottinghamshire,2020-12-21,420
Nottinghamshire,2020-12-22,501
Nottinghamshire,2020-12-23,491
Nottinghamshire,2020-12-24,513
Nottinghamshire,2020-12-25,539
Nottinghamshire,2020-12-26,521
Nottinghamshire,2020-12-27,231
Nottinghamshire,2020-12-28,620
Nottinghamshire,2020-12-29,618
Nottinghamshire,2020-12-30,762
Nottinghamshire,2020-12-31,867
Nottinghamshire,2021-01-01,948
Nottinghamshire,2021-01-02,797
Nottinghamshire,2021-01-03,380
Nottinghamshire,2021-01-04,1034
Nottinghamshire,2021-01-05,804
Nottinghamshire,2021-01-06,1100
Nottinghamshire,2021-01-07,807
Nottinghamshire,2021-01-08,895
Nottinghamshire,2021-01-09,887
Nottinghamshire,2021-01-10,782
Nottinghamshire,2021-01-11,819
Nottinghamshire,2021-01-12,695
Nottinghamshire,2021-01-13,926
Nottinghamshire,2021-01-14,781
Nottinghamshire,2021-01-15,905
Nottinghamshire,2021-01-16,661
Nottinghamshire,2021-01-17,648
Nottinghamshire,2021-01-18,660
Nottinghamshire,2021-01-19,628
Nottinghamshire,2021-01-20,784
Nottinghamshire,2021-01-21,830
Nottinghamshire,2021-01-22,936
Nottinghamshire,2021-01-23,615
Nottinghamshire,2021-01-24,671
Nottinghamshire,2021-01-25,478
Nottinghamshire,2021-01-26,448
Nottinghamshire,2021-01-27,577
Nottinghamshire,2021-01-28,589
Nottinghamshire,2021-01-29,706
Nottinghamshire,2021-01-30,678
Nottinghamshire,2021-01-31,470
Nottinghamshire,2021-02-01,491
