areaName,date,newCasesByPublishDate
Oldham,2020-08-23,8
Oldham,2020-08-24,5
Oldham,2020-08-25,11
Oldham,2020-08-26,4
Oldham,2020-08-27,16
Oldham,2020-08-28,15
Oldham,2020-08-29,3
Oldham,2020-08-30,14
Oldham,2020-08-31,10
Oldham,2020-09-01,7
Oldham,2020-09-02,11
Oldham,2020-09-03,14
Oldham,2020-09-04,4
Oldham,2020-09-05,7
Oldham,2020-09-06,11
Oldham,2020-09-07,11
Oldham,2020-09-08,8
Oldham,2020-09-09,8
Oldham,2020-09-10,24
Oldham,2020-09-11,21
Oldham,2020-09-12,13
Oldham,2020-09-13,26
Oldham,2020-09-14,22
Oldham,2020-09-15,21
Oldham,2020-09-16,21
Oldham,2020-09-17,18
Oldham,2020-09-18,28
Oldham,2020-09-19,33
Oldham,2020-09-20,23
Oldham,2020-09-21,30
Oldham,2020-09-22,20
Oldham,2020-09-23,20
Oldham,2020-09-24,42
Oldham,2020-09-25,43
Oldham,2020-09-26,28
Oldham,2020-09-27,30
Oldham,2020-09-28,23
Oldham,2020-09-29,26
Oldham,2020-09-30,28
Oldham,2020-10-01,32
Oldham,2020-10-02,22
Oldham,2020-10-03,70
Oldham,2020-10-04,92
Oldham,2020-10-05,41
Oldham,2020-10-06,79
Oldham,2020-10-07,66
Oldham,2020-10-08,80
Oldham,2020-10-09,41
Oldham,2020-10-10,53
Oldham,2020-10-11,71
Oldham,2020-10-12,47
Oldham,2020-10-13,80
Oldham,2020-10-14,59
Oldham,2020-10-15,65
Oldham,2020-10-16,56
Oldham,2020-10-17,91
Oldham,2020-10-18,77
Oldham,2020-10-19,105
Oldham,2020-10-20,88
Oldham,2020-10-21,123
Oldham,2020-10-22,87
Oldham,2020-10-23,112
Oldham,2020-10-24,117
Oldham,2020-10-25,106
Oldham,2020-10-26,120
Oldham,2020-10-27,115
Oldham,2020-10-28,148
Oldham,2020-10-29,118
Oldham,2020-10-30,126
Oldham,2020-10-31,131
Oldham,2020-11-01,134
Oldham,2020-11-02,81
Oldham,2020-11-03,135
Oldham,2020-11-04,178
Oldham,2020-11-05,116
Oldham,2020-11-06,99
Oldham,2020-11-07,148
Oldham,2020-11-08,91
Oldham,2020-11-09,79
Oldham,2020-11-10,84
Oldham,2020-11-11,111
Oldham,2020-11-12,149
Oldham,2020-11-13,111
Oldham,2020-11-14,90
Oldham,2020-11-15,83
Oldham,2020-11-16,60
Oldham,2020-11-17,68
Oldham,2020-11-18,78
Oldham,2020-11-19,62
Oldham,2020-11-20,88
Oldham,2020-11-21,55
Oldham,2020-11-22,55
Oldham,2020-11-23,44
Oldham,2020-11-24,34
Oldham,2020-11-25,64
Oldham,2020-11-26,30
Oldham,2020-11-27,49
Oldham,2020-11-28,40
Oldham,2020-11-29,30
Oldham,2020-11-30,15
Oldham,2020-12-01,28
Oldham,2020-12-02,27
Oldham,2020-12-03,31
Oldham,2020-12-04,22
Oldham,2020-12-05,30
Oldham,2020-12-06,26
Oldham,2020-12-07,18
Oldham,2020-12-08,29
Oldham,2020-12-09,31
Oldham,2020-12-10,25
Oldham,2020-12-11,24
Oldham,2020-12-12,38
Oldham,2020-12-13,31
Oldham,2020-12-14,23
Oldham,2020-12-15,28
Oldham,2020-12-16,42
Oldham,2020-12-17,36
Oldham,2020-12-18,24
Oldham,2020-12-19,27
Oldham,2020-12-20,34
Oldham,2020-12-21,22
Oldham,2020-12-22,34
Oldham,2020-12-23,37
Oldham,2020-12-24,30
Oldham,2020-12-25,35
Oldham,2020-12-26,28
Oldham,2020-12-27,25
Oldham,2020-12-28,25
Oldham,2020-12-29,58
Oldham,2020-12-30,34
Oldham,2020-12-31,54
Oldham,2021-01-01,53
Oldham,2021-01-02,52
Oldham,2021-01-03,54
Oldham,2021-01-04,48
Oldham,2021-01-05,35
Oldham,2021-01-06,66
Oldham,2021-01-07,70
Oldham,2021-01-08,89
Oldham,2021-01-09,70
Oldham,2021-01-10,47
Oldham,2021-01-11,51
Oldham,2021-01-12,67
Oldham,2021-01-13,46
Oldham,2021-01-14,57
Oldham,2021-01-15,65
Oldham,2021-01-16,45
Oldham,2021-01-17,37
Oldham,2021-01-18,46
Oldham,2021-01-19,32
Oldham,2021-01-20,55
Oldham,2021-01-21,39
Oldham,2021-01-22,42
Oldham,2021-01-23,49
Oldham,2021-01-24,36
Oldham,2021-01-25,37
Oldham,2021-01-26,36
Oldham,2021-01-27,45
Oldham,2021-01-28,49
Oldham,2021-01-29,46
Oldham,2021-01-30,32
Oldham,2021-01-31,47
Oldham,2021-02-01,23
Oldham,2021-02-02,28
Oldham,2021-02-03,29
Oldham,2021-02-04,46
Oldham,2021-02-05,52
Oldham,2021-02-06,31
Oldham,2021-02-07,33
Oldham,2021-02-08,21
Oldham,2021-02-09,33
Oldham,2021-02-10,32
Oldham,2021-02-11,32
Oldham,2021-02-12,25
Oldham,2021-02-13,27
Oldham,2021-02-14,37
Oldham,2021-02-15,27
Oldham,2021-02-16,29
Oldham,2021-02-17,18
Oldham,2021-02-18,25
Oldham,2021-02-19,30
Oldham,2021-02-20,17
Oldham,2021-02-21,18
Oldham,2021-02-22,29
Oldham,2021-02-23,23
Oldham,2021-02-24,19
Oldham,2021-02-25,26
Oldham,2021-02-26,30
Oldham,2021-02-27,14
Oldham,2021-02-28,16
Oldham,2021-03-01,14
Oldham,2021-03-02,11
Oldham,2021-03-03,13
Oldham,2021-03-04,14
Oldham,2021-03-05,14
Oldham,2021-03-06,16
Oldham,2021-03-07,13
Oldham,2021-03-08,15
Oldham,2021-03-09,15
Oldham,2021-03-10,11
Oldham,2021-03-11,24
Oldham,2021-03-12,18
Oldham,2021-03-13,15
Oldham,2021-03-14,14
Oldham,2021-03-15,10
Oldham,2021-03-16,16
Oldham,2021-03-17,18
Oldham,2021-03-18,17
Oldham,2021-03-19,11
Oldham,2021-03-20,21
Oldham,2021-03-21,20
Oldham,2021-03-22,14
Oldham,2021-03-23,21
Oldham,2021-03-24,11
Oldham,2021-03-25,23
Oldham,2021-03-26,24
Oldham,2021-03-27,21
Oldham,2021-03-28,8
Oldham,2021-03-29,20
Oldham,2021-03-30,15
Oldham,2021-03-31,10
Oldham,2021-04-01,19
Oldham,2021-04-02,9
Oldham,2021-04-03,12
Oldham,2021-04-04,4
Oldham,2021-04-05,6
Oldham,2021-04-06,7
Oldham,2021-04-07,15
Oldham,2021-04-08,6
Oldham,2021-04-09,2
Oldham,2021-04-10,6
Oldham,2021-04-11,7
Oldham,2021-04-12,10
Oldham,2021-04-13,11
Oldham,2021-04-14,10
Oldham,2021-04-15,11
Oldham,2021-04-16,13
Oldham,2021-04-17,7
Oldham,2021-04-18,6
Oldham,2021-04-19,5
Oldham,2021-04-20,4
Oldham,2021-04-21,3
Oldham,2021-04-22,9
Oldham,2021-04-23,5
Oldham,2021-04-24,8
Oldham,2021-04-25,5
Oldham,2021-04-26,6
Oldham,2021-04-27,5
Oldham,2021-04-28,3
Oldham,2021-04-29,8
Oldham,2021-04-30,5
Oldham,2021-05-01,2
Oldham,2021-05-02,3
Oldham,2021-05-03,5
Oldham,2021-05-04,2
Oldham,2021-05-05,4
Oldham,2021-05-06,5
Oldham,2021-05-07,8
Oldham,2021-05-08,4
Oldham,2021-05-09,2
Oldham,2021-05-10,3
Oldham,2021-05-11,2
Oldham,2021-05-12,3
Oldham,2021-05-13,3
Oldham,2021-05-14,1
Oldham,2021-05-15,5
Oldham,2021-05-16,2
Oldham,2021-05-17,3
Oldham,2021-05-18,0
Oldham,2021-05-19,5
Oldham,2021-05-20,4
Oldham,2021-05-21,3
Oldham,2021-05-22,10
Oldham,2021-05-23,4
Oldham,2021-05-24,6
Oldham,2021-05-25,16
Oldham,2021-05-26,9
Oldham,2021-05-27,15
Oldham,2021-05-28,8
Oldham,2021-05-29,10
Oldham,2021-05-30,11
Oldham,2021-05-31,15
Oldham,2021-06-01,8
Oldham,2021-06-02,15
Oldham,2021-06-03,14
Oldham,2021-06-04,20
Oldham,2021-06-05,15
Oldham,2021-06-06,20
Oldham,2021-06-07,21
Oldham,2021-06-08,36
Oldham,2021-06-09,27
Oldham,2021-06-10,30
Oldham,2021-06-11,31
Oldham,2021-06-12,31
Oldham,2021-06-13,34
Oldham,2021-06-14,30
Oldham,2021-06-15,21
Oldham,2021-06-16,29
Oldham,2021-06-17,45
Oldham,2021-06-18,49
Oldham,2021-06-19,44
Oldham,2021-06-20,19
Oldham,2021-06-21,45
Oldham,2021-06-22,36
Oldham,2021-06-23,59
Oldham,2021-06-24,52
Oldham,2021-06-25,64
Oldham,2021-06-26,63
Oldham,2021-06-27,49
Oldham,2021-06-28,87
Oldham,2021-06-29,74
Oldham,2021-06-30,101
Oldham,2021-07-01,103
Oldham,2021-07-02,111
Oldham,2021-07-03,77
Oldham,2021-07-04,92
Oldham,2021-07-05,90
Oldham,2021-07-06,64
Oldham,2021-07-07,112
Oldham,2021-07-08,125
Oldham,2021-07-09,144
Oldham,2021-07-10,94
Oldham,2021-07-11,87
Oldham,2021-07-12,104
Oldham,2021-07-13,111
Oldham,2021-07-14,127
Oldham,2021-07-15,150
Oldham,2021-07-16,165
Oldham,2021-07-17,115
Oldham,2021-07-18,141
Oldham,2021-07-19,110
Oldham,2021-07-20,101
Oldham,2021-07-21,107
Oldham,2021-07-22,113
Oldham,2021-07-23,76
Oldham,2021-07-24,77
Oldham,2021-07-25,56
Oldham,2021-07-26,61
Oldham,2021-07-27,50
Oldham,2021-07-28,54
Oldham,2021-07-29,66
Oldham,2021-07-30,49
Oldham,2021-07-31,54
Oldham,2021-08-01,58
Oldham,2021-08-02,46
Oldham,2021-08-03,55
Oldham,2021-08-04,58
Oldham,2021-08-05,58
Oldham,2021-08-06,67
Oldham,2021-08-07,47
Oldham,2021-08-08,53
Oldham,2021-08-09,49
Oldham,2021-08-10,46
Oldham,2021-08-11,59
Oldham,2021-08-12,63
Oldham,2021-08-13,57
Oldham,2021-08-14,74
Oldham,2021-08-15,37
Oldham,2021-08-16,56
Oldham,2021-08-17,47
Oldham,2021-08-18,50
Oldham,2021-08-19,49
Oldham,2021-08-20,49
Oldham,2021-08-21,39
Oldham,2021-08-22,45
Oldham,2021-08-23,44
Oldham,2021-08-24,46
Oldham,2021-08-25,60
Oldham,2021-08-26,66
Oldham,2021-08-27,47
Oldham,2021-08-28,49
Oldham,2021-08-29,30
Oldham,2021-08-30,30
Oldham,2021-08-31,48
Oldham,2021-09-01,31
Oldham,2021-09-02,60
Oldham,2021-09-03,60
Oldham,2021-09-04,53
Oldham,2021-09-05,43
Oldham,2021-09-06,56
Oldham,2021-09-07,61
Oldham,2021-09-08,66
Oldham,2021-09-09,60
Oldham,2021-09-10,46
Oldham,2021-09-11,67
Oldham,2021-09-12,46
Oldham,2021-09-13,38
Oldham,2021-09-14,46
Oldham,2021-09-15,42
Oldham,2021-09-16,45
Oldham,2021-09-17,47
Oldham,2021-09-18,60
Oldham,2021-09-19,37
Oldham,2021-09-20,45
Oldham,2021-09-21,36
Oldham,2021-09-22,39
Oldham,2021-09-23,51
Oldham,2021-09-24,61
Oldham,2021-09-25,61
Oldham,2021-09-26,53
Oldham,2021-09-27,41
Oldham,2021-09-28,38
Oldham,2021-09-29,52
Oldham,2021-09-30,55
Oldham,2021-10-01,60
Oldham,2021-10-02,44
Oldham,2021-10-03,51
Oldham,2021-10-04,36
Oldham,2021-10-05,55
Oldham,2021-10-06,87
Oldham,2021-10-07,57
Oldham,2021-10-08,55
Oldham,2021-10-09,50
Oldham,2021-10-10,48
Oldham,2021-10-11,50
Oldham,2021-10-12,59
Oldham,2021-10-13,84
