areaName,date,newCasesByPublishDate
Oxfordshire,2020-08-23,19
Oxfordshire,2020-08-24,18
Oxfordshire,2020-08-25,16
Oxfordshire,2020-08-26,5
Oxfordshire,2020-08-27,8
Oxfordshire,2020-08-28,11
Oxfordshire,2020-08-29,8
Oxfordshire,2020-08-30,10
Oxfordshire,2020-08-31,3
Oxfordshire,2020-09-01,6
Oxfordshire,2020-09-02,8
Oxfordshire,2020-09-03,6
Oxfordshire,2020-09-04,12
Oxfordshire,2020-09-05,17
Oxfordshire,2020-09-06,16
Oxfordshire,2020-09-07,28
Oxfordshire,2020-09-08,20
Oxfordshire,2020-09-09,8
Oxfordshire,2020-09-10,8
Oxfordshire,2020-09-11,20
Oxfordshire,2020-09-12,22
Oxfordshire,2020-09-13,12
Oxfordshire,2020-09-14,8
Oxfordshire,2020-09-15,17
Oxfordshire,2020-09-16,12
Oxfordshire,2020-09-17,18
Oxfordshire,2020-09-18,10
Oxfordshire,2020-09-19,17
Oxfordshire,2020-09-20,17
Oxfordshire,2020-09-21,16
Oxfordshire,2020-09-22,9
Oxfordshire,2020-09-23,16
Oxfordshire,2020-09-24,34
Oxfordshire,2020-09-25,18
Oxfordshire,2020-09-26,7
Oxfordshire,2020-09-27,34
Oxfordshire,2020-09-28,9
Oxfordshire,2020-09-29,38
Oxfordshire,2020-09-30,27
Oxfordshire,2020-10-01,49
Oxfordshire,2020-10-02,34
Oxfordshire,2020-10-03,70
Oxfordshire,2020-10-04,128
Oxfordshire,2020-10-05,67
Oxfordshire,2020-10-06,54
Oxfordshire,2020-10-07,120
Oxfordshire,2020-10-08,96
Oxfordshire,2020-10-09,95
Oxfordshire,2020-10-10,86
Oxfordshire,2020-10-11,34
Oxfordshire,2020-10-12,76
Oxfordshire,2020-10-13,98
Oxfordshire,2020-10-14,133
Oxfordshire,2020-10-15,136
Oxfordshire,2020-10-16,60
Oxfordshire,2020-10-17,90
Oxfordshire,2020-10-18,88
Oxfordshire,2020-10-19,108
Oxfordshire,2020-10-20,80
Oxfordshire,2020-10-21,178
Oxfordshire,2020-10-22,114
Oxfordshire,2020-10-23,93
Oxfordshire,2020-10-24,171
Oxfordshire,2020-10-25,101
Oxfordshire,2020-10-26,134
Oxfordshire,2020-10-27,147
Oxfordshire,2020-10-28,165
Oxfordshire,2020-10-29,110
Oxfordshire,2020-10-30,141
Oxfordshire,2020-10-31,125
Oxfordshire,2020-11-01,182
Oxfordshire,2020-11-02,119
Oxfordshire,2020-11-03,83
Oxfordshire,2020-11-04,117
Oxfordshire,2020-11-05,180
Oxfordshire,2020-11-06,168
Oxfordshire,2020-11-07,168
Oxfordshire,2020-11-08,78
Oxfordshire,2020-11-09,213
Oxfordshire,2020-11-10,138
Oxfordshire,2020-11-11,183
Oxfordshire,2020-11-12,280
Oxfordshire,2020-11-13,169
Oxfordshire,2020-11-14,192
Oxfordshire,2020-11-15,188
Oxfordshire,2020-11-16,0
Oxfordshire,2020-11-17,140
Oxfordshire,2020-11-18,68
Oxfordshire,2020-11-19,130
Oxfordshire,2020-11-20,65
Oxfordshire,2020-11-21,112
Oxfordshire,2020-11-22,121
Oxfordshire,2020-11-23,99
Oxfordshire,2020-11-24,81
Oxfordshire,2020-11-25,106
Oxfordshire,2020-11-26,107
Oxfordshire,2020-11-27,65
Oxfordshire,2020-11-28,52
Oxfordshire,2020-11-29,83
Oxfordshire,2020-11-30,67
Oxfordshire,2020-12-01,74
