areaName,date,newCasesByPublishDate
Perth and Kinross,2020-08-23,27
Perth and Kinross,2020-08-24,0
Perth and Kinross,2020-08-25,1
Perth and Kinross,2020-08-26,7
Perth and Kinross,2020-08-27,7
Perth and Kinross,2020-08-28,7
Perth and Kinross,2020-08-29,6
Perth and Kinross,2020-08-30,4
Perth and Kinross,2020-08-31,9
Perth and Kinross,2020-09-01,5
Perth and Kinross,2020-09-02,1
Perth and Kinross,2020-09-03,2
Perth and Kinross,2020-09-04,2
Perth and Kinross,2020-09-05,5
Perth and Kinross,2020-09-06,7
Perth and Kinross,2020-09-07,2
Perth and Kinross,2020-09-08,1
Perth and Kinross,2020-09-09,2
Perth and Kinross,2020-09-10,1
Perth and Kinross,2020-09-11,0
Perth and Kinross,2020-09-12,4
Perth and Kinross,2020-09-13,2
Perth and Kinross,2020-09-14,0
Perth and Kinross,2020-09-15,0
Perth and Kinross,2020-09-16,3
Perth and Kinross,2020-09-17,3
Perth and Kinross,2020-09-18,1
Perth and Kinross,2020-09-19,6
Perth and Kinross,2020-09-20,4
Perth and Kinross,2020-09-21,4
Perth and Kinross,2020-09-22,4
Perth and Kinross,2020-09-23,7
Perth and Kinross,2020-09-24,3
Perth and Kinross,2020-09-25,2
Perth and Kinross,2020-09-26,11
Perth and Kinross,2020-09-27,0
Perth and Kinross,2020-09-28,6
Perth and Kinross,2020-09-29,6
Perth and Kinross,2020-09-30,7
Perth and Kinross,2020-10-01,3
Perth and Kinross,2020-10-02,7
Perth and Kinross,2020-10-03,5
Perth and Kinross,2020-10-04,4
Perth and Kinross,2020-10-05,3
Perth and Kinross,2020-10-06,5
Perth and Kinross,2020-10-07,9
Perth and Kinross,2020-10-08,10
Perth and Kinross,2020-10-09,8
Perth and Kinross,2020-10-10,8
Perth and Kinross,2020-10-11,5
Perth and Kinross,2020-10-12,2
Perth and Kinross,2020-10-13,7
Perth and Kinross,2020-10-14,6
Perth and Kinross,2020-10-15,6
Perth and Kinross,2020-10-16,5
Perth and Kinross,2020-10-17,9
Perth and Kinross,2020-10-18,1
Perth and Kinross,2020-10-19,7
Perth and Kinross,2020-10-20,8
Perth and Kinross,2020-10-21,27
Perth and Kinross,2020-10-22,18
Perth and Kinross,2020-10-23,9
Perth and Kinross,2020-10-24,19
Perth and Kinross,2020-10-25,15
Perth and Kinross,2020-10-26,14
Perth and Kinross,2020-10-27,10
Perth and Kinross,2020-10-28,25
Perth and Kinross,2020-10-29,11
Perth and Kinross,2020-10-30,14
Perth and Kinross,2020-10-31,12
Perth and Kinross,2020-11-01,21
Perth and Kinross,2020-11-02,9
Perth and Kinross,2020-11-03,26
Perth and Kinross,2020-11-04,23
Perth and Kinross,2020-11-05,34
Perth and Kinross,2020-11-06,15
Perth and Kinross,2020-11-07,27
Perth and Kinross,2020-11-08,24
Perth and Kinross,2020-11-09,14
Perth and Kinross,2020-11-10,9
Perth and Kinross,2020-11-11,23
Perth and Kinross,2020-11-12,26
Perth and Kinross,2020-11-13,25
Perth and Kinross,2020-11-14,17
Perth and Kinross,2020-11-15,19
Perth and Kinross,2020-11-16,16
Perth and Kinross,2020-11-17,32
Perth and Kinross,2020-11-18,45
Perth and Kinross,2020-11-19,19
Perth and Kinross,2020-11-20,28
Perth and Kinross,2020-11-21,22
Perth and Kinross,2020-11-22,18
Perth and Kinross,2020-11-23,17
Perth and Kinross,2020-11-24,18
Perth and Kinross,2020-11-25,19
Perth and Kinross,2020-11-26,0
Perth and Kinross,2020-11-27,53
Perth and Kinross,2020-11-28,14
Perth and Kinross,2020-11-29,39
Perth and Kinross,2020-11-30,5
Perth and Kinross,2020-12-01,15
Perth and Kinross,2020-12-02,25
Perth and Kinross,2020-12-03,34
Perth and Kinross,2020-12-04,24
Perth and Kinross,2020-12-05,14
Perth and Kinross,2020-12-06,22
Perth and Kinross,2020-12-07,13
Perth and Kinross,2020-12-08,18
Perth and Kinross,2020-12-09,22
Perth and Kinross,2020-12-10,16
Perth and Kinross,2020-12-11,11
Perth and Kinross,2020-12-12,50
Perth and Kinross,2020-12-13,32
Perth and Kinross,2020-12-14,28
Perth and Kinross,2020-12-15,24
Perth and Kinross,2020-12-16,38
Perth and Kinross,2020-12-17,11
Perth and Kinross,2020-12-18,42
Perth and Kinross,2020-12-19,8
Perth and Kinross,2020-12-20,48
Perth and Kinross,2020-12-21,48
Perth and Kinross,2020-12-22,32
Perth and Kinross,2020-12-23,37
Perth and Kinross,2020-12-24,39
Perth and Kinross,2020-12-25,0
Perth and Kinross,2020-12-26,0
Perth and Kinross,2020-12-27,0
Perth and Kinross,2020-12-28,0
Perth and Kinross,2020-12-29,135
Perth and Kinross,2020-12-30,30
Perth and Kinross,2020-12-31,78
Perth and Kinross,2021-01-01,0
Perth and Kinross,2021-01-02,0
Perth and Kinross,2021-01-03,0
Perth and Kinross,2021-01-04,0
Perth and Kinross,2021-01-05,297
Perth and Kinross,2021-01-06,46
Perth and Kinross,2021-01-07,60
Perth and Kinross,2021-01-08,59
Perth and Kinross,2021-01-09,47
Perth and Kinross,2021-01-10,78
Perth and Kinross,2021-01-11,52
Perth and Kinross,2021-01-12,45
Perth and Kinross,2021-01-13,53
Perth and Kinross,2021-01-14,38
Perth and Kinross,2021-01-15,37
Perth and Kinross,2021-01-16,38
Perth and Kinross,2021-01-17,26
Perth and Kinross,2021-01-18,28
Perth and Kinross,2021-01-19,28
Perth and Kinross,2021-01-20,55
Perth and Kinross,2021-01-21,28
Perth and Kinross,2021-01-22,32
Perth and Kinross,2021-01-23,29
Perth and Kinross,2021-01-24,19
Perth and Kinross,2021-01-25,24
Perth and Kinross,2021-01-26,21
Perth and Kinross,2021-01-27,23
Perth and Kinross,2021-01-28,28
Perth and Kinross,2021-01-29,24
Perth and Kinross,2021-01-30,26
Perth and Kinross,2021-01-31,48
Perth and Kinross,2021-02-01,14
Perth and Kinross,2021-02-02,9
Perth and Kinross,2021-02-03,14
Perth and Kinross,2021-02-04,19
Perth and Kinross,2021-02-05,12
Perth and Kinross,2021-02-06,6
Perth and Kinross,2021-02-07,18
Perth and Kinross,2021-02-08,22
Perth and Kinross,2021-02-09,9
Perth and Kinross,2021-02-10,16
Perth and Kinross,2021-02-11,7
Perth and Kinross,2021-02-12,13
Perth and Kinross,2021-02-13,25
Perth and Kinross,2021-02-14,8
Perth and Kinross,2021-02-15,7
Perth and Kinross,2021-02-16,14
