areaName,date,newCasesByPublishDate
Peterborough,2020-08-23,10
Peterborough,2020-08-24,7
Peterborough,2020-08-25,4
Peterborough,2020-08-26,7
Peterborough,2020-08-27,6
Peterborough,2020-08-28,6
Peterborough,2020-08-29,8
Peterborough,2020-08-30,3
Peterborough,2020-08-31,9
Peterborough,2020-09-01,7
Peterborough,2020-09-02,3
Peterborough,2020-09-03,9
Peterborough,2020-09-04,3
Peterborough,2020-09-05,12
Peterborough,2020-09-06,6
Peterborough,2020-09-07,10
Peterborough,2020-09-08,5
Peterborough,2020-09-09,15
Peterborough,2020-09-10,9
Peterborough,2020-09-11,9
Peterborough,2020-09-12,10
Peterborough,2020-09-13,8
Peterborough,2020-09-14,4
Peterborough,2020-09-15,2
Peterborough,2020-09-16,4
Peterborough,2020-09-17,2
Peterborough,2020-09-18,3
Peterborough,2020-09-19,7
Peterborough,2020-09-20,4
Peterborough,2020-09-21,6
Peterborough,2020-09-22,8
Peterborough,2020-09-23,11
Peterborough,2020-09-24,14
Peterborough,2020-09-25,6
Peterborough,2020-09-26,8
Peterborough,2020-09-27,4
Peterborough,2020-09-28,7
Peterborough,2020-09-29,12
Peterborough,2020-09-30,5
Peterborough,2020-10-01,10
Peterborough,2020-10-02,7
Peterborough,2020-10-03,20
Peterborough,2020-10-04,40
Peterborough,2020-10-05,22
Peterborough,2020-10-06,18
Peterborough,2020-10-07,17
Peterborough,2020-10-08,44
Peterborough,2020-10-09,19
Peterborough,2020-10-10,24
Peterborough,2020-10-11,14
Peterborough,2020-10-12,14
Peterborough,2020-10-13,31
Peterborough,2020-10-14,32
Peterborough,2020-10-15,44
Peterborough,2020-10-16,20
Peterborough,2020-10-17,18
Peterborough,2020-10-18,21
Peterborough,2020-10-19,27
Peterborough,2020-10-20,25
Peterborough,2020-10-21,76
Peterborough,2020-10-22,50
Peterborough,2020-10-23,50
Peterborough,2020-10-24,36
Peterborough,2020-10-25,29
Peterborough,2020-10-26,37
Peterborough,2020-10-27,30
Peterborough,2020-10-28,54
Peterborough,2020-10-29,57
Peterborough,2020-10-30,44
Peterborough,2020-10-31,43
Peterborough,2020-11-01,43
Peterborough,2020-11-02,35
Peterborough,2020-11-03,19
Peterborough,2020-11-04,77
Peterborough,2020-11-05,49
Peterborough,2020-11-06,47
Peterborough,2020-11-07,57
Peterborough,2020-11-08,54
Peterborough,2020-11-09,65
Peterborough,2020-11-10,64
Peterborough,2020-11-11,56
Peterborough,2020-11-12,77
Peterborough,2020-11-13,86
Peterborough,2020-11-14,53
Peterborough,2020-11-15,71
Peterborough,2020-11-16,0
Peterborough,2020-11-17,50
Peterborough,2020-11-18,29
Peterborough,2020-11-19,86
Peterborough,2020-11-20,87
Peterborough,2020-11-21,76
Peterborough,2020-11-22,61
Peterborough,2020-11-23,38
Peterborough,2020-11-24,52
Peterborough,2020-11-25,77
Peterborough,2020-11-26,55
Peterborough,2020-11-27,73
Peterborough,2020-11-28,61
Peterborough,2020-11-29,59
Peterborough,2020-11-30,70
Peterborough,2020-12-01,59
Peterborough,2020-12-02,65
Peterborough,2020-12-03,57
Peterborough,2020-12-04,55
Peterborough,2020-12-05,57
Peterborough,2020-12-06,76
Peterborough,2020-12-07,56
Peterborough,2020-12-08,76
Peterborough,2020-12-09,68
Peterborough,2020-12-10,99
Peterborough,2020-12-11,91
Peterborough,2020-12-12,95
Peterborough,2020-12-13,74
Peterborough,2020-12-14,135
Peterborough,2020-12-15,87
Peterborough,2020-12-16,141
Peterborough,2020-12-17,146
Peterborough,2020-12-18,97
Peterborough,2020-12-19,101
Peterborough,2020-12-20,56
Peterborough,2020-12-21,121
Peterborough,2020-12-22,76
Peterborough,2020-12-23,157
Peterborough,2020-12-24,147
Peterborough,2020-12-25,100
Peterborough,2020-12-26,149
Peterborough,2020-12-27,71
