areaName,date,newCasesByPublishDate
Plymouth,2020-08-23,7
Plymouth,2020-08-24,7
Plymouth,2020-08-25,41
Plymouth,2020-08-26,3
Plymouth,2020-08-27,3
Plymouth,2020-08-28,7
Plymouth,2020-08-29,11
Plymouth,2020-08-30,22
Plymouth,2020-08-31,41
Plymouth,2020-09-01,30
Plymouth,2020-09-02,15
Plymouth,2020-09-03,18
Plymouth,2020-09-04,11
Plymouth,2020-09-05,15
Plymouth,2020-09-06,11
Plymouth,2020-09-07,11
Plymouth,2020-09-08,22
Plymouth,2020-09-09,41
Plymouth,2020-09-10,15
Plymouth,2020-09-11,30
Plymouth,2020-09-12,26
Plymouth,2020-09-13,52
Plymouth,2020-09-14,3
Plymouth,2020-09-15,26
Plymouth,2020-09-16,15
Plymouth,2020-09-17,26
Plymouth,2020-09-18,18
Plymouth,2020-09-19,22
Plymouth,2020-09-20,15
Plymouth,2020-09-21,37
Plymouth,2020-09-22,26
Plymouth,2020-09-23,79
Plymouth,2020-09-24,30
Plymouth,2020-09-25,67
Plymouth,2020-09-26,7
Plymouth,2020-09-27,18
Plymouth,2020-09-28,7
Plymouth,2020-09-29,22
Plymouth,2020-09-30,15
Plymouth,2020-10-01,30
Plymouth,2020-10-02,33
Plymouth,2020-10-03,49
Plymouth,2020-10-04,135
Plymouth,2020-10-05,49
Plymouth,2020-10-06,45
Plymouth,2020-10-07,90
Plymouth,2020-10-08,90
Plymouth,2020-10-09,83
Plymouth,2020-10-10,109
Plymouth,2020-10-11,37
Plymouth,2020-10-12,71
Plymouth,2020-10-13,120
Plymouth,2020-10-14,132
Plymouth,2020-10-15,98
Plymouth,2020-10-16,94
Plymouth,2020-10-17,226
Plymouth,2020-10-18,94
Plymouth,2020-10-19,132
Plymouth,2020-10-20,218
Plymouth,2020-10-21,188
Plymouth,2020-10-22,252
Plymouth,2020-10-23,279
Plymouth,2020-10-24,249
Plymouth,2020-10-25,196
Plymouth,2020-10-26,166
Plymouth,2020-10-27,252
Plymouth,2020-10-28,271
Plymouth,2020-10-29,181
Plymouth,2020-10-30,290
Plymouth,2020-10-31,249
Plymouth,2020-11-01,226
Plymouth,2020-11-02,181
Plymouth,2020-11-03,275
Plymouth,2020-11-04,207
Plymouth,2020-11-05,143
Plymouth,2020-11-06,328
Plymouth,2020-11-07,298
Plymouth,2020-11-08,124
Plymouth,2020-11-09,305
Plymouth,2020-11-10,230
Plymouth,2020-11-11,335
Plymouth,2020-11-12,271
Plymouth,2020-11-13,298
Plymouth,2020-11-14,796
Plymouth,2020-11-15,305
Plymouth,2020-11-16,607
Plymouth,2020-11-17,267
Plymouth,2020-11-18,230
Plymouth,2020-11-19,173
Plymouth,2020-11-20,245
Plymouth,2020-11-21,147
Plymouth,2020-11-22,188
Plymouth,2020-11-23,120
Plymouth,2020-11-24,98
Plymouth,2020-11-25,173
Plymouth,2020-11-26,101
Plymouth,2020-11-27,41
Plymouth,2020-11-28,113
Plymouth,2020-11-29,128
Plymouth,2020-11-30,41
Plymouth,2020-12-01,79
Plymouth,2020-12-02,120
Plymouth,2020-12-03,56
Plymouth,2020-12-04,83
Plymouth,2020-12-05,52
Plymouth,2020-12-06,113
Plymouth,2020-12-07,105
Plymouth,2020-12-08,105
Plymouth,2020-12-09,86
Plymouth,2020-12-10,52
Plymouth,2020-12-11,64
Plymouth,2020-12-12,79
Plymouth,2020-12-13,124
Plymouth,2020-12-14,120
Plymouth,2020-12-15,83
Plymouth,2020-12-16,154
Plymouth,2020-12-17,158
Plymouth,2020-12-18,94
Plymouth,2020-12-19,154
Plymouth,2020-12-20,124
Plymouth,2020-12-21,135
Plymouth,2020-12-22,211
Plymouth,2020-12-23,135
Plymouth,2020-12-24,177
Plymouth,2020-12-25,150
Plymouth,2020-12-26,852
Plymouth,2020-12-27,162
Plymouth,2020-12-28,298
Plymouth,2020-12-29,350
Plymouth,2020-12-30,332
Plymouth,2020-12-31,150
Plymouth,2021-01-01,332
Plymouth,2021-01-02,290
Plymouth,2021-01-03,215
Plymouth,2021-01-04,366
