areaName,date,newCasesByPublishDate
Portsmouth,2020-08-23,0
Portsmouth,2020-08-24,0
Portsmouth,2020-08-25,0
Portsmouth,2020-08-26,2
Portsmouth,2020-08-27,1
Portsmouth,2020-08-28,0
Portsmouth,2020-08-29,0
Portsmouth,2020-08-30,2
Portsmouth,2020-08-31,0
Portsmouth,2020-09-01,2
Portsmouth,2020-09-02,2
Portsmouth,2020-09-03,2
Portsmouth,2020-09-04,1
Portsmouth,2020-09-05,2
Portsmouth,2020-09-06,0
Portsmouth,2020-09-07,2
Portsmouth,2020-09-08,0
Portsmouth,2020-09-09,6
Portsmouth,2020-09-10,4
Portsmouth,2020-09-11,5
Portsmouth,2020-09-12,1
Portsmouth,2020-09-13,0
Portsmouth,2020-09-14,2
Portsmouth,2020-09-15,2
Portsmouth,2020-09-16,2
Portsmouth,2020-09-17,1
Portsmouth,2020-09-18,1
Portsmouth,2020-09-19,4
Portsmouth,2020-09-20,2
Portsmouth,2020-09-21,5
Portsmouth,2020-09-22,3
Portsmouth,2020-09-23,4
Portsmouth,2020-09-24,4
Portsmouth,2020-09-25,7
Portsmouth,2020-09-26,3
Portsmouth,2020-09-27,6
Portsmouth,2020-09-28,8
Portsmouth,2020-09-29,3
Portsmouth,2020-09-30,2
Portsmouth,2020-10-01,5
Portsmouth,2020-10-02,4
Portsmouth,2020-10-03,14
Portsmouth,2020-10-04,10
Portsmouth,2020-10-05,24
Portsmouth,2020-10-06,17
Portsmouth,2020-10-07,6
Portsmouth,2020-10-08,23
Portsmouth,2020-10-09,14
Portsmouth,2020-10-10,12
Portsmouth,2020-10-11,11
Portsmouth,2020-10-12,14
Portsmouth,2020-10-13,29
Portsmouth,2020-10-14,41
Portsmouth,2020-10-15,18
Portsmouth,2020-10-16,36
Portsmouth,2020-10-17,29
Portsmouth,2020-10-18,14
Portsmouth,2020-10-19,29
Portsmouth,2020-10-20,47
Portsmouth,2020-10-21,42
Portsmouth,2020-10-22,35
Portsmouth,2020-10-23,53
Portsmouth,2020-10-24,28
Portsmouth,2020-10-25,64
Portsmouth,2020-10-26,38
Portsmouth,2020-10-27,33
Portsmouth,2020-10-28,50
Portsmouth,2020-10-29,40
Portsmouth,2020-10-30,54
Portsmouth,2020-10-31,52
Portsmouth,2020-11-01,33
Portsmouth,2020-11-02,50
Portsmouth,2020-11-03,29
Portsmouth,2020-11-04,60
Portsmouth,2020-11-05,42
Portsmouth,2020-11-06,49
Portsmouth,2020-11-07,45
Portsmouth,2020-11-08,28
Portsmouth,2020-11-09,45
Portsmouth,2020-11-10,67
Portsmouth,2020-11-11,40
Portsmouth,2020-11-12,67
Portsmouth,2020-11-13,53
Portsmouth,2020-11-14,155
Portsmouth,2020-11-15,73
Portsmouth,2020-11-16,340
Portsmouth,2020-11-17,34
Portsmouth,2020-11-18,40
Portsmouth,2020-11-19,55
Portsmouth,2020-11-20,45
Portsmouth,2020-11-21,54
Portsmouth,2020-11-22,22
Portsmouth,2020-11-23,30
Portsmouth,2020-11-24,22
Portsmouth,2020-11-25,31
Portsmouth,2020-11-26,36
Portsmouth,2020-11-27,20
Portsmouth,2020-11-28,15
Portsmouth,2020-11-29,28
Portsmouth,2020-11-30,16
Portsmouth,2020-12-01,29
Portsmouth,2020-12-02,34
Portsmouth,2020-12-03,24
Portsmouth,2020-12-04,23
Portsmouth,2020-12-05,39
Portsmouth,2020-12-06,49
Portsmouth,2020-12-07,23
Portsmouth,2020-12-08,31
Portsmouth,2020-12-09,40
Portsmouth,2020-12-10,48
Portsmouth,2020-12-11,31
Portsmouth,2020-12-12,46
Portsmouth,2020-12-13,59
Portsmouth,2020-12-14,53
Portsmouth,2020-12-15,38
Portsmouth,2020-12-16,51
Portsmouth,2020-12-17,105
Portsmouth,2020-12-18,58
Portsmouth,2020-12-19,69
Portsmouth,2020-12-20,77
Portsmouth,2020-12-21,93
Portsmouth,2020-12-22,79
Portsmouth,2020-12-23,75
Portsmouth,2020-12-24,96
Portsmouth,2020-12-25,78
Portsmouth,2020-12-26,162
Portsmouth,2020-12-27,70
Portsmouth,2020-12-28,144
Portsmouth,2020-12-29,121
Portsmouth,2020-12-30,110
Portsmouth,2020-12-31,110
Portsmouth,2021-01-01,175
Portsmouth,2021-01-02,108
Portsmouth,2021-01-03,126
Portsmouth,2021-01-04,108
Portsmouth,2021-01-05,184
Portsmouth,2021-01-06,137
Portsmouth,2021-01-07,73
Portsmouth,2021-01-08,166
Portsmouth,2021-01-09,108
Portsmouth,2021-01-10,144
Portsmouth,2021-01-11,168
Portsmouth,2021-01-12,153
Portsmouth,2021-01-13,141
Portsmouth,2021-01-14,195
Portsmouth,2021-01-15,162
Portsmouth,2021-01-16,94
Portsmouth,2021-01-17,78
Portsmouth,2021-01-18,88
Portsmouth,2021-01-19,103
Portsmouth,2021-01-20,133
Portsmouth,2021-01-21,78
Portsmouth,2021-01-22,119
Portsmouth,2021-01-23,50
Portsmouth,2021-01-24,130
Portsmouth,2021-01-25,72
Portsmouth,2021-01-26,46
Portsmouth,2021-01-27,97
Portsmouth,2021-01-28,91
Portsmouth,2021-01-29,65
Portsmouth,2021-01-30,63
Portsmouth,2021-01-31,50
Portsmouth,2021-02-01,62
Portsmouth,2021-02-02,35
Portsmouth,2021-02-03,40
Portsmouth,2021-02-04,63
Portsmouth,2021-02-05,49
Portsmouth,2021-02-06,58
Portsmouth,2021-02-07,34
Portsmouth,2021-02-08,22
Portsmouth,2021-02-09,23
Portsmouth,2021-02-10,38
Portsmouth,2021-02-11,36
Portsmouth,2021-02-12,45
Portsmouth,2021-02-13,36
Portsmouth,2021-02-14,22
Portsmouth,2021-02-15,19
Portsmouth,2021-02-16,24
Portsmouth,2021-02-17,31
Portsmouth,2021-02-18,30
Portsmouth,2021-02-19,18
Portsmouth,2021-02-20,29
Portsmouth,2021-02-21,31
Portsmouth,2021-02-22,18
Portsmouth,2021-02-23,15
Portsmouth,2021-02-24,28
Portsmouth,2021-02-25,28
Portsmouth,2021-02-26,16
Portsmouth,2021-02-27,16
Portsmouth,2021-02-28,8
Portsmouth,2021-03-01,10
Portsmouth,2021-03-02,8
Portsmouth,2021-03-03,6
Portsmouth,2021-03-04,11
Portsmouth,2021-03-05,9
Portsmouth,2021-03-06,24
Portsmouth,2021-03-07,12
Portsmouth,2021-03-08,22
Portsmouth,2021-03-09,13
Portsmouth,2021-03-10,7
Portsmouth,2021-03-11,11
Portsmouth,2021-03-12,9
Portsmouth,2021-03-13,13
Portsmouth,2021-03-14,4
Portsmouth,2021-03-15,9
Portsmouth,2021-03-16,8
Portsmouth,2021-03-17,11
Portsmouth,2021-03-18,9
Portsmouth,2021-03-19,12
Portsmouth,2021-03-20,11
Portsmouth,2021-03-21,6
Portsmouth,2021-03-22,9
Portsmouth,2021-03-23,9
Portsmouth,2021-03-24,7
Portsmouth,2021-03-25,11
Portsmouth,2021-03-26,8
Portsmouth,2021-03-27,7
Portsmouth,2021-03-28,9
Portsmouth,2021-03-29,9
