areaName,date,newCasesByPublishDate
Powys,2020-08-23,0
Powys,2020-08-24,0
Powys,2020-08-25,0
Powys,2020-08-26,0
Powys,2020-08-27,0
Powys,2020-08-28,0
Powys,2020-08-29,0
Powys,2020-08-30,1
Powys,2020-08-31,0
Powys,2020-09-01,0
Powys,2020-09-02,0
Powys,2020-09-03,0
Powys,2020-09-04,0
Powys,2020-09-05,1
Powys,2020-09-06,1
Powys,2020-09-07,3
Powys,2020-09-08,1
Powys,2020-09-09,2
Powys,2020-09-10,0
Powys,2020-09-11,1
Powys,2020-09-12,5
Powys,2020-09-13,1
Powys,2020-09-14,0
Powys,2020-09-15,1
Powys,2020-09-16,0
Powys,2020-09-17,0
Powys,2020-09-18,0
Powys,2020-09-19,0
Powys,2020-09-20,0
Powys,2020-09-21,0
Powys,2020-09-22,0
Powys,2020-09-23,0
Powys,2020-09-24,1
Powys,2020-09-25,1
Powys,2020-09-26,1
Powys,2020-09-27,1
Powys,2020-09-28,1
Powys,2020-09-29,1
Powys,2020-09-30,1
Powys,2020-10-01,1
Powys,2020-10-02,2
Powys,2020-10-03,1
Powys,2020-10-04,0
Powys,2020-10-05,2
Powys,2020-10-06,0
Powys,2020-10-07,2
Powys,2020-10-08,3
Powys,2020-10-09,2
Powys,2020-10-10,2
Powys,2020-10-11,2
Powys,2020-10-12,1
Powys,2020-10-13,3
Powys,2020-10-14,6
Powys,2020-10-15,3
Powys,2020-10-16,2
Powys,2020-10-17,3
Powys,2020-10-18,3
Powys,2020-10-19,2
Powys,2020-10-20,6
Powys,2020-10-21,1
Powys,2020-10-22,4
Powys,2020-10-23,2
Powys,2020-10-24,3
Powys,2020-10-25,4
Powys,2020-10-26,4
Powys,2020-10-27,4
Powys,2020-10-28,15
Powys,2020-10-29,6
Powys,2020-10-30,8
Powys,2020-10-31,6
Powys,2020-11-01,8
Powys,2020-11-02,8
Powys,2020-11-03,7
Powys,2020-11-04,5
Powys,2020-11-05,8
Powys,2020-11-06,15
Powys,2020-11-07,8
Powys,2020-11-08,7
Powys,2020-11-09,2
Powys,2020-11-10,5
Powys,2020-11-11,9
Powys,2020-11-12,12
Powys,2020-11-13,4
Powys,2020-11-14,4
Powys,2020-11-15,6
Powys,2020-11-16,4
Powys,2020-11-17,4
Powys,2020-11-18,1
Powys,2020-11-19,12
Powys,2020-11-20,4
Powys,2020-11-21,8
Powys,2020-11-22,2
Powys,2020-11-23,4
Powys,2020-11-24,2
Powys,2020-11-25,3
Powys,2020-11-26,7
Powys,2020-11-27,3
Powys,2020-11-28,8
Powys,2020-11-29,6
Powys,2020-11-30,6
Powys,2020-12-01,1
Powys,2020-12-02,4
Powys,2020-12-03,8
Powys,2020-12-04,5
Powys,2020-12-05,5
Powys,2020-12-06,7
Powys,2020-12-07,7
Powys,2020-12-08,3
Powys,2020-12-09,3
Powys,2020-12-10,14
Powys,2020-12-11,10
Powys,2020-12-12,9
Powys,2020-12-13,0
Powys,2020-12-14,4
Powys,2020-12-15,2
Powys,2020-12-16,2
Powys,2020-12-17,59
Powys,2020-12-18,11
Powys,2020-12-19,12
Powys,2020-12-20,10
Powys,2020-12-21,12
Powys,2020-12-22,12
Powys,2020-12-23,14
Powys,2020-12-24,11
Powys,2020-12-25,0
Powys,2020-12-26,5
Powys,2020-12-27,17
Powys,2020-12-28,12
Powys,2020-12-29,9
Powys,2020-12-30,14
Powys,2020-12-31,5
Powys,2021-01-01,0
Powys,2021-01-02,11
Powys,2021-01-03,32
Powys,2021-01-04,15
Powys,2021-01-05,13
Powys,2021-01-06,12
Powys,2021-01-07,12
Powys,2021-01-08,14
Powys,2021-01-09,18
Powys,2021-01-10,5
Powys,2021-01-11,22
Powys,2021-01-12,9
Powys,2021-01-13,5
Powys,2021-01-14,13
Powys,2021-01-15,16
Powys,2021-01-16,19
Powys,2021-01-17,7
Powys,2021-01-18,11
Powys,2021-01-19,7
Powys,2021-01-20,10
Powys,2021-01-21,15
Powys,2021-01-22,5
Powys,2021-01-23,11
Powys,2021-01-24,7
Powys,2021-01-25,9
Powys,2021-01-26,7
Powys,2021-01-27,1
Powys,2021-01-28,5
Powys,2021-01-29,7
Powys,2021-01-30,10
Powys,2021-01-31,4
Powys,2021-02-01,5
Powys,2021-02-02,5
Powys,2021-02-03,2
Powys,2021-02-04,7
Powys,2021-02-05,3
Powys,2021-02-06,8
Powys,2021-02-07,5
Powys,2021-02-08,7
Powys,2021-02-09,6
Powys,2021-02-10,2
Powys,2021-02-11,12
Powys,2021-02-12,13
Powys,2021-02-13,3
Powys,2021-02-14,4
Powys,2021-02-15,7
Powys,2021-02-16,3
Powys,2021-02-17,7
Powys,2021-02-18,6
Powys,2021-02-19,7
Powys,2021-02-20,2
Powys,2021-02-21,7
Powys,2021-02-22,2
Powys,2021-02-23,4
Powys,2021-02-24,2
Powys,2021-02-25,4
Powys,2021-02-26,5
Powys,2021-02-27,1
Powys,2021-02-28,4
Powys,2021-03-01,2
Powys,2021-03-02,1
Powys,2021-03-03,2
Powys,2021-03-04,4
Powys,2021-03-05,1
Powys,2021-03-06,0
Powys,2021-03-07,3
Powys,2021-03-08,2
Powys,2021-03-09,1
Powys,2021-03-10,1
Powys,2021-03-11,2
Powys,2021-03-12,1
Powys,2021-03-13,2
Powys,2021-03-14,2
Powys,2021-03-15,2
Powys,2021-03-16,0
Powys,2021-03-17,0
Powys,2021-03-18,2
Powys,2021-03-19,0
Powys,2021-03-20,0
Powys,2021-03-21,2
Powys,2021-03-22,1
Powys,2021-03-23,1
Powys,2021-03-24,0
Powys,2021-03-25,2
Powys,2021-03-26,0
Powys,2021-03-27,0
Powys,2021-03-28,0
Powys,2021-03-29,0
Powys,2021-03-30,0
Powys,2021-03-31,0
Powys,2021-04-01,0
Powys,2021-04-02,0
Powys,2021-04-03,1
Powys,2021-04-04,0
Powys,2021-04-05,1
Powys,2021-04-06,0
Powys,2021-04-07,0
Powys,2021-04-08,0
Powys,2021-04-09,0
Powys,2021-04-10,2
Powys,2021-04-11,0
Powys,2021-04-12,0
Powys,2021-04-13,0
Powys,2021-04-14,0
Powys,2021-04-15,2
Powys,2021-04-16,0
Powys,2021-04-17,0
Powys,2021-04-18,0
Powys,2021-04-19,2
Powys,2021-04-20,0
Powys,2021-04-21,0
Powys,2021-04-22,1
Powys,2021-04-23,0
Powys,2021-04-24,0
Powys,2021-04-25,0
Powys,2021-04-26,0
Powys,2021-04-27,0
Powys,2021-04-28,0
Powys,2021-04-29,0
Powys,2021-04-30,0
Powys,2021-05-01,0
Powys,2021-05-02,0
Powys,2021-05-03,0
Powys,2021-05-04,0
Powys,2021-05-05,1
Powys,2021-05-06,0
Powys,2021-05-07,0
Powys,2021-05-08,0
Powys,2021-05-09,1
Powys,2021-05-10,0
Powys,2021-05-11,0
Powys,2021-05-12,0
Powys,2021-05-13,0
Powys,2021-05-14,0
Powys,2021-05-15,0
Powys,2021-05-16,0
Powys,2021-05-17,0
Powys,2021-05-18,0
Powys,2021-05-19,0
Powys,2021-05-20,0
Powys,2021-05-21,0
Powys,2021-05-22,0
Powys,2021-05-23,0
Powys,2021-05-24,0
Powys,2021-05-25,0
Powys,2021-05-26,0
Powys,2021-05-27,0
Powys,2021-05-28,0
Powys,2021-05-29,0
Powys,2021-05-30,0
Powys,2021-05-31,0
Powys,2021-06-01,0
Powys,2021-06-02,0
Powys,2021-06-03,0
Powys,2021-06-04,0
Powys,2021-06-05,0
Powys,2021-06-06,0
Powys,2021-06-07,0
Powys,2021-06-08,0
Powys,2021-06-09,0
Powys,2021-06-10,0
Powys,2021-06-11,0
Powys,2021-06-12,0
Powys,2021-06-13,1
Powys,2021-06-14,1
Powys,2021-06-15,0
Powys,2021-06-16,0
Powys,2021-06-17,0
Powys,2021-06-18,3
Powys,2021-06-19,0
Powys,2021-06-20,0
Powys,2021-06-21,3
Powys,2021-06-22,1
Powys,2021-06-23,1
Powys,2021-06-24,2
Powys,2021-06-25,0
Powys,2021-06-26,0
Powys,2021-06-27,1
Powys,2021-06-28,3
Powys,2021-06-29,1
Powys,2021-06-30,3
Powys,2021-07-01,5
Powys,2021-07-02,5
Powys,2021-07-03,0
Powys,2021-07-04,3
Powys,2021-07-05,14
Powys,2021-07-06,9
Powys,2021-07-07,4
Powys,2021-07-08,7
Powys,2021-07-09,10
Powys,2021-07-10,0
Powys,2021-07-11,14
Powys,2021-07-12,17
Powys,2021-07-13,15
Powys,2021-07-14,13
Powys,2021-07-15,11
Powys,2021-07-16,21
Powys,2021-07-17,0
Powys,2021-07-18,17
Powys,2021-07-19,29
Powys,2021-07-20,10
Powys,2021-07-21,10
Powys,2021-07-22,5
Powys,2021-07-23,9
Powys,2021-07-24,0
Powys,2021-07-25,19
Powys,2021-07-26,21
Powys,2021-07-27,12
Powys,2021-07-28,7
Powys,2021-07-29,9
Powys,2021-07-30,12
Powys,2021-07-31,0
Powys,2021-08-01,7
Powys,2021-08-02,20
Powys,2021-08-03,6
Powys,2021-08-04,6
Powys,2021-08-05,9
Powys,2021-08-06,14
Powys,2021-08-07,0
Powys,2021-08-08,9
Powys,2021-08-09,12
Powys,2021-08-10,8
Powys,2021-08-11,0
Powys,2021-08-12,17
