areaName,date,newCasesByPublishDate
Redbridge,2020-08-23,3
Redbridge,2020-08-24,2
Redbridge,2020-08-25,3
Redbridge,2020-08-26,4
Redbridge,2020-08-27,1
Redbridge,2020-08-28,2
Redbridge,2020-08-29,3
Redbridge,2020-08-30,3
Redbridge,2020-08-31,3
Redbridge,2020-09-01,3
Redbridge,2020-09-02,4
Redbridge,2020-09-03,8
Redbridge,2020-09-04,10
Redbridge,2020-09-05,11
Redbridge,2020-09-06,10
Redbridge,2020-09-07,5
Redbridge,2020-09-08,8
Redbridge,2020-09-09,7
Redbridge,2020-09-10,19
Redbridge,2020-09-11,12
Redbridge,2020-09-12,11
Redbridge,2020-09-13,22
Redbridge,2020-09-14,1
Redbridge,2020-09-15,5
Redbridge,2020-09-16,11
Redbridge,2020-09-17,16
Redbridge,2020-09-18,10
Redbridge,2020-09-19,17
Redbridge,2020-09-20,8
Redbridge,2020-09-21,5
Redbridge,2020-09-22,16
Redbridge,2020-09-23,36
Redbridge,2020-09-24,22
Redbridge,2020-09-25,19
Redbridge,2020-09-26,18
Redbridge,2020-09-27,28
Redbridge,2020-09-28,15
Redbridge,2020-09-29,8
Redbridge,2020-09-30,14
Redbridge,2020-10-01,19
Redbridge,2020-10-02,17
Redbridge,2020-10-03,26
Redbridge,2020-10-04,75
Redbridge,2020-10-05,37
Redbridge,2020-10-06,23
Redbridge,2020-10-07,36
Redbridge,2020-10-08,32
Redbridge,2020-10-09,44
Redbridge,2020-10-10,21
Redbridge,2020-10-11,27
Redbridge,2020-10-12,28
Redbridge,2020-10-13,35
Redbridge,2020-10-14,37
Redbridge,2020-10-15,71
Redbridge,2020-10-16,29
Redbridge,2020-10-17,21
Redbridge,2020-10-18,47
Redbridge,2020-10-19,42
Redbridge,2020-10-20,29
Redbridge,2020-10-21,83
Redbridge,2020-10-22,38
Redbridge,2020-10-23,54
Redbridge,2020-10-24,62
Redbridge,2020-10-25,41
Redbridge,2020-10-26,46
Redbridge,2020-10-27,46
Redbridge,2020-10-28,53
Redbridge,2020-10-29,56
Redbridge,2020-10-30,63
Redbridge,2020-10-31,40
Redbridge,2020-11-01,84
Redbridge,2020-11-02,66
Redbridge,2020-11-03,48
Redbridge,2020-11-04,88
Redbridge,2020-11-05,52
Redbridge,2020-11-06,57
Redbridge,2020-11-07,67
Redbridge,2020-11-08,65
Redbridge,2020-11-09,54
Redbridge,2020-11-10,60
Redbridge,2020-11-11,33
Redbridge,2020-11-12,121
Redbridge,2020-11-13,70
Redbridge,2020-11-14,82
Redbridge,2020-11-15,84
Redbridge,2020-11-16,60
Redbridge,2020-11-17,63
Redbridge,2020-11-18,60
Redbridge,2020-11-19,99
Redbridge,2020-11-20,63
Redbridge,2020-11-21,106
Redbridge,2020-11-22,108
Redbridge,2020-11-23,105
Redbridge,2020-11-24,63
Redbridge,2020-11-25,91
Redbridge,2020-11-26,85
Redbridge,2020-11-27,65
Redbridge,2020-11-28,106
Redbridge,2020-11-29,61
Redbridge,2020-11-30,109
Redbridge,2020-12-01,79
Redbridge,2020-12-02,93
Redbridge,2020-12-03,63
Redbridge,2020-12-04,84
Redbridge,2020-12-05,81
Redbridge,2020-12-06,106
Redbridge,2020-12-07,85
Redbridge,2020-12-08,86
Redbridge,2020-12-09,102
Redbridge,2020-12-10,130
Redbridge,2020-12-11,170
Redbridge,2020-12-12,142
Redbridge,2020-12-13,145
Redbridge,2020-12-14,230
Redbridge,2020-12-15,163
Redbridge,2020-12-16,267
Redbridge,2020-12-17,177
Redbridge,2020-12-18,223
Redbridge,2020-12-19,249
Redbridge,2020-12-20,453
Redbridge,2020-12-21,324
Redbridge,2020-12-22,402
Redbridge,2020-12-23,353
Redbridge,2020-12-24,258
Redbridge,2020-12-25,263
Redbridge,2020-12-26,187
Redbridge,2020-12-27,249
Redbridge,2020-12-28,481
Redbridge,2020-12-29,497
Redbridge,2020-12-30,322
Redbridge,2020-12-31,465
Redbridge,2021-01-01,438
Redbridge,2021-01-02,375
Redbridge,2021-01-03,504
Redbridge,2021-01-04,300
Redbridge,2021-01-05,528
Redbridge,2021-01-06,433
Redbridge,2021-01-07,237
Redbridge,2021-01-08,488
Redbridge,2021-01-09,423
Redbridge,2021-01-10,385
Redbridge,2021-01-11,238
Redbridge,2021-01-12,237
Redbridge,2021-01-13,235
Redbridge,2021-01-14,253
Redbridge,2021-01-15,286
Redbridge,2021-01-16,215
Redbridge,2021-01-17,196
Redbridge,2021-01-18,182
Redbridge,2021-01-19,174
Redbridge,2021-01-20,164
Redbridge,2021-01-21,164
Redbridge,2021-01-22,187
Redbridge,2021-01-23,166
Redbridge,2021-01-24,157
Redbridge,2021-01-25,76
Redbridge,2021-01-26,118
Redbridge,2021-01-27,93
Redbridge,2021-01-28,87
Redbridge,2021-01-29,127
Redbridge,2021-01-30,86
Redbridge,2021-01-31,84
Redbridge,2021-02-01,65
Redbridge,2021-02-02,66
Redbridge,2021-02-03,82
Redbridge,2021-02-04,59
Redbridge,2021-02-05,61
Redbridge,2021-02-06,51
Redbridge,2021-02-07,40
Redbridge,2021-02-08,54
Redbridge,2021-02-09,38
Redbridge,2021-02-10,24
Redbridge,2021-02-11,32
Redbridge,2021-02-12,39
Redbridge,2021-02-13,35
Redbridge,2021-02-14,20
Redbridge,2021-02-15,23
Redbridge,2021-02-16,33
Redbridge,2021-02-17,30
Redbridge,2021-02-18,40
Redbridge,2021-02-19,29
Redbridge,2021-02-20,24
Redbridge,2021-02-21,14
Redbridge,2021-02-22,27
Redbridge,2021-02-23,17
Redbridge,2021-02-24,28
Redbridge,2021-02-25,19
Redbridge,2021-02-26,15
Redbridge,2021-02-27,14
Redbridge,2021-02-28,15
Redbridge,2021-03-01,14
Redbridge,2021-03-02,12
Redbridge,2021-03-03,12
Redbridge,2021-03-04,14
Redbridge,2021-03-05,15
Redbridge,2021-03-06,13
Redbridge,2021-03-07,13
Redbridge,2021-03-08,10
Redbridge,2021-03-09,17
Redbridge,2021-03-10,10
Redbridge,2021-03-11,13
Redbridge,2021-03-12,23
Redbridge,2021-03-13,4
Redbridge,2021-03-14,8
Redbridge,2021-03-15,5
Redbridge,2021-03-16,17
Redbridge,2021-03-17,14
Redbridge,2021-03-18,14
Redbridge,2021-03-19,6
Redbridge,2021-03-20,20
Redbridge,2021-03-21,14
Redbridge,2021-03-22,15
Redbridge,2021-03-23,12
Redbridge,2021-03-24,14
Redbridge,2021-03-25,13
Redbridge,2021-03-26,20
Redbridge,2021-03-27,10
Redbridge,2021-03-28,10
Redbridge,2021-03-29,17
Redbridge,2021-03-30,7
Redbridge,2021-03-31,11
Redbridge,2021-04-01,8
Redbridge,2021-04-02,7
Redbridge,2021-04-03,11
Redbridge,2021-04-04,7
Redbridge,2021-04-05,6
Redbridge,2021-04-06,2
Redbridge,2021-04-07,12
Redbridge,2021-04-08,6
Redbridge,2021-04-09,0
Redbridge,2021-04-10,7
Redbridge,2021-04-11,3
Redbridge,2021-04-12,13
Redbridge,2021-04-13,11
