areaName,date,newCasesByPublishDate
Redcar and Cleveland,2020-08-23,0
Redcar and Cleveland,2020-08-24,0
Redcar and Cleveland,2020-08-25,0
Redcar and Cleveland,2020-08-26,0
Redcar and Cleveland,2020-08-27,0
Redcar and Cleveland,2020-08-28,0
Redcar and Cleveland,2020-08-29,0
Redcar and Cleveland,2020-08-30,1
Redcar and Cleveland,2020-08-31,0
Redcar and Cleveland,2020-09-01,0
Redcar and Cleveland,2020-09-02,0
Redcar and Cleveland,2020-09-03,0
Redcar and Cleveland,2020-09-04,0
Redcar and Cleveland,2020-09-05,0
Redcar and Cleveland,2020-09-06,0
Redcar and Cleveland,2020-09-07,0
Redcar and Cleveland,2020-09-08,0
Redcar and Cleveland,2020-09-09,1
Redcar and Cleveland,2020-09-10,0
Redcar and Cleveland,2020-09-11,0
Redcar and Cleveland,2020-09-12,0
Redcar and Cleveland,2020-09-13,0
Redcar and Cleveland,2020-09-14,0
Redcar and Cleveland,2020-09-15,0
Redcar and Cleveland,2020-09-16,0
Redcar and Cleveland,2020-09-17,0
Redcar and Cleveland,2020-09-18,0
Redcar and Cleveland,2020-09-19,0
Redcar and Cleveland,2020-09-20,1
Redcar and Cleveland,2020-09-21,0
Redcar and Cleveland,2020-09-22,0
Redcar and Cleveland,2020-09-23,1
Redcar and Cleveland,2020-09-24,1
Redcar and Cleveland,2020-09-25,1
Redcar and Cleveland,2020-09-26,1
Redcar and Cleveland,2020-09-27,1
Redcar and Cleveland,2020-09-28,1
Redcar and Cleveland,2020-09-29,1
Redcar and Cleveland,2020-09-30,2
Redcar and Cleveland,2020-10-01,0
Redcar and Cleveland,2020-10-02,1
Redcar and Cleveland,2020-10-03,3
Redcar and Cleveland,2020-10-04,9
Redcar and Cleveland,2020-10-05,3
Redcar and Cleveland,2020-10-06,4
Redcar and Cleveland,2020-10-07,3
Redcar and Cleveland,2020-10-08,4
Redcar and Cleveland,2020-10-09,3
Redcar and Cleveland,2020-10-10,4
Redcar and Cleveland,2020-10-11,3
Redcar and Cleveland,2020-10-12,6
Redcar and Cleveland,2020-10-13,3
Redcar and Cleveland,2020-10-14,5
Redcar and Cleveland,2020-10-15,4
Redcar and Cleveland,2020-10-16,6
Redcar and Cleveland,2020-10-17,8
Redcar and Cleveland,2020-10-18,4
Redcar and Cleveland,2020-10-19,4
Redcar and Cleveland,2020-10-20,7
Redcar and Cleveland,2020-10-21,14
Redcar and Cleveland,2020-10-22,7
Redcar and Cleveland,2020-10-23,7
Redcar and Cleveland,2020-10-24,5
Redcar and Cleveland,2020-10-25,4
Redcar and Cleveland,2020-10-26,5
Redcar and Cleveland,2020-10-27,8
Redcar and Cleveland,2020-10-28,4
Redcar and Cleveland,2020-10-29,5
Redcar and Cleveland,2020-10-30,3
Redcar and Cleveland,2020-10-31,4
Redcar and Cleveland,2020-11-01,7
Redcar and Cleveland,2020-11-02,8
Redcar and Cleveland,2020-11-03,8
Redcar and Cleveland,2020-11-04,7
Redcar and Cleveland,2020-11-05,9
Redcar and Cleveland,2020-11-06,8
