areaName,date,newCasesByPublishDate
Renfrewshire,2020-08-23,0
Renfrewshire,2020-08-24,1
Renfrewshire,2020-08-25,0
Renfrewshire,2020-08-26,0
Renfrewshire,2020-08-27,0
Renfrewshire,2020-08-28,0
Renfrewshire,2020-08-29,1
Renfrewshire,2020-08-30,3
Renfrewshire,2020-08-31,10
Renfrewshire,2020-09-01,4
Renfrewshire,2020-09-02,8
Renfrewshire,2020-09-03,5
Renfrewshire,2020-09-04,7
Renfrewshire,2020-09-05,7
Renfrewshire,2020-09-06,8
Renfrewshire,2020-09-07,5
Renfrewshire,2020-09-08,6
Renfrewshire,2020-09-09,7
Renfrewshire,2020-09-10,9
Renfrewshire,2020-09-11,6
Renfrewshire,2020-09-12,8
Renfrewshire,2020-09-13,6
Renfrewshire,2020-09-14,1
Renfrewshire,2020-09-15,5
Renfrewshire,2020-09-16,9
Renfrewshire,2020-09-17,11
Renfrewshire,2020-09-18,6
Renfrewshire,2020-09-19,9
Renfrewshire,2020-09-20,4
Renfrewshire,2020-09-21,6
Renfrewshire,2020-09-22,14
Renfrewshire,2020-09-23,14
Renfrewshire,2020-09-24,8
Renfrewshire,2020-09-25,13
Renfrewshire,2020-09-26,10
Renfrewshire,2020-09-27,6
Renfrewshire,2020-09-28,5
Renfrewshire,2020-09-29,13
Renfrewshire,2020-09-30,19
Renfrewshire,2020-10-01,12
Renfrewshire,2020-10-02,17
Renfrewshire,2020-10-03,23
Renfrewshire,2020-10-04,14
Renfrewshire,2020-10-05,21
Renfrewshire,2020-10-06,28
Renfrewshire,2020-10-07,46
Renfrewshire,2020-10-08,49
Renfrewshire,2020-10-09,46
Renfrewshire,2020-10-10,40
Renfrewshire,2020-10-11,35
Renfrewshire,2020-10-12,40
Renfrewshire,2020-10-13,26
Renfrewshire,2020-10-14,64
Renfrewshire,2020-10-15,52
Renfrewshire,2020-10-16,50
Renfrewshire,2020-10-17,61
Renfrewshire,2020-10-18,14
Renfrewshire,2020-10-19,31
Renfrewshire,2020-10-20,56
Renfrewshire,2020-10-21,61
Renfrewshire,2020-10-22,53
Renfrewshire,2020-10-23,41
Renfrewshire,2020-10-24,55
Renfrewshire,2020-10-25,32
Renfrewshire,2020-10-26,42
Renfrewshire,2020-10-27,43
Renfrewshire,2020-10-28,44
Renfrewshire,2020-10-29,41
Renfrewshire,2020-10-30,58
Renfrewshire,2020-10-31,25
Renfrewshire,2020-11-01,49
Renfrewshire,2020-11-02,42
Renfrewshire,2020-11-03,43
