areaName,date,newCasesByPublishDate
Rhondda Cynon Taf,2020-08-23,0
Rhondda Cynon Taf,2020-08-24,1
Rhondda Cynon Taf,2020-08-25,0
Rhondda Cynon Taf,2020-08-26,0
Rhondda Cynon Taf,2020-08-27,1
Rhondda Cynon Taf,2020-08-28,2
Rhondda Cynon Taf,2020-08-29,1
Rhondda Cynon Taf,2020-08-30,1
Rhondda Cynon Taf,2020-08-31,1
Rhondda Cynon Taf,2020-09-01,1
Rhondda Cynon Taf,2020-09-02,1
Rhondda Cynon Taf,2020-09-03,3
Rhondda Cynon Taf,2020-09-04,8
Rhondda Cynon Taf,2020-09-05,9
Rhondda Cynon Taf,2020-09-06,14
Rhondda Cynon Taf,2020-09-07,12
Rhondda Cynon Taf,2020-09-08,10
Rhondda Cynon Taf,2020-09-09,12
Rhondda Cynon Taf,2020-09-10,5
Rhondda Cynon Taf,2020-09-11,14
Rhondda Cynon Taf,2020-09-12,15
Rhondda Cynon Taf,2020-09-13,29
Rhondda Cynon Taf,2020-09-14,26
Rhondda Cynon Taf,2020-09-15,23
Rhondda Cynon Taf,2020-09-16,32
Rhondda Cynon Taf,2020-09-17,20
Rhondda Cynon Taf,2020-09-18,28
Rhondda Cynon Taf,2020-09-19,29
Rhondda Cynon Taf,2020-09-20,35
Rhondda Cynon Taf,2020-09-21,25
Rhondda Cynon Taf,2020-09-22,48
Rhondda Cynon Taf,2020-09-23,58
Rhondda Cynon Taf,2020-09-24,47
Rhondda Cynon Taf,2020-09-25,30
Rhondda Cynon Taf,2020-09-26,42
Rhondda Cynon Taf,2020-09-27,30
Rhondda Cynon Taf,2020-09-28,35
Rhondda Cynon Taf,2020-09-29,38
Rhondda Cynon Taf,2020-09-30,53
Rhondda Cynon Taf,2020-10-01,32
Rhondda Cynon Taf,2020-10-02,42
Rhondda Cynon Taf,2020-10-03,42
Rhondda Cynon Taf,2020-10-04,24
Rhondda Cynon Taf,2020-10-05,48
Rhondda Cynon Taf,2020-10-06,28
Rhondda Cynon Taf,2020-10-07,57
Rhondda Cynon Taf,2020-10-08,38
Rhondda Cynon Taf,2020-10-09,45
Rhondda Cynon Taf,2020-10-10,46
Rhondda Cynon Taf,2020-10-11,22
Rhondda Cynon Taf,2020-10-12,21
Rhondda Cynon Taf,2020-10-13,62
Rhondda Cynon Taf,2020-10-14,55
Rhondda Cynon Taf,2020-10-15,38
Rhondda Cynon Taf,2020-10-16,73
Rhondda Cynon Taf,2020-10-17,36
Rhondda Cynon Taf,2020-10-18,72
Rhondda Cynon Taf,2020-10-19,23
Rhondda Cynon Taf,2020-10-20,94
Rhondda Cynon Taf,2020-10-21,87
Rhondda Cynon Taf,2020-10-22,93
Rhondda Cynon Taf,2020-10-23,73
Rhondda Cynon Taf,2020-10-24,95
Rhondda Cynon Taf,2020-10-25,111
Rhondda Cynon Taf,2020-10-26,89
Rhondda Cynon Taf,2020-10-27,118
Rhondda Cynon Taf,2020-10-28,172
Rhondda Cynon Taf,2020-10-29,95
Rhondda Cynon Taf,2020-10-30,174
Rhondda Cynon Taf,2020-10-31,128
Rhondda Cynon Taf,2020-11-01,66
Rhondda Cynon Taf,2020-11-02,126
Rhondda Cynon Taf,2020-11-03,125
Rhondda Cynon Taf,2020-11-04,150
Rhondda Cynon Taf,2020-11-05,135
Rhondda Cynon Taf,2020-11-06,116
Rhondda Cynon Taf,2020-11-07,85
Rhondda Cynon Taf,2020-11-08,64
Rhondda Cynon Taf,2020-11-09,91
Rhondda Cynon Taf,2020-11-10,34
Rhondda Cynon Taf,2020-11-11,99
Rhondda Cynon Taf,2020-11-12,43
Rhondda Cynon Taf,2020-11-13,53
Rhondda Cynon Taf,2020-11-14,64
Rhondda Cynon Taf,2020-11-15,97
Rhondda Cynon Taf,2020-11-16,58
Rhondda Cynon Taf,2020-11-17,55
Rhondda Cynon Taf,2020-11-18,41
Rhondda Cynon Taf,2020-11-19,69
Rhondda Cynon Taf,2020-11-20,67
Rhondda Cynon Taf,2020-11-21,74
Rhondda Cynon Taf,2020-11-22,30
Rhondda Cynon Taf,2020-11-23,70
Rhondda Cynon Taf,2020-11-24,40
Rhondda Cynon Taf,2020-11-25,65
Rhondda Cynon Taf,2020-11-26,72
Rhondda Cynon Taf,2020-11-27,67
Rhondda Cynon Taf,2020-11-28,128
Rhondda Cynon Taf,2020-11-29,48
Rhondda Cynon Taf,2020-11-30,45
Rhondda Cynon Taf,2020-12-01,48
Rhondda Cynon Taf,2020-12-02,86
Rhondda Cynon Taf,2020-12-03,112
Rhondda Cynon Taf,2020-12-04,75
Rhondda Cynon Taf,2020-12-05,93
Rhondda Cynon Taf,2020-12-06,149
Rhondda Cynon Taf,2020-12-07,119
Rhondda Cynon Taf,2020-12-08,55
Rhondda Cynon Taf,2020-12-09,146
Rhondda Cynon Taf,2020-12-10,153
Rhondda Cynon Taf,2020-12-11,136
Rhondda Cynon Taf,2020-12-12,157
Rhondda Cynon Taf,2020-12-13,0
Rhondda Cynon Taf,2020-12-14,85
Rhondda Cynon Taf,2020-12-15,50
Rhondda Cynon Taf,2020-12-16,35
Rhondda Cynon Taf,2020-12-17,779
Rhondda Cynon Taf,2020-12-18,186
Rhondda Cynon Taf,2020-12-19,159
Rhondda Cynon Taf,2020-12-20,140
Rhondda Cynon Taf,2020-12-21,113
Rhondda Cynon Taf,2020-12-22,203
Rhondda Cynon Taf,2020-12-23,185
Rhondda Cynon Taf,2020-12-24,127
Rhondda Cynon Taf,2020-12-25,0
Rhondda Cynon Taf,2020-12-26,134
Rhondda Cynon Taf,2020-12-27,246
Rhondda Cynon Taf,2020-12-28,149
Rhondda Cynon Taf,2020-12-29,175
Rhondda Cynon Taf,2020-12-30,104
Rhondda Cynon Taf,2020-12-31,110
Rhondda Cynon Taf,2021-01-01,0
Rhondda Cynon Taf,2021-01-02,111
Rhondda Cynon Taf,2021-01-03,230
Rhondda Cynon Taf,2021-01-04,97
Rhondda Cynon Taf,2021-01-05,112
Rhondda Cynon Taf,2021-01-06,114
Rhondda Cynon Taf,2021-01-07,75
Rhondda Cynon Taf,2021-01-08,124
Rhondda Cynon Taf,2021-01-09,92
Rhondda Cynon Taf,2021-01-10,80
Rhondda Cynon Taf,2021-01-11,91
Rhondda Cynon Taf,2021-01-12,69
Rhondda Cynon Taf,2021-01-13,62
Rhondda Cynon Taf,2021-01-14,62
Rhondda Cynon Taf,2021-01-15,82
Rhondda Cynon Taf,2021-01-16,43
Rhondda Cynon Taf,2021-01-17,41
Rhondda Cynon Taf,2021-01-18,60
Rhondda Cynon Taf,2021-01-19,43
Rhondda Cynon Taf,2021-01-20,47
Rhondda Cynon Taf,2021-01-21,37
Rhondda Cynon Taf,2021-01-22,26
Rhondda Cynon Taf,2021-01-23,48
Rhondda Cynon Taf,2021-01-24,20
Rhondda Cynon Taf,2021-01-25,39
Rhondda Cynon Taf,2021-01-26,24
Rhondda Cynon Taf,2021-01-27,18
Rhondda Cynon Taf,2021-01-28,14
Rhondda Cynon Taf,2021-01-29,25
Rhondda Cynon Taf,2021-01-30,24
Rhondda Cynon Taf,2021-01-31,28
Rhondda Cynon Taf,2021-02-01,31
Rhondda Cynon Taf,2021-02-02,26
Rhondda Cynon Taf,2021-02-03,15
Rhondda Cynon Taf,2021-02-04,22
Rhondda Cynon Taf,2021-02-05,6
Rhondda Cynon Taf,2021-02-06,42
Rhondda Cynon Taf,2021-02-07,25
Rhondda Cynon Taf,2021-02-08,34
Rhondda Cynon Taf,2021-02-09,10
Rhondda Cynon Taf,2021-02-10,15
Rhondda Cynon Taf,2021-02-11,26
Rhondda Cynon Taf,2021-02-12,36
Rhondda Cynon Taf,2021-02-13,7
Rhondda Cynon Taf,2021-02-14,21
Rhondda Cynon Taf,2021-02-15,13
Rhondda Cynon Taf,2021-02-16,5
Rhondda Cynon Taf,2021-02-17,14
Rhondda Cynon Taf,2021-02-18,3
Rhondda Cynon Taf,2021-02-19,26
Rhondda Cynon Taf,2021-02-20,6
Rhondda Cynon Taf,2021-02-21,18
Rhondda Cynon Taf,2021-02-22,13
Rhondda Cynon Taf,2021-02-23,10
Rhondda Cynon Taf,2021-02-24,9
Rhondda Cynon Taf,2021-02-25,14
Rhondda Cynon Taf,2021-02-26,6
Rhondda Cynon Taf,2021-02-27,3
Rhondda Cynon Taf,2021-02-28,4
Rhondda Cynon Taf,2021-03-01,1
Rhondda Cynon Taf,2021-03-02,6
Rhondda Cynon Taf,2021-03-03,7
Rhondda Cynon Taf,2021-03-04,11
Rhondda Cynon Taf,2021-03-05,6
Rhondda Cynon Taf,2021-03-06,4
Rhondda Cynon Taf,2021-03-07,3
Rhondda Cynon Taf,2021-03-08,5
Rhondda Cynon Taf,2021-03-09,6
Rhondda Cynon Taf,2021-03-10,6
Rhondda Cynon Taf,2021-03-11,10
Rhondda Cynon Taf,2021-03-12,7
Rhondda Cynon Taf,2021-03-13,5
Rhondda Cynon Taf,2021-03-14,6
Rhondda Cynon Taf,2021-03-15,6
