areaName,date,newCasesByPublishDate
Richmond upon Thames,2020-08-23,0
Richmond upon Thames,2020-08-24,0
Richmond upon Thames,2020-08-25,0
Richmond upon Thames,2020-08-26,0
Richmond upon Thames,2020-08-27,2
Richmond upon Thames,2020-08-28,1
Richmond upon Thames,2020-08-29,1
Richmond upon Thames,2020-08-30,1
Richmond upon Thames,2020-08-31,0
Richmond upon Thames,2020-09-01,0
Richmond upon Thames,2020-09-02,2
Richmond upon Thames,2020-09-03,0
Richmond upon Thames,2020-09-04,1
Richmond upon Thames,2020-09-05,1
Richmond upon Thames,2020-09-06,1
Richmond upon Thames,2020-09-07,1
Richmond upon Thames,2020-09-08,2
Richmond upon Thames,2020-09-09,1
Richmond upon Thames,2020-09-10,2
Richmond upon Thames,2020-09-11,2
Richmond upon Thames,2020-09-12,1
Richmond upon Thames,2020-09-13,2
Richmond upon Thames,2020-09-14,0
Richmond upon Thames,2020-09-15,1
Richmond upon Thames,2020-09-16,1
Richmond upon Thames,2020-09-17,0
Richmond upon Thames,2020-09-18,1
Richmond upon Thames,2020-09-19,1
Richmond upon Thames,2020-09-20,0
Richmond upon Thames,2020-09-21,1
Richmond upon Thames,2020-09-22,1
Richmond upon Thames,2020-09-23,0
Richmond upon Thames,2020-09-24,2
Richmond upon Thames,2020-09-25,2
Richmond upon Thames,2020-09-26,3
Richmond upon Thames,2020-09-27,1
Richmond upon Thames,2020-09-28,2
Richmond upon Thames,2020-09-29,4
Richmond upon Thames,2020-09-30,3
Richmond upon Thames,2020-10-01,4
Richmond upon Thames,2020-10-02,5
Richmond upon Thames,2020-10-03,9
Richmond upon Thames,2020-10-04,18
Richmond upon Thames,2020-10-05,7
Richmond upon Thames,2020-10-06,8
Richmond upon Thames,2020-10-07,12
Richmond upon Thames,2020-10-08,13
Richmond upon Thames,2020-10-09,16
Richmond upon Thames,2020-10-10,13
Richmond upon Thames,2020-10-11,6
Richmond upon Thames,2020-10-12,4
Richmond upon Thames,2020-10-13,10
Richmond upon Thames,2020-10-14,19
Richmond upon Thames,2020-10-15,16
Richmond upon Thames,2020-10-16,9
Richmond upon Thames,2020-10-17,11
Richmond upon Thames,2020-10-18,12
Richmond upon Thames,2020-10-19,15
Richmond upon Thames,2020-10-20,13
Richmond upon Thames,2020-10-21,20
Richmond upon Thames,2020-10-22,19
Richmond upon Thames,2020-10-23,10
Richmond upon Thames,2020-10-24,12
Richmond upon Thames,2020-10-25,10
Richmond upon Thames,2020-10-26,10
Richmond upon Thames,2020-10-27,12
Richmond upon Thames,2020-10-28,20
Richmond upon Thames,2020-10-29,11
Richmond upon Thames,2020-10-30,17
Richmond upon Thames,2020-10-31,7
Richmond upon Thames,2020-11-01,12
Richmond upon Thames,2020-11-02,9
Richmond upon Thames,2020-11-03,8
