areaName,date,newCasesByPublishDate
Rochdale,2020-08-23,2
Rochdale,2020-08-24,2
Rochdale,2020-08-25,6
Rochdale,2020-08-26,9
Rochdale,2020-08-27,12
Rochdale,2020-08-28,9
Rochdale,2020-08-29,5
Rochdale,2020-08-30,14
Rochdale,2020-08-31,4
Rochdale,2020-09-01,5
Rochdale,2020-09-02,10
Rochdale,2020-09-03,9
Rochdale,2020-09-04,11
Rochdale,2020-09-05,5
Rochdale,2020-09-06,24
Rochdale,2020-09-07,12
Rochdale,2020-09-08,8
Rochdale,2020-09-09,6
Rochdale,2020-09-10,19
Rochdale,2020-09-11,16
Rochdale,2020-09-12,9
Rochdale,2020-09-13,20
Rochdale,2020-09-14,17
Rochdale,2020-09-15,19
Rochdale,2020-09-16,27
Rochdale,2020-09-17,16
Rochdale,2020-09-18,24
Rochdale,2020-09-19,34
Rochdale,2020-09-20,15
Rochdale,2020-09-21,40
Rochdale,2020-09-22,20
Rochdale,2020-09-23,38
Rochdale,2020-09-24,32
Rochdale,2020-09-25,53
Rochdale,2020-09-26,26
Rochdale,2020-09-27,25
Rochdale,2020-09-28,20
Rochdale,2020-09-29,23
Rochdale,2020-09-30,53
Rochdale,2020-10-01,37
Rochdale,2020-10-02,39
Rochdale,2020-10-03,62
Rochdale,2020-10-04,127
Rochdale,2020-10-05,79
Rochdale,2020-10-06,74
Rochdale,2020-10-07,83
Rochdale,2020-10-08,96
Rochdale,2020-10-09,24
Rochdale,2020-10-10,76
Rochdale,2020-10-11,74
Rochdale,2020-10-12,78
Rochdale,2020-10-13,102
Rochdale,2020-10-14,65
Rochdale,2020-10-15,86
Rochdale,2020-10-16,70
Rochdale,2020-10-17,85
Rochdale,2020-10-18,118
Rochdale,2020-10-19,128
Rochdale,2020-10-20,104
Rochdale,2020-10-21,142
Rochdale,2020-10-22,114
Rochdale,2020-10-23,78
Rochdale,2020-10-24,86
Rochdale,2020-10-25,91
Rochdale,2020-10-26,134
Rochdale,2020-10-27,134
Rochdale,2020-10-28,137
Rochdale,2020-10-29,122
Rochdale,2020-10-30,109
Rochdale,2020-10-31,119
Rochdale,2020-11-01,109
Rochdale,2020-11-02,67
Rochdale,2020-11-03,110
Rochdale,2020-11-04,120
Rochdale,2020-11-05,128
Rochdale,2020-11-06,107
Rochdale,2020-11-07,133
Rochdale,2020-11-08,71
Rochdale,2020-11-09,87
Rochdale,2020-11-10,80
Rochdale,2020-11-11,100
Rochdale,2020-11-12,140
Rochdale,2020-11-13,116
Rochdale,2020-11-14,114
Rochdale,2020-11-15,90
Rochdale,2020-11-16,47
Rochdale,2020-11-17,59
Rochdale,2020-11-18,90
Rochdale,2020-11-19,91
Rochdale,2020-11-20,74
Rochdale,2020-11-21,65
Rochdale,2020-11-22,48
Rochdale,2020-11-23,55
Rochdale,2020-11-24,35
Rochdale,2020-11-25,62
Rochdale,2020-11-26,84
Rochdale,2020-11-27,43
Rochdale,2020-11-28,43
Rochdale,2020-11-29,43
