areaName,date,newCasesByPublishDate
Rotherham,2020-08-23,2
Rotherham,2020-08-24,0
Rotherham,2020-08-25,0
Rotherham,2020-08-26,1
Rotherham,2020-08-27,0
Rotherham,2020-08-28,1
Rotherham,2020-08-29,1
Rotherham,2020-08-30,3
Rotherham,2020-08-31,3
Rotherham,2020-09-01,1
Rotherham,2020-09-02,1
Rotherham,2020-09-03,4
Rotherham,2020-09-04,3
Rotherham,2020-09-05,2
Rotherham,2020-09-06,7
Rotherham,2020-09-07,3
Rotherham,2020-09-08,4
Rotherham,2020-09-09,4
Rotherham,2020-09-10,10
Rotherham,2020-09-11,8
Rotherham,2020-09-12,8
Rotherham,2020-09-13,6
Rotherham,2020-09-14,11
Rotherham,2020-09-15,3
Rotherham,2020-09-16,11
Rotherham,2020-09-17,6
Rotherham,2020-09-18,9
Rotherham,2020-09-19,7
Rotherham,2020-09-20,5
Rotherham,2020-09-21,15
Rotherham,2020-09-22,9
Rotherham,2020-09-23,7
Rotherham,2020-09-24,16
Rotherham,2020-09-25,25
Rotherham,2020-09-26,17
Rotherham,2020-09-27,15
Rotherham,2020-09-28,14
Rotherham,2020-09-29,15
Rotherham,2020-09-30,25
Rotherham,2020-10-01,12
Rotherham,2020-10-02,17
Rotherham,2020-10-03,44
Rotherham,2020-10-04,68
Rotherham,2020-10-05,39
Rotherham,2020-10-06,62
Rotherham,2020-10-07,40
Rotherham,2020-10-08,38
Rotherham,2020-10-09,25
Rotherham,2020-10-10,46
Rotherham,2020-10-11,51
Rotherham,2020-10-12,49
Rotherham,2020-10-13,63
Rotherham,2020-10-14,57
Rotherham,2020-10-15,66
Rotherham,2020-10-16,45
Rotherham,2020-10-17,61
Rotherham,2020-10-18,80
Rotherham,2020-10-19,95
Rotherham,2020-10-20,86
Rotherham,2020-10-21,104
Rotherham,2020-10-22,81
Rotherham,2020-10-23,87
Rotherham,2020-10-24,103
Rotherham,2020-10-25,59
Rotherham,2020-10-26,81
Rotherham,2020-10-27,116
Rotherham,2020-10-28,115
Rotherham,2020-10-29,102
Rotherham,2020-10-30,104
Rotherham,2020-10-31,91
Rotherham,2020-11-01,109
Rotherham,2020-11-02,67
Rotherham,2020-11-03,69
Rotherham,2020-11-04,83
Rotherham,2020-11-05,100
Rotherham,2020-11-06,60
Rotherham,2020-11-07,82
Rotherham,2020-11-08,76
Rotherham,2020-11-09,57
Rotherham,2020-11-10,58
Rotherham,2020-11-11,69
Rotherham,2020-11-12,93
Rotherham,2020-11-13,70
Rotherham,2020-11-14,64
Rotherham,2020-11-15,53
Rotherham,2020-11-16,12
Rotherham,2020-11-17,44
Rotherham,2020-11-18,50
Rotherham,2020-11-19,54
Rotherham,2020-11-20,47
Rotherham,2020-11-21,48
Rotherham,2020-11-22,35
Rotherham,2020-11-23,30
Rotherham,2020-11-24,24
Rotherham,2020-11-25,38
Rotherham,2020-11-26,40
Rotherham,2020-11-27,41
Rotherham,2020-11-28,42
Rotherham,2020-11-29,23
Rotherham,2020-11-30,29
Rotherham,2020-12-01,35
Rotherham,2020-12-02,47
Rotherham,2020-12-03,37
Rotherham,2020-12-04,32
Rotherham,2020-12-05,20
Rotherham,2020-12-06,32
Rotherham,2020-12-07,26
Rotherham,2020-12-08,36
Rotherham,2020-12-09,32
Rotherham,2020-12-10,49
Rotherham,2020-12-11,36
Rotherham,2020-12-12,53
Rotherham,2020-12-13,47
Rotherham,2020-12-14,42
Rotherham,2020-12-15,25
Rotherham,2020-12-16,43
Rotherham,2020-12-17,43
Rotherham,2020-12-18,54
Rotherham,2020-12-19,29
Rotherham,2020-12-20,26
Rotherham,2020-12-21,48
Rotherham,2020-12-22,36
Rotherham,2020-12-23,35
Rotherham,2020-12-24,46
Rotherham,2020-12-25,37
Rotherham,2020-12-26,30
Rotherham,2020-12-27,38
Rotherham,2020-12-28,46
Rotherham,2020-12-29,45
Rotherham,2020-12-30,41
Rotherham,2020-12-31,46
Rotherham,2021-01-01,46
Rotherham,2021-01-02,57
Rotherham,2021-01-03,43
Rotherham,2021-01-04,63
Rotherham,2021-01-05,65
Rotherham,2021-01-06,70
Rotherham,2021-01-07,79
Rotherham,2021-01-08,48
Rotherham,2021-01-09,57
Rotherham,2021-01-10,45
Rotherham,2021-01-11,42
Rotherham,2021-01-12,39
Rotherham,2021-01-13,55
Rotherham,2021-01-14,48
Rotherham,2021-01-15,61
Rotherham,2021-01-16,28
Rotherham,2021-01-17,32
Rotherham,2021-01-18,62
Rotherham,2021-01-19,50
Rotherham,2021-01-20,63
Rotherham,2021-01-21,51
Rotherham,2021-01-22,51
Rotherham,2021-01-23,56
Rotherham,2021-01-24,39
Rotherham,2021-01-25,40
Rotherham,2021-01-26,43
Rotherham,2021-01-27,55
Rotherham,2021-01-28,48
Rotherham,2021-01-29,48
Rotherham,2021-01-30,41
Rotherham,2021-01-31,31
Rotherham,2021-02-01,32
Rotherham,2021-02-02,32
Rotherham,2021-02-03,38
Rotherham,2021-02-04,35
Rotherham,2021-02-05,51
Rotherham,2021-02-06,56
Rotherham,2021-02-07,32
Rotherham,2021-02-08,27
Rotherham,2021-02-09,32
Rotherham,2021-02-10,36
Rotherham,2021-02-11,47
Rotherham,2021-02-12,40
Rotherham,2021-02-13,46
Rotherham,2021-02-14,31
Rotherham,2021-02-15,32
Rotherham,2021-02-16,37
Rotherham,2021-02-17,34
Rotherham,2021-02-18,25
Rotherham,2021-02-19,25
Rotherham,2021-02-20,26
Rotherham,2021-02-21,42
Rotherham,2021-02-22,40
Rotherham,2021-02-23,29
Rotherham,2021-02-24,25
Rotherham,2021-02-25,37
Rotherham,2021-02-26,25
Rotherham,2021-02-27,22
Rotherham,2021-02-28,19
Rotherham,2021-03-01,18
Rotherham,2021-03-02,19
Rotherham,2021-03-03,35
Rotherham,2021-03-04,38
Rotherham,2021-03-05,28
Rotherham,2021-03-06,24
Rotherham,2021-03-07,20
Rotherham,2021-03-08,19
Rotherham,2021-03-09,25
Rotherham,2021-03-10,25
Rotherham,2021-03-11,24
Rotherham,2021-03-12,22
Rotherham,2021-03-13,25
Rotherham,2021-03-14,21
Rotherham,2021-03-15,23
Rotherham,2021-03-16,23
Rotherham,2021-03-17,26
Rotherham,2021-03-18,25
Rotherham,2021-03-19,28
Rotherham,2021-03-20,23
Rotherham,2021-03-21,27
