areaName,date,newCasesByPublishDate
Sandwell,2020-08-23,4
Sandwell,2020-08-24,1
Sandwell,2020-08-25,4
Sandwell,2020-08-26,1
Sandwell,2020-08-27,8
Sandwell,2020-08-28,3
Sandwell,2020-08-29,5
Sandwell,2020-08-30,3
Sandwell,2020-08-31,3
Sandwell,2020-09-01,1
Sandwell,2020-09-02,3
Sandwell,2020-09-03,2
Sandwell,2020-09-04,1
Sandwell,2020-09-05,2
Sandwell,2020-09-06,4
Sandwell,2020-09-07,8
Sandwell,2020-09-08,8
Sandwell,2020-09-09,8
Sandwell,2020-09-10,9
Sandwell,2020-09-11,11
Sandwell,2020-09-12,11
Sandwell,2020-09-13,13
Sandwell,2020-09-14,6
Sandwell,2020-09-15,4
Sandwell,2020-09-16,9
Sandwell,2020-09-17,7
Sandwell,2020-09-18,13
Sandwell,2020-09-19,13
Sandwell,2020-09-20,14
Sandwell,2020-09-21,11
Sandwell,2020-09-22,15
Sandwell,2020-09-23,26
Sandwell,2020-09-24,18
Sandwell,2020-09-25,16
Sandwell,2020-09-26,16
Sandwell,2020-09-27,14
Sandwell,2020-09-28,4
Sandwell,2020-09-29,15
Sandwell,2020-09-30,11
Sandwell,2020-10-01,14
Sandwell,2020-10-02,8
Sandwell,2020-10-03,22
Sandwell,2020-10-04,37
Sandwell,2020-10-05,18
Sandwell,2020-10-06,19
Sandwell,2020-10-07,20
Sandwell,2020-10-08,21
Sandwell,2020-10-09,12
Sandwell,2020-10-10,20
Sandwell,2020-10-11,18
Sandwell,2020-10-12,16
Sandwell,2020-10-13,20
Sandwell,2020-10-14,45
Sandwell,2020-10-15,19
Sandwell,2020-10-16,39
Sandwell,2020-10-17,21
Sandwell,2020-10-18,28
Sandwell,2020-10-19,23
Sandwell,2020-10-20,35
Sandwell,2020-10-21,57
Sandwell,2020-10-22,38
Sandwell,2020-10-23,53
Sandwell,2020-10-24,44
Sandwell,2020-10-25,27
Sandwell,2020-10-26,44
Sandwell,2020-10-27,47
Sandwell,2020-10-28,62
Sandwell,2020-10-29,56
Sandwell,2020-10-30,55
Sandwell,2020-10-31,35
Sandwell,2020-11-01,81
Sandwell,2020-11-02,37
Sandwell,2020-11-03,46
Sandwell,2020-11-04,71
Sandwell,2020-11-05,58
Sandwell,2020-11-06,78
Sandwell,2020-11-07,50
Sandwell,2020-11-08,55
Sandwell,2020-11-09,75
Sandwell,2020-11-10,76
Sandwell,2020-11-11,48
Sandwell,2020-11-12,95
Sandwell,2020-11-13,84
Sandwell,2020-11-14,63
Sandwell,2020-11-15,68
Sandwell,2020-11-16,100
Sandwell,2020-11-17,62
Sandwell,2020-11-18,52
Sandwell,2020-11-19,76
Sandwell,2020-11-20,92
Sandwell,2020-11-21,65
Sandwell,2020-11-22,57
Sandwell,2020-11-23,45
Sandwell,2020-11-24,24
Sandwell,2020-11-25,54
Sandwell,2020-11-26,53
Sandwell,2020-11-27,38
Sandwell,2020-11-28,37
Sandwell,2020-11-29,26
Sandwell,2020-11-30,46
Sandwell,2020-12-01,30
Sandwell,2020-12-02,25
Sandwell,2020-12-03,34
Sandwell,2020-12-04,37
Sandwell,2020-12-05,27
Sandwell,2020-12-06,29
Sandwell,2020-12-07,35
Sandwell,2020-12-08,16
Sandwell,2020-12-09,24
Sandwell,2020-12-10,29
Sandwell,2020-12-11,30
Sandwell,2020-12-12,23
Sandwell,2020-12-13,35
Sandwell,2020-12-14,25
Sandwell,2020-12-15,31
Sandwell,2020-12-16,48
Sandwell,2020-12-17,29
Sandwell,2020-12-18,33
Sandwell,2020-12-19,25
Sandwell,2020-12-20,54
Sandwell,2020-12-21,47
Sandwell,2020-12-22,52
Sandwell,2020-12-23,79
Sandwell,2020-12-24,33
Sandwell,2020-12-25,61
Sandwell,2020-12-26,68
Sandwell,2020-12-27,34
Sandwell,2020-12-28,32
Sandwell,2020-12-29,105
Sandwell,2020-12-30,78
Sandwell,2020-12-31,135
Sandwell,2021-01-01,74
Sandwell,2021-01-02,149
Sandwell,2021-01-03,90
Sandwell,2021-01-04,173
Sandwell,2021-01-05,112
Sandwell,2021-01-06,176
Sandwell,2021-01-07,141
Sandwell,2021-01-08,130
Sandwell,2021-01-09,117
Sandwell,2021-01-10,121
Sandwell,2021-01-11,146
Sandwell,2021-01-12,139
Sandwell,2021-01-13,148
Sandwell,2021-01-14,123
Sandwell,2021-01-15,200
Sandwell,2021-01-16,139
Sandwell,2021-01-17,101
Sandwell,2021-01-18,140
Sandwell,2021-01-19,111
Sandwell,2021-01-20,121
Sandwell,2021-01-21,123
Sandwell,2021-01-22,127
Sandwell,2021-01-23,113
Sandwell,2021-01-24,113
Sandwell,2021-01-25,74
Sandwell,2021-01-26,29
Sandwell,2021-01-27,88
Sandwell,2021-01-28,98
Sandwell,2021-01-29,91
Sandwell,2021-01-30,73
Sandwell,2021-01-31,75
Sandwell,2021-02-01,47
Sandwell,2021-02-02,54
Sandwell,2021-02-03,54
Sandwell,2021-02-04,62
Sandwell,2021-02-05,78
Sandwell,2021-02-06,58
Sandwell,2021-02-07,60
Sandwell,2021-02-08,49
Sandwell,2021-02-09,34
Sandwell,2021-02-10,50
Sandwell,2021-02-11,37
Sandwell,2021-02-12,49
Sandwell,2021-02-13,36
Sandwell,2021-02-14,43
Sandwell,2021-02-15,23
Sandwell,2021-02-16,29
Sandwell,2021-02-17,56
Sandwell,2021-02-18,47
Sandwell,2021-02-19,36
Sandwell,2021-02-20,27
Sandwell,2021-02-21,37
Sandwell,2021-02-22,27
Sandwell,2021-02-23,20
Sandwell,2021-02-24,41
Sandwell,2021-02-25,40
Sandwell,2021-02-26,17
Sandwell,2021-02-27,20
Sandwell,2021-02-28,20
Sandwell,2021-03-01,14
Sandwell,2021-03-02,14
Sandwell,2021-03-03,21
Sandwell,2021-03-04,16
Sandwell,2021-03-05,12
Sandwell,2021-03-06,11
Sandwell,2021-03-07,12
Sandwell,2021-03-08,8
Sandwell,2021-03-09,16
Sandwell,2021-03-10,12
Sandwell,2021-03-11,15
Sandwell,2021-03-12,11
Sandwell,2021-03-13,17
Sandwell,2021-03-14,10
Sandwell,2021-03-15,10
Sandwell,2021-03-16,11
Sandwell,2021-03-17,18
Sandwell,2021-03-18,10
Sandwell,2021-03-19,9
Sandwell,2021-03-20,12
Sandwell,2021-03-21,14
Sandwell,2021-03-22,11
Sandwell,2021-03-23,10
Sandwell,2021-03-24,12
Sandwell,2021-03-25,18
Sandwell,2021-03-26,19
Sandwell,2021-03-27,13
Sandwell,2021-03-28,12
Sandwell,2021-03-29,10
Sandwell,2021-03-30,11
Sandwell,2021-03-31,10
Sandwell,2021-04-01,8
Sandwell,2021-04-02,8
Sandwell,2021-04-03,8
Sandwell,2021-04-04,4
Sandwell,2021-04-05,5
Sandwell,2021-04-06,4
Sandwell,2021-04-07,5
Sandwell,2021-04-08,7
Sandwell,2021-04-09,0
Sandwell,2021-04-10,5
Sandwell,2021-04-11,4
Sandwell,2021-04-12,5
Sandwell,2021-04-13,4
