areaCode,areaName,areaType,date,newCasesByPublishDate,newAdmissions,newAdmissionsRollingRate
E40000009,North East and Yorkshire,nhsRegion,2023-01-04,1580,,
E40000009,North East and Yorkshire,nhsRegion,2023-01-03,1505,,
E40000009,North East and Yorkshire,nhsRegion,2023-01-02,1502,192,13.8
E40000009,North East and Yorkshire,nhsRegion,2023-01-01,1497,114,13.4
E40000009,North East and Yorkshire,nhsRegion,2022-12-31,1500,122,13.5
E40000009,North East and Yorkshire,nhsRegion,2022-12-30,1498,164,13.3
E40000009,North East and Yorkshire,nhsRegion,2022-12-29,1480,206,13.0
E40000009,North East and Yorkshire,nhsRegion,2022-12-28,1469,197,12.8
E40000009,North East and Yorkshire,nhsRegion,2022-12-27,1426,196,12.8
E40000009,North East and Yorkshire,nhsRegion,2022-12-26,1383,161,13.0
E40000009,North East and Yorkshire,nhsRegion,2022-12-25,1364,124,13.2
E40000009,North East and Yorkshire,nhsRegion,2022-12-24,1384,105,14.0
E40000009,North East and Yorkshire,nhsRegion,2022-12-23,1361,131,14.3
E40000009,North East and Yorkshire,nhsRegion,2022-12-22,1364,193,14.4
E40000009,North East and Yorkshire,nhsRegion,2022-12-21,1332,192,14.2
E40000009,North East and Yorkshire,nhsRegion,2022-12-20,1338,218,14.0
E40000009,North East and Yorkshire,nhsRegion,2022-12-19,1308,181,13.4
E40000009,North East and Yorkshire,nhsRegion,2022-12-18,1244,191,13.4
E40000009,North East and Yorkshire,nhsRegion,2022-12-17,1194,133,12.9
E40000009,North East and Yorkshire,nhsRegion,2022-12-16,1123,140,12.1
E40000009,North East and Yorkshire,nhsRegion,2022-12-15,1080,176,11.6
E40000009,North East and Yorkshire,nhsRegion,2022-12-14,1058,174,10.6
E40000009,North East and Yorkshire,nhsRegion,2022-12-13,990,159,9.9
E40000009,North East and Yorkshire,nhsRegion,2022-12-12,941,182,9.5
E40000009,North East and Yorkshire,nhsRegion,2022-12-11,945,151,8.6
E40000009,North East and Yorkshire,nhsRegion,2022-12-10,914,62,8.1
E40000009,North East and Yorkshire,nhsRegion,2022-12-09,893,94,8.3
E40000009,North East and Yorkshire,nhsRegion,2022-12-08,904,94,8.0
E40000009,North East and Yorkshire,nhsRegion,2022-12-07,901,114,8.0
E40000009,North East and Yorkshire,nhsRegion,2022-12-06,907,125,7.8
E40000009,North East and Yorkshire,nhsRegion,2022-12-05,872,102,7.7
E40000009,North East and Yorkshire,nhsRegion,2022-12-04,848,111,7.6
E40000009,North East and Yorkshire,nhsRegion,2022-12-03,831,81,7.3
E40000009,North East and Yorkshire,nhsRegion,2022-12-02,850,62,7.3
