areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate
S12000041,Angus,utla,2023-01-05,40232,0,,
S12000041,Angus,utla,2023-01-04,40232,0,,
S12000041,Angus,utla,2023-01-03,40232,0,,
S12000041,Angus,utla,2023-01-02,40232,0,,
S12000041,Angus,utla,2023-01-01,40232,0,,
S12000041,Angus,utla,2022-12-31,40232,0,,
S12000041,Angus,utla,2022-12-30,40232,0,,
S12000041,Angus,utla,2022-12-29,40232,0,,
S12000041,Angus,utla,2022-12-28,40232,0,,
S12000041,Angus,utla,2022-12-27,40232,0,,
S12000041,Angus,utla,2022-12-26,40232,0,,
S12000041,Angus,utla,2022-12-25,40232,0,,
S12000041,Angus,utla,2022-12-24,40232,0,,
S12000041,Angus,utla,2022-12-23,40232,0,,
S12000041,Angus,utla,2022-12-22,40232,0,,
S12000041,Angus,utla,2022-12-21,40232,35,,
S12000041,Angus,utla,2022-12-20,40197,0,,
S12000041,Angus,utla,2022-12-19,40197,0,,
S12000041,Angus,utla,2022-12-18,40197,0,0,1
S12000041,Angus,utla,2022-12-17,40197,0,0,3
S12000041,Angus,utla,2022-12-16,40197,0,0,4
S12000041,Angus,utla,2022-12-15,40197,0,0,5
S12000041,Angus,utla,2022-12-14,40197,42,0,4
S12000041,Angus,utla,2022-12-13,40155,0,0,4
S12000041,Angus,utla,2022-12-12,40155,0,0,1
S12000041,Angus,utla,2022-12-11,40155,0,1,4
S12000041,Angus,utla,2022-12-10,40155,0,0,3
S12000041,Angus,utla,2022-12-09,40155,0,0,2
S12000041,Angus,utla,2022-12-08,40155,0,0,5
S12000041,Angus,utla,2022-12-07,40155,28,0,6
S12000041,Angus,utla,2022-12-06,40127,0,0,2
S12000041,Angus,utla,2022-12-05,40127,0,0,5
S12000041,Angus,utla,2022-12-04,40127,0,0,0
S12000041,Angus,utla,2022-12-03,40127,0,0,3
S12000041,Angus,utla,2022-12-02,40127,0,0,4
S12000041,Angus,utla,2022-12-01,40127,0,0,1
S12000041,Angus,utla,2022-11-30,40127,38,0,2
S12000041,Angus,utla,2022-11-29,40089,0,0,4
S12000041,Angus,utla,2022-11-28,40089,0,0,4
S12000041,Angus,utla,2022-11-27,40089,0,0,0
S12000041,Angus,utla,2022-11-26,40089,0,0,4
S12000041,Angus,utla,2022-11-25,40089,0,0,3
S12000041,Angus,utla,2022-11-24,40089,0,0,6
S12000041,Angus,utla,2022-11-23,40089,44,0,1
